ch,keV,net,fit,model,continuum_raw,Bi-207,Esc-NaI,Ann-511
753,2208.412,10.844,10.844,6.222,5.500,6.222,0.000,0.000
754,2211.317,7.000,7.000,6.145,5.293,6.145,0.000,0.000
755,2214.221,9.719,9.719,6.087,5.087,6.087,0.000,0.000
756,2217.125,0.094,0.094,6.049,4.880,6.049,0.000,0.000
757,2220.029,9.219,9.219,6.033,4.674,6.033,0.000,0.000
758,2222.932,3.219,3.219,6.041,4.467,6.041,0.000,0.000
759,2225.836,7.156,7.156,6.074,4.261,6.074,0.000,0.000
760,2228.739,9.937,9.937,6.134,4.054,6.134,0.000,0.000
761,2231.641,2.094,2.094,6.222,3.847,6.222,0.000,0.000
762,2234.544,14.375,14.375,6.339,3.641,6.339,0.000,0.000
763,2237.446,1.969,1.969,6.486,3.434,6.486,0.000,0.000
764,2240.348,4.875,4.875,6.663,3.228,6.663,0.000,0.000
765,2243.250,7.281,7.281,6.871,3.021,6.871,0.000,0.000
766,2246.152,7.062,7.062,7.108,2.814,7.108,0.000,0.000
767,2249.053,3.000,3.000,7.375,2.608,7.375,0.000,0.000
768,2251.955,6.062,6.062,7.669,2.401,7.669,0.000,0.000
769,2254.856,7.187,7.187,7.988,2.195,7.988,0.000,0.000
770,2257.756,11.906,11.906,8.330,1.988,8.330,0.000,0.000
771,2260.657,9.187,9.187,8.692,1.781,8.692,0.000,0.000
772,2263.557,5.969,5.969,9.265,1.769,9.265,0.000,0.000
773,2266.457,10.312,10.312,9.848,1.757,9.848,0.000,0.000
774,2269.357,17.281,17.281,10.439,1.744,10.439,0.000,0.000
775,2272.257,7.406,7.406,11.031,1.732,11.031,0.000,0.000
776,2275.156,11.531,11.531,11.619,1.720,11.619,0.000,0.000
777,2278.055,13.125,13.125,12.197,1.708,12.197,0.000,0.000
778,2280.954,8.875,8.875,12.758,1.695,12.758,0.000,0.000
779,2283.853,12.031,12.031,13.296,1.683,13.296,0.000,0.000
780,2286.752,8.344,8.344,13.805,1.671,13.805,0.000,0.000
781,2289.650,10.219,10.219,14.278,1.658,14.278,0.000,0.000
782,2292.548,10.187,10.187,14.710,1.646,14.710,0.000,0.000
783,2295.446,8.000,8.000,15.094,1.634,15.094,0.000,0.000
784,2298.344,19.406,19.406,15.426,1.621,15.426,0.000,0.000
785,2301.241,12.125,12.125,15.701,1.609,15.701,0.000,0.000
786,2304.138,16.125,16.125,15.915,1.597,15.915,0.000,0.000
787,2307.035,21.219,21.219,16.065,1.584,16.065,0.000,0.000
788,2309.932,23.250,23.250,16.148,1.572,16.148,0.000,0.000
789,2312.829,16.406,16.406,16.164,1.560,16.164,0.000,0.000
790,2315.725,24.437,24.437,16.112,1.548,16.112,0.000,0.000
791,2318.622,24.437,24.437,15.993,1.535,15.993,0.000,0.000
792,2321.518,21.219,21.219,15.808,1.523,15.808,0.000,0.000
793,2324.414,31.156,31.156,15.559,1.511,15.559,0.000,0.000
794,2327.309,24.281,24.281,15.249,1.498,15.249,0.000,0.000
795,2330.205,19.406,19.406,14.884,1.486,14.884,0.000,0.000
796,2333.100,21.187,21.187,14.466,1.474,14.466,0.000,0.000
797,2335.995,29.125,29.125,14.003,1.461,14.003,0.000,0.000
798,2338.890,28.187,28.187,13.499,1.449,13.499,0.000,0.000
799,2341.785,32.187,32.187,12.960,1.437,12.960,0.000,0.000
800,2344.679,25.437,25.437,12.393,1.424,12.393,0.000,0.000
801,2347.573,27.219,27.219,11.804,1.412,11.804,0.000,0.000
802,2350.467,24.344,24.344,11.200,1.400,11.200,0.000,0.000
803,2353.361,23.312,23.312,10.586,1.388,10.586,0.000,0.000
804,2356.255,24.375,24.375,9.969,1.375,9.969,0.000,0.000
805,2359.149,22.656,22.656,9.355,1.363,9.355,0.000,0.000
806,2362.042,29.344,29.344,8.748,1.351,8.748,0.000,0.000
807,2364.935,31.250,31.250,8.153,1.338,8.153,0.000,0.000
808,2367.828,20.312,20.312,7.575,1.326,7.575,0.000,0.000
809,2370.721,15.250,15.250,7.018,1.314,7.018,0.000,0.000
810,2373.614,20.219,20.219,6.484,1.301,6.484,0.000,0.000
811,2376.506,14.469,14.469,5.975,1.289,5.975,0.000,0.000
812,2379.399,16.406,16.406,5.495,1.277,5.495,0.000,0.000
813,2382.291,12.031,12.031,5.043,1.264,5.043,0.000,0.000
814,2385.183,15.187,15.187,4.622,1.252,4.622,0.000,0.000
815,2388.075,13.250,13.250,4.231,1.240,4.231,0.000,0.000
816,2390.966,11.344,11.344,3.870,1.228,3.870,0.000,0.000
817,2393.858,9.312,9.312,3.539,1.215,3.539,0.000,0.000
818,2396.749,11.500,11.500,3.236,1.203,3.236,0.000,0.000
819,2399.640,11.031,11.031,2.962,1.191,2.962,0.000,0.000
820,2402.531,10.375,10.375,2.714,1.178,2.714,0.000,0.000
821,2405.422,8.656,8.656,2.492,1.166,2.492,0.000,0.000
822,2408.313,6.469,6.469,2.293,1.154,2.293,0.000,0.000
823,2411.203,5.375,5.375,2.115,1.141,2.115,0.000,0.000
824,2414.093,8.187,8.187,1.958,1.129,1.958,0.000,0.000
825,2416.984,7.125,7.125,1.819,1.117,1.819,0.000,0.000
826,2419.874,3.312,3.312,1.697,1.104,1.697,0.000,0.000
827,2422.764,3.344,3.344,1.589,1.092,1.589,0.000,0.000
828,2425.653,4.312,4.312,1.495,1.080,1.495,0.000,0.000
829,2428.543,4.500,4.500,1.413,1.068,1.413,0.000,0.000
830,2431.432,2.500,2.500,1.341,1.055,1.341,0.000,0.000
831,2434.322,0.000,-0.625,1.278,1.043,1.278,0.000,0.000
832,2437.211,0.719,0.719,1.224,1.031,1.224,0.000,0.000
833,2440.100,0.562,0.562,1.176,1.018,1.176,0.000,0.000
834,2442.989,3.344,3.344,1.134,1.006,1.134,0.000,0.000
835,2445.878,1.281,1.281,1.097,0.994,1.097,0.000,0.000
836,2448.766,0.406,0.406,1.065,0.981,1.065,0.000,0.000
837,2451.655,0.000,-0.375,1.036,0.969,1.036,0.000,0.000
838,2454.543,0.000,-0.563,1.010,0.957,1.010,0.000,0.000
839,2457.431,0.000,-0.688,0.987,0.944,0.987,0.000,0.000
840,2460.320,0.000,-0.500,0.965,0.932,0.965,0.000,0.000
841,2463.208,0.437,0.437,0.946,0.920,0.946,0.000,0.000
842,2466.095,1.406,1.406,0.928,0.908,0.928,0.000,0.000
843,2468.983,0.000,-0.563,0.911,0.895,0.911,0.000,0.000
844,2471.871,3.125,3.125,0.895,0.883,0.895,0.000,0.000
845,2474.758,0.000,-0.719,0.880,0.871,0.880,0.000,0.000
846,2477.646,0.531,0.531,0.866,0.858,0.866,0.000,0.000
847,2480.533,1.531,1.531,0.852,0.846,0.852,0.000,0.000
848,2483.420,2.375,2.375,0.838,0.834,0.838,0.000,0.000
849,2486.307,0.406,0.406,0.825,0.821,0.825,0.000,0.000
850,2489.194,0.000,-0.750,0.811,0.809,0.811,0.000,0.000
851,2492.081,2.344,2.344,0.799,0.797,0.799,0.000,0.000
852,2494.967,0.094,0.094,0.786,0.784,0.786,0.000,0.000
853,2497.854,1.156,1.156,0.773,0.772,0.773,0.000,0.000
854,2500.741,2.312,2.312,0.761,0.760,0.761,0.000,0.000
855,2503.627,0.437,0.437,0.748,0.748,0.748,0.000,0.000
856,2506.513,1.312,1.312,0.736,0.735,0.736,0.000,0.000
857,2509.399,0.000,-0.813,0.723,0.723,0.723,0.000,0.000
858,2512.285,0.000,-0.750,0.711,0.711,0.711,0.000,0.000
859,2515.172,2.281,2.281,0.698,0.698,0.698,0.000,0.000
860,2518.057,0.000,-1.063,0.686,0.686,0.686,0.000,0.000
861,2520.943,1.031,1.031,0.674,0.674,0.674,0.000,0.000
862,2523.829,2.094,2.094,0.661,0.661,0.661,0.000,0.000
863,2526.715,0.000,-1.063,0.649,0.649,0.649,0.000,0.000
864,2529.600,0.000,-1.500,0.637,0.637,0.637,0.000,0.000
865,2532.486,2.719,2.719,0.624,0.624,0.624,0.000,0.000
866,2535.371,0.000,-1.000,0.612,0.612,0.612,0.000,0.000
867,2538.256,0.000,-0.063,0.600,0.600,0.600,0.000,0.000
868,2541.142,0.000,-0.313,0.588,0.588,0.588,0.000,0.000
869,2544.027,1.062,1.062,0.575,0.575,0.575,0.000,0.000
870,2546.912,3.719,3.719,0.563,0.563,0.563,0.000,0.000
871,2549.797,0.500,0.500,0.551,0.551,0.551,0.000,0.000
872,2552.682,0.000,-1.219,0.538,0.538,0.538,0.000,0.000
873,2555.567,0.594,0.594,0.526,0.526,0.526,0.000,0.000
874,2558.452,0.000,-1.063,0.514,0.514,0.514,0.000,0.000
875,2561.336,0.875,0.875,0.501,0.501,0.501,0.000,0.000
876,2564.221,1.625,1.625,0.489,0.489,0.489,0.000,0.000
877,2567.106,0.062,0.062,0.477,0.477,0.477,0.000,0.000
878,2569.990,0.000,-1.375,0.464,0.464,0.464,0.000,0.000
879,2572.875,0.937,0.937,0.452,0.452,0.452,0.000,0.000
880,2575.759,3.625,3.625,0.440,0.440,0.440,0.000,0.000
881,2578.644,0.937,0.937,0.427,0.427,0.427,0.000,0.000
882,2581.528,1.906,1.906,0.415,0.415,0.415,0.000,0.000
883,2584.412,2.219,2.219,0.403,0.403,0.403,0.000,0.000
884,2587.297,0.000,-0.531,0.391,0.391,0.391,0.000,0.000
885,2590.181,0.625,0.625,0.378,0.378,0.378,0.000,0.000
886,2593.065,0.000,-0.125,0.366,0.366,0.366,0.000,0.000
887,2595.949,0.031,0.031,0.354,0.354,0.354,0.000,0.000
888,2598.833,0.000,-0.219,0.341,0.341,0.341,0.000,0.000
889,2601.717,0.219,0.219,0.329,0.329,0.329,0.000,0.000
890,2604.602,0.000,-0.625,0.317,0.317,0.317,0.000,0.000
891,2607.486,0.937,0.937,0.304,0.304,0.304,0.000,0.000
892,2610.370,0.062,0.062,0.292,0.292,0.292,0.000,0.000
893,2613.254,1.187,1.187,0.280,0.280,0.280,0.000,0.000
894,2616.137,1.281,1.281,0.267,0.267,0.267,0.000,0.000
895,2619.021,0.000,-0.625,0.255,0.255,0.255,0.000,0.000
896,2621.905,0.406,0.406,0.243,0.243,0.243,0.000,0.000
897,2624.789,1.562,1.562,0.231,0.231,0.231,0.000,0.000
898,2627.673,0.469,0.469,0.218,0.218,0.218,0.000,0.000
899,2630.557,0.000,-0.688,0.206,0.206,0.206,0.000,0.000
900,2633.441,0.000,-0.406,0.194,0.194,0.194,0.000,0.000
901,2636.325,0.531,0.531,0.181,0.181,0.181,0.000,0.000
902,2639.209,0.437,0.437,0.169,0.169,0.169,0.000,0.000
903,2642.092,1.406,1.406,0.157,0.157,0.157,0.000,0.000
904,2644.976,0.000,-0.594,0.144,0.144,0.144,0.000,0.000
905,2647.860,0.531,0.531,0.132,0.132,0.132,0.000,0.000
906,2650.744,0.437,0.437,0.120,0.120,0.120,0.000,0.000
907,2653.628,0.719,0.719,0.107,0.107,0.107,0.000,0.000
908,2656.512,0.000,-0.281,0.108,0.108,0.000,0.000,0.000
909,2659.396,1.594,1.594,0.109,0.109,0.000,0.000,0.000
910,2662.279,0.562,0.562,0.110,0.110,0.000,0.000,0.000
911,2665.163,3.531,3.531,0.111,0.111,0.000,0.000,0.000
912,2668.047,0.000,-0.438,0.111,0.111,0.000,0.000,0.000
913,2670.931,0.750,0.750,0.112,0.112,0.000,0.000,0.000
914,2673.815,1.719,1.719,0.113,0.113,0.000,0.000,0.000
915,2676.699,1.562,1.562,0.114,0.114,0.000,0.000,0.000
916,2679.583,0.594,0.594,0.115,0.115,0.000,0.000,0.000
917,2682.467,0.750,0.750,0.115,0.115,0.000,0.000,0.000
918,2685.351,2.625,2.625,0.116,0.116,0.000,0.000,0.000
919,2688.235,0.000,-0.188,0.117,0.117,0.000,0.000,0.000
920,2691.120,0.000,-0.375,0.118,0.118,0.000,0.000,0.000
921,2694.004,0.000,-0.219,0.118,0.118,0.000,0.000,0.000
922,2696.888,0.000,-0.406,0.119,0.119,0.000,0.000,0.000
923,2699.772,2.687,2.687,0.120,0.120,0.000,0.000,0.000
924,2702.657,1.656,1.656,0.121,0.121,0.000,0.000,0.000
925,2705.541,0.781,0.781,0.122,0.122,0.000,0.000,0.000
926,2708.425,0.000,-0.188,0.122,0.122,0.000,0.000,0.000
927,2711.310,0.750,0.750,0.123,0.123,0.000,0.000,0.000
928,2714.194,1.594,1.594,0.124,0.124,0.000,0.000,0.000
929,2717.079,0.719,0.719,0.125,0.125,0.000,0.000,0.000
930,2719.964,0.812,0.812,0.126,0.126,0.000,0.000,0.000
931,2722.848,0.000,-0.125,0.126,0.126,0.000,0.000,0.000
932,2725.733,0.000,-0.250,0.127,0.127,0.000,0.000,0.000
933,2728.618,0.000,-0.344,0.128,0.128,0.000,0.000,0.000
934,2731.503,0.656,0.656,0.129,0.129,0.000,0.000,0.000
935,2734.388,0.000,-0.219,0.129,0.129,0.000,0.000,0.000
936,2737.273,0.000,-0.375,0.130,0.130,0.000,0.000,0.000
937,2740.158,0.000,-0.313,0.131,0.131,0.000,0.000,0.000
938,2743.043,0.594,0.594,0.132,0.132,0.000,0.000,0.000
939,2745.929,2.719,2.719,0.133,0.133,0.000,0.000,0.000
940,2748.814,0.000,-0.281,0.133,0.133,0.000,0.000,0.000
941,2751.700,0.656,0.656,0.134,0.134,0.000,0.000,0.000
942,2754.585,0.000,-0.344,0.135,0.135,0.000,0.000,0.000
943,2757.471,0.000,-0.281,0.136,0.136,0.000,0.000,0.000
944,2760.357,0.000,-0.313,0.136,0.136,0.000,0.000,0.000
945,2763.243,0.000,-0.500,0.137,0.137,0.000,0.000,0.000
946,2766.129,3.781,3.781,0.138,0.138,0.000,0.000,0.000
947,2769.015,0.844,0.844,0.139,0.139,0.000,0.000,0.000
948,2771.901,0.812,0.812,0.140,0.140,0.000,0.000,0.000
949,2774.787,0.719,0.719,0.140,0.140,0.000,0.000,0.000
950,2777.674,0.000,-0.281,0.141,0.141,0.000,0.000,0.000
951,2780.560,0.000,-0.156,0.142,0.142,0.000,0.000,0.000
952,2783.447,1.719,1.719,0.143,0.143,0.000,0.000,0.000
953,2786.334,0.875,0.875,0.144,0.144,0.000,0.000,0.000
954,2789.220,0.000,-0.344,0.144,0.144,0.000,0.000,0.000
955,2792.108,0.656,0.656,0.145,0.145,0.000,0.000,0.000
956,2794.995,0.875,0.875,0.146,0.146,0.000,0.000,0.000
957,2797.882,0.000,-0.281,0.147,0.147,0.000,0.000,0.000
958,2800.769,0.000,-0.281,0.147,0.147,0.000,0.000,0.000
959,2803.657,0.781,0.781,0.148,0.148,0.000,0.000,0.000
960,2806.545,0.000,-0.188,0.149,0.149,0.000,0.000,0.000
961,2809.432,0.000,-0.250,0.150,0.150,0.000,0.000,0.000
962,2812.320,0.719,0.719,0.151,0.151,0.000,0.000,0.000
963,2815.209,0.000,-0.188,0.151,0.151,0.000,0.000,0.000
964,2818.097,1.750,1.750,0.152,0.152,0.000,0.000,0.000
965,2820.985,0.000,-0.313,0.153,0.153,0.000,0.000,0.000
966,2823.874,0.781,0.781,0.154,0.154,0.000,0.000,0.000
967,2826.763,0.781,0.781,0.154,0.154,0.000,0.000,0.000
968,2829.652,0.750,0.750,0.155,0.155,0.000,0.000,0.000
969,2832.541,1.719,1.719,0.156,0.156,0.000,0.000,0.000
970,2835.430,0.000,-0.406,0.157,0.157,0.000,0.000,0.000
971,2838.319,0.000,-0.219,0.158,0.158,0.000,0.000,0.000
972,2841.209,0.656,0.656,0.158,0.158,0.000,0.000,0.000
973,2844.099,0.781,0.781,0.159,0.159,0.000,0.000,0.000
974,2846.989,0.812,0.812,0.160,0.160,0.000,0.000,0.000
975,2849.879,1.656,1.656,0.161,0.161,0.000,0.000,0.000
976,2852.769,1.750,1.750,0.162,0.162,0.000,0.000,0.000
977,2855.660,0.000,-0.250,0.162,0.162,0.000,0.000,0.000
978,2858.551,0.000,-0.219,0.163,0.163,0.000,0.000,0.000
979,2861.441,0.000,-0.125,0.164,0.164,0.000,0.000,0.000
980,2864.333,0.000,-0.406,0.165,0.165,0.000,0.000,0.000
981,2867.224,0.000,-0.406,0.165,0.165,0.000,0.000,0.000
982,2870.115,0.000,-0.188,0.166,0.166,0.000,0.000,0.000
983,2873.007,0.000,-0.313,0.167,0.167,0.000,0.000,0.000
984,2875.899,0.000,-0.219,0.168,0.168,0.000,0.000,0.000
985,2878.791,0.000,-0.344,0.169,0.169,0.000,0.000,0.000
986,2881.683,0.000,-0.219,0.169,0.169,0.000,0.000,0.000
987,2884.576,0.719,0.719,0.170,0.170,0.000,0.000,0.000
988,2887.469,0.844,0.844,0.171,0.171,0.000,0.000,0.000
989,2890.362,0.000,-0.125,0.172,0.172,0.000,0.000,0.000
990,2893.255,0.844,0.844,0.173,0.173,0.000,0.000,0.000
991,2896.149,0.000,-0.281,0.173,0.173,0.000,0.000,0.000
992,2899.042,0.000,-0.250,0.174,0.174,0.000,0.000,0.000
993,2901.936,0.687,0.687,0.175,0.175,0.000,0.000,0.000
994,2904.830,0.719,0.719,0.176,0.176,0.000,0.000,0.000
995,2907.725,0.000,-0.156,0.176,0.176,0.000,0.000,0.000
996,2910.620,0.000,-0.313,0.177,0.177,0.000,0.000,0.000
997,2913.514,0.719,0.719,0.178,0.178,0.000,0.000,0.000
998,2916.410,0.000,-0.219,0.179,0.179,0.000,0.000,0.000
999,2919.305,0.750,0.750,0.180,0.180,0.000,0.000,0.000
1000,2922.201,0.000,-0.125,0.180,0.180,0.000,0.000,0.000
1001,2925.097,0.875,0.875,0.181,0.181,0.000,0.000,0.000
1002,2927.993,0.000,-0.219,0.182,0.182,0.000,0.000,0.000
1003,2930.889,0.000,-0.313,0.183,0.183,0.000,0.000,0.000
1004,2933.786,0.000,-0.344,0.183,0.183,0.000,0.000,0.000
1005,2936.683,0.000,-0.219,0.184,0.184,0.000,0.000,0.000
1006,2939.580,0.844,0.844,0.185,0.185,0.000,0.000,0.000
1007,2942.478,0.000,-0.250,0.186,0.186,0.000,0.000,0.000
1008,2945.376,0.000,-0.188,0.187,0.187,0.000,0.000,0.000
1009,2948.274,0.000,-0.125,0.187,0.187,0.000,0.000,0.000
1010,2951.172,0.000,-0.375,0.188,0.188,0.000,0.000,0.000
1011,2954.071,0.750,0.750,0.189,0.189,0.000,0.000,0.000
1012,2956.970,0.000,-0.344,0.190,0.190,0.000,0.000,0.000
1013,2959.870,0.000,-0.219,0.191,0.191,0.000,0.000,0.000
1014,2962.769,0.000,-0.094,0.191,0.191,0.000,0.000,0.000
1015,2965.669,0.812,0.812,0.192,0.192,0.000,0.000,0.000
1016,2968.569,0.750,0.750,0.193,0.193,0.000,0.000,0.000
1017,2971.470,0.000,-0.313,0.194,0.194,0.000,0.000,0.000
1018,2974.371,0.562,0.562,0.194,0.194,0.000,0.000,0.000
1019,2977.272,0.719,0.719,0.195,0.195,0.000,0.000,0.000
1020,2980.174,0.000,-0.281,0.196,0.196,0.000,0.000,0.000
1021,2983.075,0.000,-0.281,0.197,0.197,0.000,0.000,0.000
1022,2985.978,0.000,-0.156,0.198,0.198,0.000,0.000,0.000
1023,2988.880,0.000,-0.188,0.198,0.198,0.000,0.000,0.000
