ch,keV,net,fit,model,continuum_raw,Ce-139,Esc-NaI,continuum
531,1571.817,0.000,-1.367,0.000,0.000,0.000,0.000,0.000
532,1574.843,0.000,-0.933,0.000,0.000,0.000,0.000,0.000
533,1577.868,1.500,1.500,0.000,0.000,0.000,0.000,0.000
534,1580.894,0.000,-2.400,0.000,0.000,0.000,0.000,0.000
535,1583.919,0.567,0.567,0.000,0.000,0.000,0.000,0.000
536,1586.944,0.833,0.833,0.000,0.000,0.000,0.000,0.000
537,1589.970,1.700,1.700,0.000,0.000,0.000,0.000,0.000
538,1592.995,0.000,-0.400,0.000,0.000,0.000,0.000,0.000
539,1596.020,4.200,4.200,0.000,0.000,0.000,0.000,0.000
540,1599.045,1.767,1.767,0.000,0.000,0.000,0.000,0.000
541,1602.070,0.000,-0.367,0.000,0.000,0.000,0.000,0.000
542,1605.095,0.000,-1.300,0.000,0.000,0.000,0.000,0.000
543,1608.120,0.000,-0.167,0.000,0.000,0.000,0.000,0.000
544,1611.144,0.000,-0.333,0.000,0.000,0.000,0.000,0.000
545,1614.169,0.000,-0.967,0.000,0.000,0.000,0.000,0.000
546,1617.193,0.600,0.600,0.000,0.000,0.000,0.000,0.000
547,1620.218,2.033,2.033,0.000,0.000,0.000,0.000,0.000
548,1623.242,0.100,0.100,0.000,0.000,0.000,0.000,0.000
549,1626.266,0.000,-2.200,0.000,0.000,0.000,0.000,0.000
550,1629.290,0.433,0.433,0.000,0.000,0.000,0.000,0.000
551,1632.314,2.067,2.067,0.000,0.000,0.000,0.000,0.000
552,1635.338,0.000,-1.033,0.000,0.000,0.000,0.000,0.000
553,1638.362,0.133,0.133,0.000,0.000,0.000,0.000,0.000
554,1641.386,0.000,-1.867,0.000,0.000,0.000,0.000,0.000
555,1644.410,0.067,0.067,0.000,0.000,0.000,0.000,0.000
556,1647.433,1.100,1.100,0.000,0.000,0.000,0.000,0.000
557,1650.457,0.367,0.367,0.000,0.000,0.000,0.000,0.000
558,1653.480,0.000,-0.933,0.000,0.000,0.000,0.000,0.000
559,1656.503,0.000,-0.200,0.000,0.000,0.000,0.000,0.000
560,1659.526,0.033,0.033,0.000,0.000,0.000,0.000,0.000
561,1662.549,3.067,3.067,0.000,0.000,0.000,0.000,0.000
562,1665.572,3.800,3.800,0.000,0.000,0.000,0.000,0.000
563,1668.595,0.000,-1.100,0.000,0.000,0.000,0.000,0.000
564,1671.617,0.000,-2.033,0.000,0.000,0.000,0.000,0.000
565,1674.640,0.000,-0.067,0.000,0.000,0.000,0.000,0.000
566,1677.662,0.300,0.300,0.000,0.000,0.000,0.000,0.000
567,1680.685,0.867,0.867,0.000,0.000,0.000,0.000,0.000
568,1683.707,0.200,0.200,0.000,0.000,0.000,0.000,0.000
569,1686.729,0.000,-0.200,0.000,0.000,0.000,0.000,0.000
570,1689.751,1.400,1.400,0.000,0.000,0.000,0.000,0.000
571,1692.773,0.000,-0.967,0.000,0.000,0.000,0.000,0.000
572,1695.794,0.433,0.433,0.000,0.000,0.000,0.000,0.000
573,1698.816,0.033,0.033,0.000,0.000,0.000,0.000,0.000
574,1701.837,0.933,0.933,0.000,0.000,0.000,0.000,0.000
575,1704.858,2.033,2.033,0.000,0.000,0.000,0.000,0.000
576,1707.880,2.900,2.900,0.000,0.000,0.000,0.000,0.000
577,1710.901,0.000,-0.033,0.000,0.000,0.000,0.000,0.000
578,1713.921,0.000,-2.467,0.000,0.000,0.000,0.000,0.000
579,1716.942,2.033,2.033,0.000,0.000,0.000,0.000,0.000
580,1719.963,0.133,0.133,0.000,0.000,0.000,0.000,0.000
581,1722.983,0.000,-1.533,0.000,0.000,0.000,0.000,0.000
582,1726.003,2.200,2.200,0.000,0.000,0.000,0.000,0.000
583,1729.024,0.833,0.833,0.000,0.000,0.000,0.000,0.000
584,1732.044,0.000,-1.533,0.000,0.000,0.000,0.000,0.000
585,1735.063,0.000,-0.800,0.000,0.000,0.000,0.000,0.000
586,1738.083,0.000,-1.967,0.000,0.000,0.000,0.000,0.000
587,1741.103,0.000,-1.367,0.000,0.000,0.000,0.000,0.000
588,1744.122,0.000,-0.133,0.000,0.000,0.000,0.000,0.000
589,1747.141,0.000,-0.867,0.000,0.000,0.000,0.000,0.000
590,1750.160,0.000,-1.333,0.000,0.000,0.000,0.000,0.000
591,1753.179,2.800,2.800,0.000,0.000,0.000,0.000,0.000
592,1756.198,0.267,0.267,0.000,0.000,0.000,0.000,0.000
593,1759.217,0.167,0.167,0.000,0.000,0.000,0.000,0.000
594,1762.235,2.633,2.633,0.000,0.000,0.000,0.000,0.000
595,1765.253,0.000,0.000,0.000,0.000,0.000,0.000,0.000
596,1768.272,0.467,0.467,0.000,0.000,0.000,0.000,0.000
597,1771.289,0.000,-0.300,0.000,0.000,0.000,0.000,0.000
598,1774.307,0.000,-0.467,0.000,0.000,0.000,0.000,0.000
599,1777.325,1.733,1.733,0.000,0.000,0.000,0.000,0.000
600,1780.342,0.000,-0.267,0.000,0.000,0.000,0.000,0.000
601,1783.360,1.300,1.300,0.000,0.000,0.000,0.000,0.000
602,1786.377,0.000,-0.500,0.000,0.000,0.000,0.000,0.000
603,1789.394,0.000,-1.700,0.000,0.000,0.000,0.000,0.000
604,1792.410,0.000,-0.733,0.000,0.000,0.000,0.000,0.000
605,1795.427,3.233,3.233,0.000,0.000,0.000,0.000,0.000
606,1798.443,1.533,1.533,0.000,0.000,0.000,0.000,0.000
607,1801.459,2.000,2.000,0.000,0.000,0.000,0.000,0.000
608,1804.475,0.733,0.733,0.000,0.000,0.000,0.000,0.000
609,1807.491,1.300,1.300,0.000,0.000,0.000,0.000,0.000
610,1810.507,0.267,0.267,0.000,0.000,0.000,0.000,0.000
611,1813.522,0.000,-0.800,0.000,0.000,0.000,0.000,0.000
612,1816.538,1.133,1.133,0.000,0.000,0.000,0.000,0.000
613,1819.553,1.233,1.233,0.000,0.000,0.000,0.000,0.000
614,1822.567,4.367,4.367,0.000,0.000,0.000,0.000,0.000
615,1825.582,0.000,-1.833,0.000,0.000,0.000,0.000,0.000
