ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,pile-up
161,462.363,30487.225,30487.225,28788.584,4220.500,10278.174,18437.292,73.118
162,465.204,33363.100,33363.100,31818.659,4168.521,10239.072,21467.164,112.423
163,468.045,36316.100,36316.100,36300.690,4116.541,10201.678,25997.528,101.484
164,470.887,42269.694,42269.694,42792.576,4064.562,10166.857,32588.442,37.277
165,473.729,49823.819,49823.819,52078.126,4052.316,10147.644,41947.892,18.248
166,476.573,59645.225,59645.225,65007.808,4040.071,10133.039,54830.137,44.632
167,479.417,77038.881,77038.881,82060.175,4027.826,10124.144,72072.831,18.281
168,482.261,98241.444,98241.444,104432.790,4015.580,10122.037,94493.245,18.334
169,485.107,121873.631,121873.631,132808.944,4003.335,10127.734,122780.755,18.420
170,487.953,160636.663,160636.663,166922.086,3991.089,10142.130,157364.095,18.549
171,490.799,203687.631,203687.631,207916.388,3978.844,10165.961,198267.335,18.730
172,493.647,244384.194,244384.194,254786.507,3966.598,10199.787,244975.865,18.979
173,496.495,308791.632,308791.632,306056.425,3954.353,10244.000,296338.817,19.310
174,499.343,370820.538,370820.538,359569.489,3942.108,10298.855,350535.006,19.740
175,502.193,423241.725,423241.725,414052.671,3929.862,10364.525,405124.303,20.287
176,505.043,492981.382,492981.382,466691.508,3917.617,10441.160,457194.923,20.971
177,507.893,555458.850,555458.850,511897.997,3905.371,10528.948,503601.009,21.815
178,510.744,594110.288,594110.288,550015.452,3893.126,10628.158,541266.882,22.838
179,513.596,630822.099,630822.099,576997.533,3880.881,10739.144,567518.483,24.065
180,516.449,656399.444,656399.444,589942.998,3868.635,10862.291,580392.944,25.513
181,519.302,649576.912,649576.912,587620.275,3856.390,10997.904,578876.710,27.201
182,522.156,635566.850,635566.850,571852.289,3844.144,11146.006,563032.309,29.135
183,525.010,599704.256,599704.256,544114.994,3831.899,11306.078,533991.962,31.313
184,527.865,536861.506,536861.506,503295.246,3819.653,11476.751,493819.139,33.717
185,530.721,484858.224,484858.224,455424.590,3807.408,11655.523,445261.777,36.305
186,533.577,407588.630,407588.630,402543.901,3795.163,11838.604,391438.275,39.017
187,536.434,336126.756,336126.756,346952.108,3782.917,12020.996,335506.050,41.770
188,539.291,269214.318,269214.318,291773.435,3770.672,12196.889,280361.056,44.467
189,542.149,208374.724,208374.724,240066.600,3758.426,12360.365,228406.447,47.010
190,545.008,156346.099,156346.099,193763.668,3746.181,12506.243,181412.532,49.310
191,547.867,113643.943,113643.943,152877.364,3733.935,12630.847,140472.422,51.304
192,550.727,81896.442,81896.442,118686.145,3721.690,12732.449,106041.955,52.960
193,553.588,57166.036,57166.036,90941.234,3709.445,12811.287,78041.634,88.314
194,556.449,40931.161,40931.161,68997.707,3697.199,12869.243,55993.389,135.075
195,559.310,29268.505,29268.505,52197.919,3684.954,12909.243,39165.987,122.689
196,562.172,22692.505,22692.505,39784.547,3672.708,12934.639,26708.133,141.774
197,565.035,18071.817,18071.817,30916.222,3660.463,12948.890,17755.803,211.529
198,567.898,15619.130,15619.130,24659.161,3648.217,12955.205,11507.988,195.968
199,570.762,14452.567,14452.567,20445.123,3635.972,12956.230,7271.443,217.449
200,573.626,13382.224,13382.224,17678.644,3623.727,12954.234,4479.233,245.176
201,576.491,13292.849,13292.849,15898.432,3611.481,12950.962,2689.974,257.495
202,579.357,12976.474,12976.474,14765.998,3599.236,12947.662,1574.902,243.435
203,582.223,12725.099,12725.099,14092.142,3586.990,12945.127,898.916,248.099
204,585.089,12766.474,12766.474,13721.515,3574.745,12943.784,500.201,277.530
205,587.956,12897.942,12897.942,13468.593,3562.499,12943.703,271.349,253.541
206,590.824,13003.098,13003.098,13355.493,3550.254,12944.568,143.507,267.419
207,593.692,12709.473,12709.473,13305.587,3538.009,12945.920,73.990,285.677
208,596.561,12619.567,12619.567,13272.761,3525.763,12947.119,37.190,288.451
209,599.430,12784.661,12784.661,13233.962,3513.518,12947.462,18.224,268.276
210,602.300,13065.693,13065.693,13223.450,3501.272,12946.288,8.706,268.456
211,605.170,12980.755,12980.755,13236.816,3489.027,12943.121,4.055,289.640
212,608.041,12622.661,12622.661,13229.544,3476.781,12937.697,1.841,290.007
213,610.912,12776.067,12776.067,13206.827,3464.536,12929.960,0.815,276.052
214,613.784,12689.411,12689.411,13186.165,3452.291,12920.124,0.352,265.689
215,616.656,12947.754,12947.754,13198.510,3440.045,12908.652,0.148,289.711
216,619.529,12851.317,12851.317,13164.621,3427.800,12896.219,0.061,268.341
217,622.402,12874.005,12874.005,13153.660,3415.554,12883.540,0.024,270.097
218,625.276,12999.129,12999.129,13162.367,3403.309,12871.424,0.009,290.933
219,628.150,12849.973,12849.973,13149.983,3391.063,12860.634,0.004,289.345
220,631.025,12909.723,12909.723,13128.100,3378.818,12851.774,0.001,276.324
221,633.900,12736.410,12736.410,13112.565,3364.046,12842.805,0.000,269.760
222,636.776,12985.910,12985.910,13133.019,3349.273,12836.478,0.000,296.541
223,639.652,13384.754,13384.754,13105.485,3334.501,12832.867,0.000,272.618
224,642.528,13381.597,13381.597,13109.747,3319.728,12831.764,0.000,277.982
225,645.405,13215.910,13215.910,13134.609,3304.956,12832.853,0.000,301.755
226,648.283,13121.816,13121.816,13139.604,3290.183,12835.663,0.000,303.940
227,651.161,13475.472,13475.472,13128.978,3275.411,12839.587,0.000,289.391
228,654.039,13763.629,13763.629,13129.187,3260.638,12843.973,0.000,285.213
229,656.918,13729.004,13729.004,13163.840,3245.866,12848.195,0.000,315.645
230,659.797,13102.597,13102.597,13144.822,3231.094,12851.696,0.000,293.126
231,662.677,13799.973,13799.973,13156.843,3216.321,12853.924,0.000,302.919
232,665.557,14030.691,14030.691,13180.638,3201.549,12854.529,0.000,326.108
233,668.438,14141.098,14141.098,13184.305,3186.776,12853.285,0.000,331.019
234,671.319,13792.441,13792.441,13162.618,3172.004,12850.093,0.000,312.524
235,674.201,14372.660,14372.660,13156.382,3157.231,12845.009,0.000,311.373
236,677.083,14633.847,14633.847,13182.186,3142.459,12838.277,0.000,343.909
237,679.965,14803.941,14803.941,13146.866,3127.686,12830.294,0.000,316.572
238,682.848,14893.472,14893.472,13156.152,3112.914,12821.490,0.000,334.662
239,685.731,15411.316,15411.316,13174.596,3098.142,12812.484,0.000,362.112
240,688.614,15654.597,15654.597,13175.325,3083.369,12803.929,0.000,371.395
241,691.498,15621.535,15621.535,13149.408,3068.597,12796.497,0.000,352.911
242,694.383,15738.223,15738.223,13152.205,3053.824,12790.865,0.000,361.340
243,697.268,16113.160,16113.160,13187.608,3039.052,12787.753,0.000,399.855
244,700.153,15681.723,15681.723,13200.980,3024.279,12787.853,0.000,413.128
245,703.038,16084.410,16084.410,13196.653,3009.507,12791.755,0.000,404.898
246,705.924,15631.816,15631.816,13204.466,2994.734,12799.982,0.000,404.484
247,708.811,15645.785,15645.785,13263.381,2979.962,12812.993,0.000,450.388
248,711.697,15624.878,15624.878,13264.181,2965.190,12831.166,0.000,433.015
249,714.585,15389.097,15389.097,13297.054,2950.417,12854.654,0.000,442.401
250,717.472,15211.253,15211.253,13350.569,2935.645,12883.536,0.000,467.033
251,720.360,15128.816,15128.816,13395.989,2920.872,12917.712,0.000,478.277
252,723.248,15125.847,15125.847,13408.965,2906.100,12956.869,0.000,452.097
253,726.137,14828.659,14828.659,13444.170,2891.327,13000.471,0.000,443.699
254,729.026,14431.378,14431.378,13521.796,2876.555,13047.828,0.000,473.969
255,731.915,14296.222,14296.222,13537.211,2861.782,13098.066,0.000,439.145
256,734.805,14259.191,14259.191,13586.791,2847.010,13150.038,0.000,436.753
257,737.695,14089.722,14089.722,13644.071,2832.238,13202.528,0.000,441.543
258,740.585,14321.941,14321.941,13689.841,2817.465,13254.192,0.000,435.649
259,743.476,14207.253,14207.253,13702.816,2802.693,13303.621,0.000,399.194
260,746.367,14105.441,14105.441,13739.299,2787.920,13349.416,0.000,389.883
261,749.258,14098.503,14098.503,13797.201,2773.148,13390.325,0.000,406.875
262,752.150,14051.003,14051.003,13814.836,2758.375,13425.276,0.000,389.560
263,755.042,14117.097,14117.097,13816.207,2743.603,13453.393,0.000,362.815
264,757.935,14185.941,14185.941,13817.727,2728.830,13474.124,0.000,343.603
265,760.827,14046.878,14046.878,13845.277,2714.058,13487.279,0.000,357.997
266,763.721,14197.316,14197.316,13820.947,2699.286,13493.042,0.000,327.906
267,766.614,14037.941,14037.941,13818.815,2684.513,13491.872,0.000,326.943
268,769.508,14188.628,14188.628,13824.133,2669.741,13484.596,0.000,339.538
269,772.402,14071.753,14071.753,13796.143,2654.968,13472.274,0.000,323.869
270,775.296,14289.472,14289.472,13757.548,2640.196,13456.103,0.000,301.446
271,778.191,14013.347,14013.347,13728.829,2625.423,13437.390,0.000,291.440
272,781.086,13913.784,13913.784,13720.255,2610.651,13417.470,0.000,302.786
273,783.981,13806.753,13806.753,13672.311,2595.878,13397.622,0.000,274.689
274,786.876,14145.691,14145.691,13657.673,2581.106,13378.951,0.000,278.722
275,789.772,13850.940,13850.940,13650.146,2566.334,13362.450,0.000,287.696
276,792.668,13593.378,13593.378,13631.359,2551.561,13348.891,0.000,282.467
277,795.565,13714.722,13714.722,13594.391,2536.789,13338.821,0.000,255.569
278,798.461,13330.940,13330.940,13583.419,2522.016,13332.571,0.000,250.848
279,801.358,13478.222,13478.222,13593.493,2507.244,13330.314,0.000,263.180
280,804.256,13208.972,13208.972,13595.266,2492.471,13332.046,0.000,263.220
281,807.153,13498.909,13498.909,13575.417,2477.699,13337.595,0.000,237.822
282,810.051,13348.097,13348.097,13571.294,2462.926,13346.657,0.000,224.637
283,812.949,13327.815,13327.815,13609.660,2448.154,13358.872,0.000,250.788
284,815.848,13171.190,13171.190,13593.070,2433.381,13373.840,0.000,219.231
