ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
828,2446.341,0.000,-0.605,0.000,0.000,0.000,0.000
829,2449.372,0.000,-1.660,0.000,0.000,0.000,0.000
830,2452.404,0.000,-0.605,0.000,0.000,0.000,0.000
831,2455.436,0.000,-0.379,0.000,0.000,0.000,0.000
832,2458.469,0.731,0.731,0.000,0.000,0.000,0.000
833,2461.503,0.000,-0.494,0.000,0.000,0.000,0.000
834,2464.538,0.000,-1.047,0.000,0.000,0.000,0.000
835,2467.573,0.285,0.285,0.000,0.000,0.000,0.000
836,2470.609,0.008,0.008,0.000,0.000,0.000,0.000
837,2473.645,1.174,1.174,0.000,0.000,0.000,0.000
838,2476.682,0.000,-0.771,0.000,0.000,0.000,0.000
839,2479.720,0.000,-2.158,0.000,0.000,0.000,0.000
840,2482.759,1.953,1.953,0.000,0.000,0.000,0.000
841,2485.799,5.229,5.229,0.000,0.000,0.000,0.000
842,2488.839,0.000,-0.047,0.000,0.000,0.000,0.000
843,2491.880,0.000,-1.099,0.000,0.000,0.000,0.000
844,2494.921,0.731,0.731,0.000,0.000,0.000,0.000
845,2497.964,0.787,0.787,0.000,0.000,0.000,0.000
846,2501.007,2.676,2.676,0.000,0.000,0.000,0.000
847,2504.051,0.000,-1.213,0.000,0.000,0.000,0.000
848,2507.096,0.000,-2.435,0.000,0.000,0.000,0.000
849,2510.141,0.510,0.510,0.000,0.000,0.000,0.000
850,2513.187,0.000,-1.103,0.000,0.000,0.000,0.000
851,2516.234,1.510,1.510,0.000,0.000,0.000,0.000
852,2519.282,3.063,3.063,0.000,0.000,0.000,0.000
853,2522.331,0.000,-0.656,0.000,0.000,0.000,0.000
854,2525.380,3.846,3.846,0.000,0.000,0.000,0.000
855,2528.430,0.000,-1.320,0.000,0.000,0.000,0.000
856,2531.481,0.000,-0.877,0.000,0.000,0.000,0.000
857,2534.533,1.067,1.067,0.000,0.000,0.000,0.000
858,2537.586,0.000,-1.209,0.000,0.000,0.000,0.000
859,2540.639,0.000,-0.320,0.000,0.000,0.000,0.000
860,2543.693,0.000,-1.652,0.000,0.000,0.000,0.000
861,2546.749,0.684,0.684,0.000,0.000,0.000,0.000
862,2549.805,4.795,4.795,0.000,0.000,0.000,0.000
863,2552.861,2.739,2.739,0.000,0.000,0.000,0.000
864,2555.919,0.000,-1.763,0.000,0.000,0.000,0.000
865,2558.978,0.000,-1.984,0.000,0.000,0.000,0.000
866,2562.037,3.127,3.127,0.000,0.000,0.000,0.000
867,2565.097,0.739,0.739,0.000,0.000,0.000,0.000
868,2568.158,4.905,4.905,0.000,0.000,0.000,0.000
869,2571.220,0.407,0.407,0.000,0.000,0.000,0.000
870,2574.283,0.000,-2.035,0.000,0.000,0.000,0.000
871,2577.347,3.633,3.633,0.000,0.000,0.000,0.000
872,2580.412,0.000,-5.419,0.000,0.000,0.000,0.000
873,2583.477,2.301,2.301,0.000,0.000,0.000,0.000
874,2586.544,0.522,0.522,0.000,0.000,0.000,0.000
875,2589.611,0.000,-0.482,0.000,0.000,0.000,0.000
876,2592.680,2.356,2.356,0.000,0.000,0.000,0.000
877,2595.749,0.000,-0.869,0.000,0.000,0.000,0.000
878,2598.819,3.633,3.633,0.000,0.000,0.000,0.000
879,2601.890,0.000,-2.581,0.000,0.000,0.000,0.000
880,2604.962,0.000,-3.419,0.000,0.000,0.000,0.000
881,2608.035,2.577,2.577,0.000,0.000,0.000,0.000
882,2611.109,0.000,-0.423,0.000,0.000,0.000,0.000
883,2614.184,0.000,-1.367,0.000,0.000,0.000,0.000
884,2617.260,0.000,-2.427,0.000,0.000,0.000,0.000
885,2620.337,0.000,-0.755,0.000,0.000,0.000,0.000
886,2623.415,2.684,2.684,0.000,0.000,0.000,0.000
887,2626.494,0.000,-0.699,0.000,0.000,0.000,0.000
888,2629.574,0.186,0.186,0.000,0.000,0.000,0.000
889,2632.655,0.000,-1.482,0.000,0.000,0.000,0.000
