ch,keV,net,fit,model,continuum_raw,Y-88,Ann-511
963,2862.325,0.000,-0.111,0.110,0.058,0.110,0.000
964,2865.195,0.000,-0.289,0.103,0.059,0.103,0.000
965,2868.065,0.933,0.933,0.096,0.060,0.096,0.000
966,2870.933,0.000,-0.222,0.091,0.061,0.091,0.000
967,2873.802,0.000,-0.267,0.087,0.062,0.087,0.000
968,2876.669,0.000,-0.222,0.084,0.063,0.084,0.000
969,2879.535,0.756,0.756,0.081,0.064,0.081,0.000
970,2882.401,0.778,0.778,0.079,0.065,0.079,0.000
971,2885.266,0.000,-0.311,0.077,0.066,0.077,0.000
972,2888.131,0.000,-0.156,0.076,0.067,0.076,0.000
973,2890.994,0.867,0.867,0.076,0.068,0.076,0.000
974,2893.857,0.000,-0.222,0.075,0.069,0.075,0.000
975,2896.719,0.000,-0.111,0.075,0.070,0.075,0.000
976,2899.581,0.000,-0.156,0.075,0.071,0.075,0.000
977,2902.441,0.756,0.756,0.075,0.072,0.075,0.000
978,2905.301,0.000,-0.200,0.075,0.073,0.075,0.000
979,2908.160,0.000,-0.244,0.076,0.074,0.076,0.000
980,2911.019,0.000,-0.156,0.076,0.075,0.076,0.000
981,2913.876,0.000,-0.156,0.077,0.076,0.077,0.000
982,2916.733,0.800,0.800,0.078,0.077,0.078,0.000
983,2919.589,0.000,-0.156,0.078,0.078,0.078,0.000
984,2922.444,0.000,-0.222,0.079,0.079,0.079,0.000
985,2925.299,0.000,-0.200,0.080,0.080,0.080,0.000
986,2928.153,0.822,0.822,0.081,0.081,0.081,0.000
987,2931.006,0.000,-0.133,0.082,0.081,0.082,0.000
988,2933.858,0.000,-0.133,0.083,0.082,0.083,0.000
989,2936.709,0.000,-0.311,0.084,0.083,0.084,0.000
990,2939.560,0.844,0.844,0.084,0.084,0.084,0.000
991,2942.410,0.800,0.800,0.085,0.085,0.085,0.000
992,2945.259,0.000,-0.178,0.086,0.086,0.086,0.000
993,2948.107,0.000,-0.133,0.087,0.087,0.087,0.000
994,2950.955,0.000,-0.200,0.088,0.088,0.088,0.000
995,2953.801,0.844,0.844,0.089,0.089,0.089,0.000
996,2956.647,0.733,0.733,0.090,0.090,0.090,0.000
997,2959.492,0.000,-0.133,0.091,0.091,0.091,0.000
998,2962.337,0.000,-0.156,0.092,0.092,0.092,0.000
999,2965.180,0.000,-0.133,0.093,0.093,0.093,0.000
1000,2968.023,0.000,-0.222,0.094,0.094,0.094,0.000
1001,2970.865,0.000,-0.178,0.095,0.095,0.095,0.000
1002,2973.706,0.000,-0.178,0.096,0.096,0.096,0.000
1003,2976.547,0.000,-0.244,0.097,0.097,0.097,0.000
1004,2979.386,0.000,-0.178,0.098,0.098,0.098,0.000
1005,2982.225,0.733,0.733,0.099,0.099,0.099,0.000
1006,2985.063,0.000,-0.156,0.100,0.100,0.100,0.000
1007,2987.900,0.956,0.956,0.101,0.101,0.101,0.000
1008,2990.737,0.000,-0.200,0.102,0.102,0.102,0.000
1009,2993.572,0.000,-0.289,0.103,0.103,0.103,0.000
1010,2996.407,0.000,-0.244,0.104,0.104,0.104,0.000
1011,2999.241,0.000,-0.222,0.104,0.104,0.104,0.000
1012,3002.074,0.000,-0.089,0.105,0.105,0.105,0.000
1013,3004.907,0.911,0.911,0.106,0.106,0.106,0.000
1014,3007.738,0.000,-0.200,0.107,0.107,0.107,0.000
1015,3010.569,1.822,1.822,0.108,0.108,0.108,0.000
1016,3013.399,0.000,-0.156,0.109,0.109,0.109,0.000
1017,3016.228,0.000,-0.178,0.110,0.110,0.110,0.000
1018,3019.056,0.000,-0.178,0.111,0.111,0.111,0.000
1019,3021.884,0.800,0.800,0.112,0.112,0.112,0.000
1020,3024.710,0.000,-0.133,0.113,0.113,0.113,0.000
1021,3027.536,0.000,-0.111,0.114,0.114,0.114,0.000
1022,3030.361,0.844,0.844,0.115,0.115,0.115,0.000
1023,3033.185,0.000,-0.178,0.116,0.116,0.116,0.000
