ch,keV,net,fit,model,continuum_raw,Pb-212,Tl-208,Bi-212,Ra-224,Th-228,Rn-220
231,668.191,65.333,65.333,75.873,32.273,0.000,60.536,15.335,0.000,0.000,0.000
232,671.167,67.533,67.533,75.334,32.065,0.000,59.448,15.884,0.000,0.000,0.000
233,674.142,70.767,70.767,75.100,31.857,0.000,58.322,16.776,0.000,0.000,0.000
234,677.118,79.467,79.467,75.351,31.649,0.000,57.189,18.160,0.000,0.000,0.000
235,680.094,57.100,57.100,76.310,31.442,0.000,56.079,20.229,0.000,0.000,0.000
236,683.070,76.567,76.567,78.243,31.234,0.000,55.018,23.223,0.000,0.000,0.000
237,686.045,78.233,78.233,81.453,31.026,0.000,54.029,27.423,0.000,0.000,0.000
238,689.021,104.067,104.067,86.267,30.818,0.000,53.125,33.140,0.000,0.000,0.000
239,691.998,82.267,82.267,93.009,30.610,0.000,52.314,40.693,0.000,0.000,0.000
240,694.974,97.600,97.600,101.968,30.402,0.000,51.599,50.367,0.000,0.000,0.000
241,697.950,119.867,119.867,113.356,30.195,0.000,50.977,62.377,0.000,0.000,0.000
242,700.926,129.633,129.633,127.249,29.987,0.000,50.440,76.807,0.000,0.000,0.000
243,703.903,152.667,152.667,143.549,29.779,0.000,49.985,93.562,0.000,0.000,0.000
244,706.879,186.633,186.633,161.932,29.571,0.000,49.607,112.324,0.000,0.000,0.000
245,709.856,220.167,220.167,181.831,29.363,0.000,49.304,132.525,0.000,0.000,0.000
246,712.833,214.800,214.800,202.438,29.155,0.000,49.083,153.353,0.000,0.000,0.000
247,715.810,233.500,233.500,222.745,28.947,0.000,48.953,173.791,0.000,0.000,0.000
248,718.787,252.667,252.667,241.618,28.740,0.000,48.930,192.686,0.000,0.000,0.000
249,721.764,273.367,273.367,257.893,28.532,0.000,49.034,208.858,0.000,0.000,0.000
250,724.741,252.333,252.333,270.503,28.324,0.000,49.288,221.214,0.000,0.000,0.000
251,727.718,330.067,330.067,278.594,28.116,0.000,49.717,228.875,0.000,0.000,0.000
252,730.695,313.467,313.467,281.625,27.908,0.000,50.343,231.281,0.000,0.000,0.000
253,733.673,292.633,292.633,279.440,27.700,0.000,51.180,228.259,0.000,0.000,0.000
254,736.650,265.200,265.200,272.285,27.492,0.000,52.233,220.051,0.000,0.000,0.000
255,739.628,267.167,267.167,260.778,27.285,0.000,53.492,207.285,0.000,0.000,0.000
256,742.605,219.300,219.300,245.836,27.077,0.000,54.929,190.905,0.000,0.000,0.000
257,745.583,233.800,233.800,228.562,26.869,0.000,56.498,172.063,0.000,0.000,0.000
258,748.561,234.067,234.067,210.127,26.661,0.000,58.132,151.993,0.000,0.000,0.000
259,751.539,203.000,203.000,191.643,26.453,0.000,59.749,131.891,0.000,0.000,0.000
260,754.517,168.800,168.800,174.062,26.245,0.000,61.258,112.801,0.000,0.000,0.000
261,757.495,164.267,164.267,158.111,26.037,0.000,62.563,95.544,0.000,0.000,0.000
262,760.473,130.433,130.433,144.252,25.830,0.000,63.575,80.672,0.000,0.000,0.000
263,763.451,124.167,124.167,132.689,25.622,0.000,64.221,68.462,0.000,0.000,0.000
264,766.430,135.000,135.000,123.394,25.414,0.000,64.449,58.937,0.000,0.000,0.000
265,769.408,110.833,110.833,116.159,25.206,0.000,64.238,51.910,0.000,0.000,0.000
266,772.387,98.400,98.400,110.654,24.998,0.000,63.598,47.043,0.000,0.000,0.000
267,775.365,102.100,102.100,106.434,24.739,0.000,62.519,43.899,0.000,0.000,0.000
268,778.344,87.133,87.133,103.148,24.479,0.000,61.115,42.012,0.000,0.000,0.000
269,781.323,125.100,125.100,100.419,24.220,0.000,59.472,40.923,0.000,0.000,0.000
270,784.302,102.333,102.333,97.933,23.961,0.000,57.684,40.219,0.000,0.000,0.000
271,787.281,88.133,88.133,95.448,23.701,0.000,55.853,39.562,0.000,0.000,0.000
272,790.260,89.233,89.233,92.810,23.442,0.000,54.071,38.700,0.000,0.000,0.000
273,793.239,82.800,82.800,89.944,23.183,0.000,52.428,37.474,0.000,0.000,0.000
274,796.218,86.267,86.267,86.856,22.923,0.000,50.998,35.810,0.000,0.000,0.000
275,799.198,78.467,78.467,83.613,22.664,0.000,49.851,33.711,0.000,0.000,0.000
276,802.177,73.100,73.100,80.341,22.404,0.000,49.049,31.239,0.000,0.000,0.000
277,805.157,75.800,75.800,77.201,22.145,0.000,48.651,28.495,0.000,0.000,0.000
