ch,keV,net,fit,model,continuum_raw,Y-88
930,2759.454,0.200,0.200,0.025,0.000,0.025
931,2762.311,0.467,0.467,0.025,0.000,0.025
932,2765.166,0.600,0.600,0.024,0.000,0.024
933,2768.021,2.467,2.467,0.023,0.000,0.023
934,2770.875,0.000,-1.267,0.023,0.000,0.023
935,2773.728,2.400,2.400,0.022,0.000,0.022
936,2776.581,0.467,0.467,0.021,0.000,0.021
937,2779.432,0.000,-0.733,0.020,0.000,0.020
938,2782.283,0.867,0.867,0.019,0.000,0.019
939,2785.133,0.000,-0.667,0.018,0.000,0.018
940,2787.982,0.400,0.400,0.017,0.000,0.017
941,2790.830,0.000,-0.533,0.015,0.000,0.015
942,2793.677,1.000,1.000,0.014,0.000,0.014
943,2796.524,0.600,0.600,0.013,0.000,0.013
944,2799.369,1.267,1.267,0.012,0.000,0.012
945,2802.214,0.200,0.200,0.011,0.000,0.011
946,2805.058,0.000,-0.733,0.010,0.000,0.010
947,2807.901,0.000,0.000,0.009,0.000,0.009
948,2810.743,1.333,1.333,0.009,0.000,0.009
949,2813.584,0.267,0.267,0.008,0.000,0.008
950,2816.425,0.267,0.267,0.007,0.000,0.007
951,2819.265,1.333,1.333,0.006,0.000,0.006
952,2822.103,0.000,-0.533,0.006,0.000,0.006
953,2824.941,0.000,-0.667,0.005,0.000,0.005
954,2827.778,0.533,0.533,0.004,0.000,0.004
955,2830.614,0.000,-0.933,0.004,0.000,0.004
956,2833.449,0.133,0.133,0.003,0.000,0.003
957,2836.284,0.533,0.533,0.003,0.000,0.003
958,2839.117,0.000,-0.267,0.003,0.000,0.003
959,2841.950,0.000,-0.667,0.002,0.000,0.002
960,2844.782,0.000,-0.467,0.002,0.000,0.002
961,2847.612,0.333,0.333,0.002,0.000,0.002
962,2850.442,0.200,0.200,0.001,0.000,0.001
963,2853.271,1.333,1.333,0.001,0.000,0.001
964,2856.100,0.600,0.600,0.001,0.000,0.001
965,2858.927,1.800,1.800,0.001,0.000,0.001
