ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-Pb,pile-up
3439,1360.488,245.749,245.749,113.268,29.420,0.000,0.000,0.000,113.268
3440,1360.900,232.046,232.046,113.217,29.368,0.000,0.000,0.000,113.217
3441,1361.312,239.885,239.885,113.167,29.317,0.000,0.000,0.000,113.167
3442,1361.725,252.304,252.304,113.117,29.265,0.000,0.000,0.000,113.117
3443,1362.137,244.194,244.194,113.067,29.214,0.000,0.000,0.000,113.067
3444,1362.550,234.465,234.465,113.017,29.162,0.000,0.000,0.000,113.017
3445,1362.962,194.169,194.169,112.967,29.111,0.000,0.000,0.000,112.967
3446,1363.374,218.033,218.033,112.917,29.059,0.000,0.000,0.000,112.917
3447,1363.787,206.601,206.601,112.866,29.008,0.000,0.000,0.000,112.866
3448,1364.199,242.465,242.465,95.812,28.956,0.000,0.000,0.000,95.812
3449,1364.612,205.736,205.736,95.466,28.905,0.000,0.000,0.000,95.466
3450,1365.024,206.626,206.626,95.416,28.853,0.000,0.000,0.000,95.416
3451,1365.436,208.897,208.897,95.365,28.802,0.000,0.000,0.000,95.365
3452,1365.849,241.343,241.343,95.315,28.750,0.000,0.000,0.000,95.315
3453,1366.261,201.588,201.588,95.264,28.698,0.000,0.000,0.000,95.264
3454,1366.674,221.897,221.897,95.214,28.647,0.000,0.000,0.000,95.214
3455,1367.086,209.478,209.478,95.163,28.595,0.000,0.000,0.000,95.163
3456,1367.499,216.762,216.762,95.113,28.544,0.000,0.000,0.000,95.113
3457,1367.911,182.169,182.169,90.856,28.492,0.000,0.000,0.000,90.856
3458,1368.324,188.317,188.317,80.241,28.441,0.000,0.000,0.000,80.241
3459,1368.736,197.614,197.614,80.190,28.389,0.000,0.000,0.000,80.190
3460,1369.149,233.639,233.639,80.139,28.338,0.000,0.000,0.000,80.139
3461,1369.561,162.885,162.885,80.089,28.286,0.000,0.000,0.000,80.089
3462,1369.974,175.033,175.033,80.038,28.235,0.000,0.000,0.000,80.038
3463,1370.386,193.046,193.046,79.987,28.183,0.000,0.000,0.000,79.987
3464,1370.799,164.330,164.330,79.937,28.132,0.000,0.000,0.000,79.937
3465,1371.211,171.465,171.465,79.886,28.080,0.000,0.000,0.000,79.886
3466,1371.624,183.775,183.775,79.835,28.029,0.000,0.000,0.000,79.835
3467,1372.036,189.330,189.330,72.557,27.977,0.000,0.000,0.000,72.557
3468,1372.449,140.749,140.749,67.445,27.926,0.000,0.000,0.000,67.445
3469,1372.861,181.736,181.736,67.395,27.874,0.000,0.000,0.000,67.395
3470,1373.274,166.736,166.736,67.344,27.823,0.000,0.000,0.000,67.344
3471,1373.687,137.317,137.317,67.293,27.771,0.000,0.000,0.000,67.293
3472,1374.099,145.143,145.143,67.242,27.720,0.000,0.000,0.000,67.242
3473,1374.512,177.033,177.033,67.191,27.668,0.000,0.000,0.000,67.191
3474,1374.924,166.330,166.330,67.140,27.616,0.000,0.000,0.000,67.140
3475,1375.337,152.749,152.749,67.089,27.565,0.000,0.000,0.000,67.089
3476,1375.750,157.923,157.923,67.038,27.513,0.000,0.000,0.000,67.038
3477,1376.162,158.194,158.194,58.232,27.462,0.000,0.000,0.000,58.232
3478,1376.575,179.343,179.343,57.132,27.410,0.000,0.000,0.000,57.132
3479,1376.987,147.194,147.194,57.081,27.359,0.000,0.000,0.000,57.081
3480,1377.400,139.169,139.169,57.030,27.307,0.000,0.000,0.000,57.030
3481,1377.813,123.601,123.601,56.979,27.256,0.000,0.000,0.000,56.979
3482,1378.225,141.046,141.046,56.928,27.204,0.000,0.000,0.000,56.928
