ch,keV,net,fit,model,continuum_raw,Cs-137,pile-up
659,1929.800,2.781,2.781,0.014,0.000,0.000,0.014
660,1932.730,0.000,-0.281,0.014,0.000,0.000,0.014
661,1935.660,0.000,-1.031,0.015,0.000,0.000,0.015
662,1938.589,0.000,-1.344,0.017,0.000,0.000,0.017
663,1941.519,0.000,-0.156,0.017,0.000,0.000,0.017
664,1944.448,1.031,1.031,0.016,0.000,0.000,0.016
665,1947.377,0.000,-1.219,0.016,0.000,0.000,0.016
666,1950.305,0.000,0.000,0.017,0.000,0.000,0.017
667,1953.233,0.000,-1.031,0.017,0.000,0.000,0.017
668,1956.161,0.219,0.219,0.017,0.000,0.000,0.017
669,1959.089,1.031,1.031,0.016,0.000,0.000,0.016
670,1962.016,0.000,0.000,0.018,0.000,0.000,0.018
671,1964.943,0.000,-1.156,0.017,0.000,0.000,0.017
672,1967.870,0.000,-0.344,0.017,0.000,0.000,0.017
673,1970.796,0.000,-1.187,0.017,0.000,0.000,0.017
674,1973.722,0.000,-1.219,0.018,0.000,0.000,0.018
675,1976.648,0.000,-1.469,0.018,0.000,0.000,0.018
676,1979.574,0.000,-0.031,0.017,0.000,0.000,0.017
677,1982.499,0.000,-1.062,0.017,0.000,0.000,0.017
678,1985.424,1.281,1.281,0.017,0.000,0.000,0.017
679,1988.348,0.000,-0.250,0.017,0.000,0.000,0.017
680,1991.273,0.000,-0.500,0.018,0.000,0.000,0.018
681,1994.197,0.000,-1.312,0.018,0.000,0.000,0.018
682,1997.121,0.000,-0.406,0.018,0.000,0.000,0.018
683,2000.044,0.000,-1.156,0.018,0.000,0.000,0.018
684,2002.967,0.000,-1.281,0.018,0.000,0.000,0.018
685,2005.890,1.781,1.781,0.015,0.000,0.000,0.015
686,2008.813,0.000,-1.219,0.017,0.000,0.000,0.017
687,2011.735,0.000,-1.094,0.017,0.000,0.000,0.017
688,2014.657,0.000,-0.156,0.015,0.000,0.000,0.015
689,2017.579,0.000,-0.156,0.015,0.000,0.000,0.015
690,2020.501,0.000,-1.250,0.015,0.000,0.000,0.015
691,2023.422,0.000,-0.594,0.015,0.000,0.000,0.015
692,2026.343,0.000,-0.125,0.013,0.000,0.000,0.013
693,2029.263,0.000,-1.281,0.012,0.000,0.000,0.012
694,2032.184,2.031,2.031,0.012,0.000,0.000,0.012
695,2035.104,0.000,-1.125,0.013,0.000,0.000,0.013
696,2038.024,0.000,-0.125,0.011,0.000,0.000,0.011
697,2040.943,2.063,2.063,0.010,0.000,0.000,0.010
698,2043.862,0.031,0.031,0.009,0.000,0.000,0.009
699,2046.781,0.000,-1.250,0.011,0.000,0.000,0.011
700,2049.700,0.000,-0.344,0.009,0.000,0.000,0.009
701,2052.618,1.656,1.656,0.009,0.000,0.000,0.009
702,2055.536,0.000,-1.125,0.008,0.000,0.000,0.008
703,2058.454,0.531,0.531,0.008,0.000,0.000,0.008
704,2061.372,1.094,1.094,0.006,0.000,0.000,0.006
705,2064.289,0.594,0.594,0.006,0.000,0.000,0.006
706,2067.206,1.375,1.375,0.007,0.000,0.000,0.007
707,2070.122,0.000,-0.187,0.008,0.000,0.000,0.008
708,2073.039,0.000,-0.125,0.007,0.000,0.000,0.007
709,2075.955,0.000,-0.406,0.006,0.000,0.000,0.006
710,2078.871,1.406,1.406,0.006,0.000,0.000,0.006
711,2081.786,0.000,-0.437,0.007,0.000,0.000,0.007
712,2084.702,0.000,-0.156,0.006,0.000,0.000,0.006
713,2087.617,0.500,0.500,0.006,0.000,0.000,0.006
714,2090.531,0.656,0.656,0.007,0.000,0.000,0.007
715,2093.446,0.719,0.719,0.006,0.000,0.000,0.006
716,2096.360,0.531,0.531,0.006,0.000,0.000,0.006
717,2099.274,1.688,1.688,0.006,0.000,0.000,0.006
718,2102.188,0.000,-0.250,0.007,0.000,0.000,0.007
719,2105.101,0.000,-0.562,0.006,0.000,0.000,0.006
720,2108.014,1.813,1.813,0.006,0.000,0.000,0.006
721,2110.927,0.813,0.813,0.006,0.000,0.000,0.006
722,2113.840,0.000,-0.125,0.007,0.000,0.000,0.007
723,2116.752,0.500,0.500,0.007,0.000,0.000,0.007
724,2119.664,0.000,-0.937,0.006,0.000,0.000,0.006
725,2122.576,0.000,-0.250,0.007,0.000,0.000,0.007
726,2125.487,0.594,0.594,0.005,0.000,0.000,0.005
727,2128.398,0.875,0.875,0.005,0.000,0.000,0.005
728,2131.309,0.469,0.469,0.006,0.000,0.000,0.006
729,2134.220,0.000,-0.187,0.006,0.000,0.000,0.006
730,2137.131,1.750,1.750,0.005,0.000,0.000,0.005
731,2140.041,1.063,1.063,0.004,0.000,0.000,0.004
732,2142.951,0.000,-0.094,0.005,0.000,0.000,0.005
733,2145.860,0.000,-0.281,0.005,0.000,0.000,0.005
734,2148.770,1.906,1.906,0.005,0.000,0.000,0.005
735,2151.679,0.000,-0.750,0.004,0.000,0.000,0.004
736,2154.588,0.813,0.813,0.004,0.000,0.000,0.004
737,2157.496,0.000,-0.250,0.004,0.000,0.000,0.004
738,2160.405,0.000,-1.375,0.004,0.000,0.000,0.004
739,2163.313,1.781,1.781,0.003,0.000,0.000,0.003
740,2166.221,0.000,-1.187,0.004,0.000,0.000,0.004
741,2169.128,0.000,-0.250,0.004,0.000,0.000,0.004
742,2172.035,0.000,-0.250,0.003,0.000,0.000,0.003
743,2174.943,0.625,0.625,0.003,0.000,0.000,0.003
744,2177.849,0.063,0.063,0.003,0.000,0.000,0.003
745,2180.756,0.000,-1.219,0.003,0.000,0.000,0.003
746,2183.662,0.594,0.594,0.002,0.000,0.000,0.002
747,2186.568,0.000,-0.594,0.003,0.000,0.000,0.003
748,2189.474,0.031,0.031,0.003,0.000,0.000,0.003
749,2192.380,0.000,-1.375,0.002,0.000,0.000,0.002
750,2195.285,1.781,1.781,0.001,0.000,0.000,0.001
751,2198.190,0.000,-0.750,0.003,0.000,0.000,0.003
752,2201.095,2.000,2.000,0.001,0.000,0.000,0.001
753,2204.000,0.844,0.844,0.001,0.000,0.000,0.001
754,2206.904,0.000,-1.000,0.003,0.000,0.000,0.003
755,2209.808,0.000,-1.281,0.002,0.000,0.000,0.002
756,2212.712,0.094,0.094,0.002,0.000,0.000,0.002
757,2215.616,0.000,-0.781,0.003,0.000,0.000,0.003
758,2218.519,0.219,0.219,0.002,0.000,0.000,0.002
759,2221.422,2.156,2.156,0.001,0.000,0.000,0.001
760,2224.325,0.000,-0.062,0.001,0.000,0.000,0.001
761,2227.228,0.094,0.094,0.002,0.000,0.000,0.002
762,2230.130,0.375,0.375,0.002,0.000,0.000,0.002
763,2233.032,0.000,-1.031,0.003,0.000,0.000,0.003
764,2235.934,0.000,-1.125,0.003,0.000,0.000,0.003
765,2238.836,0.000,-0.719,0.003,0.000,0.000,0.003
766,2241.737,0.000,-0.937,0.003,0.000,0.000,0.003
767,2244.639,0.000,-1.000,0.002,0.000,0.000,0.002
768,2247.540,2.063,2.063,0.001,0.000,0.000,0.001
769,2250.441,1.188,1.188,0.002,0.000,0.000,0.002
770,2253.341,0.000,-0.094,0.002,0.000,0.000,0.002
771,2256.242,0.188,0.188,0.002,0.000,0.000,0.002
772,2259.142,0.000,-0.031,0.002,0.000,0.000,0.002
773,2262.042,0.000,-0.687,0.003,0.000,0.000,0.003
774,2264.941,3.281,3.281,0.001,0.000,0.000,0.001
775,2267.841,1.406,1.406,0.000,0.000,0.000,0.000
776,2270.740,0.000,-0.469,0.003,0.000,0.000,0.003
777,2273.639,0.125,0.125,0.001,0.000,0.000,0.001
778,2276.538,0.875,0.875,0.002,0.000,0.000,0.002
779,2279.437,0.000,-0.969,0.003,0.000,0.000,0.003
780,2282.335,0.000,-0.656,0.003,0.000,0.000,0.003
781,2285.233,0.000,-0.781,0.002,0.000,0.000,0.002
782,2288.131,2.188,2.188,0.001,0.000,0.000,0.001
783,2291.029,0.000,0.000,0.002,0.000,0.000,0.002
784,2293.926,0.000,-0.594,0.002,0.000,0.000,0.002
785,2296.824,1.125,1.125,0.002,0.000,0.000,0.002
786,2299.721,0.000,-0.875,0.003,0.000,0.000,0.003
787,2302.618,0.000,-0.781,0.003,0.000,0.000,0.003
788,2305.514,0.000,-0.750,0.002,0.000,0.000,0.002
789,2308.411,0.406,0.406,0.002,0.000,0.000,0.002
790,2311.307,3.438,3.438,0.000,0.000,0.000,0.000
791,2314.203,2.438,2.438,0.001,0.000,0.000,0.001
792,2317.099,0.219,0.219,0.002,0.000,0.000,0.002
793,2319.995,0.000,-0.844,0.002,0.000,0.000,0.002
794,2322.890,0.281,0.281,0.002,0.000,0.000,0.002
795,2325.786,0.406,0.406,0.001,0.000,0.000,0.001
796,2328.681,1.188,1.188,0.001,0.000,0.000,0.001
