edge1709_s1__AS80_p88_edge93_r38_al__eq                  код 0     528 с  chi2/ndf 1.903, невязка модели 10.0 %, суммирование да
contact52k__AS80_p88_contact_r33_al__asis                код 0     531 с  chi2/ndf 12.891, невязка модели 20.4 %, суммирование да
contact52k__AS80_p88_contact_r33_al__noeqasis            код 0     535 с  chi2/ndf 11.205, невязка модели 15.0 %, суммирование да
contact52k__AS80_p88_contact_r33_al__eq                  код 0     539 с  chi2/ndf 6.986, невязка модели 18.8 %, суммирование да
contact_cal0809__AS80_p88_contact_r33_al__asis           код 0     542 с  chi2/ndf 1.718, невязка модели 13.3 %, суммирование да
contact_cal0809__AS80_p88_contact_r33_al__noeqasis       код 0     545 с  chi2/ndf 1.520, невязка модели 10.7 %, суммирование да
contact_cal0809__AS80_p88_contact_r33_al__eq             код 0     548 с  chi2/ndf 1.752, невязка модели 13.4 %, суммирование да
contact_cal0809_s1__AS80_p88_contact_r33_al__asis        код 0     551 с  chi2/ndf 3.269, невязка модели 27.5 %, суммирование да
contact_cal0809_s1__AS80_p88_contact_r33_al__noeqasis    код 0     554 с  chi2/ndf 3.054, невязка модели 26.5 %, суммирование да
contact_cal0809_s1__AS80_p88_contact_r33_al__eq          код 0     558 с  chi2/ndf 1.891, невязка модели 24.9 %, суммирование да
