ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Ra-224,Bi-212,Rn-220,Xray-Pb,Xray-Th
2839,963.398,148.007,159.034,30.026,129.073,28.588,0.000,0.000,1.373,0.000,0.000,0.000
2840,963.730,136.304,158.893,29.957,128.956,28.567,0.000,0.000,1.369,0.000,0.000,0.000
2841,964.061,142.266,158.738,29.889,128.826,28.546,0.000,0.000,1.365,0.000,0.000,0.000
2842,964.393,149.007,158.569,29.820,128.682,28.525,0.000,0.000,1.361,0.000,0.000,0.000
2843,964.725,130.452,158.386,29.752,128.525,28.504,0.000,0.000,1.357,0.000,0.000,0.000
2844,965.056,174.562,158.189,29.683,128.353,28.483,0.000,0.000,1.353,0.000,0.000,0.000
2845,965.388,146.340,157.976,29.615,128.166,28.462,0.000,0.000,1.348,0.000,0.000,0.000
2846,965.719,115.266,157.749,29.546,127.964,28.441,0.000,0.000,1.344,0.000,0.000,0.000
2847,966.051,141.340,157.506,29.478,127.747,28.420,0.000,0.000,1.340,0.000,0.000,0.000
2848,966.383,132.785,157.248,29.409,127.515,28.398,0.000,0.000,1.335,0.000,0.000,0.000
2849,966.714,140.563,156.974,29.341,127.266,28.377,0.000,0.000,1.331,0.000,0.000,0.000
2850,967.046,112.932,156.684,29.272,127.002,28.355,0.000,0.000,1.326,0.000,0.000,0.000
2851,967.377,137.488,156.377,29.203,126.722,28.333,0.000,0.000,1.322,0.000,0.000,0.000
2852,967.709,131.266,156.054,29.135,126.425,28.311,0.000,0.000,1.317,0.000,0.000,0.000
2853,968.040,114.452,155.714,29.066,126.112,28.289,0.000,0.000,1.313,0.000,0.000,0.000
2854,968.372,137.155,155.357,28.998,125.782,28.267,0.000,0.000,1.308,0.000,0.000,0.000
2855,968.703,141.044,154.983,28.929,125.435,28.245,0.000,0.000,1.303,0.000,0.000,0.000
2856,969.035,132.044,154.593,28.861,125.072,28.223,0.000,0.000,1.299,0.000,0.000,0.000
2857,969.366,131.377,154.187,28.792,124.693,28.200,0.000,0.000,1.294,0.000,0.000,0.000
2858,969.698,115.489,153.764,28.724,124.297,28.178,0.000,0.000,1.289,0.000,0.000,0.000
2859,970.029,114.229,153.325,28.655,123.886,28.155,0.000,0.000,1.284,0.000,0.000,0.000
2860,970.361,110.784,152.869,28.587,123.457,28.132,0.000,0.000,1.280,0.000,0.000,0.000
2861,970.692,129.080,152.397,28.518,123.012,28.109,0.000,0.000,1.275,0.000,0.000,0.000
2862,971.024,120.118,151.907,28.450,122.550,28.086,0.000,0.000,1.270,0.000,0.000,0.000
2863,971.355,126.821,151.400,28.381,122.072,28.063,0.000,0.000,1.265,0.000,0.000,0.000
2864,971.686,110.784,150.877,28.313,121.576,28.040,0.000,0.000,1.260,0.000,0.000,0.000
2865,972.018,117.192,150.336,28.244,121.064,28.017,0.000,0.000,1.256,0.000,0.000,0.000
2866,972.349,104.710,149.778,28.176,120.534,27.993,0.000,0.000,1.251,0.000,0.000,0.000
2867,972.680,128.636,149.203,28.107,119.988,27.970,0.000,0.000,1.246,0.000,0.000,0.000
2868,973.012,140.414,148.611,28.039,119.424,27.946,0.000,0.000,1.241,0.000,0.000,0.000
2869,973.343,101.563,148.002,27.970,118.844,27.922,0.000,0.000,1.236,0.000,0.000,0.000
2870,973.674,94.081,147.377,27.902,118.247,27.898,0.000,0.000,1.231,0.000,0.000,0.000
2871,974.006,110.637,146.734,27.833,117.634,27.874,0.000,0.000,1.226,0.000,0.000,0.000
2872,974.337,97.303,146.075,27.765,117.004,27.850,0.000,0.000,1.222,0.000,0.000,0.000
2873,974.668,80.044,145.400,27.696,116.358,27.826,0.000,0.000,1.217,0.000,0.000,0.000
2874,975.000,104.081,144.708,27.628,115.695,27.801,0.000,0.000,1.212,0.000,0.000,0.000
2875,975.331,107.303,144.000,27.559,115.016,27.777,0.000,0.000,1.207,0.000,0.000,0.000
2876,975.662,81.933,143.276,27.491,114.322,27.752,0.000,0.000,1.202,0.000,0.000,0.000
2877,975.993,98.896,142.536,27.422,113.612,27.727,0.000,0.000,1.198,0.000,0.000,0.000
2878,976.325,95.377,141.780,27.353,112.886,27.701,0.000,0.000,1.193,0.000,0.000,0.000
2879,976.656,108.525,141.009,27.285,112.145,27.676,0.000,0.000,1.188,0.000,0.000,0.000
2880,976.987,74.932,140.222,27.216,111.389,27.650,0.000,0.000,1.183,0.000,0.000,0.000
2881,977.318,88.525,139.421,27.148,110.619,27.623,0.000,0.000,1.179,0.000,0.000,0.000
2882,977.649,84.377,138.605,27.079,109.834,27.597,0.000,0.000,1.174,0.000,0.000,0.000
2883,977.981,77.599,137.775,27.011,109.036,27.570,0.000,0.000,1.169,0.000,0.000,0.000
2884,978.312,95.599,136.931,26.942,108.223,27.543,0.000,0.000,1.164,0.000,0.000,0.000
2885,978.643,87.155,136.073,26.874,107.397,27.516,0.000,0.000,1.160,0.000,0.000,0.000
2886,978.974,78.710,135.202,26.805,106.558,27.488,0.000,0.000,1.155,0.000,0.000,0.000
2887,979.305,93.859,134.318,26.737,105.707,27.461,0.000,0.000,1.150,0.000,0.000,0.000
2888,979.636,61.155,133.421,26.668,104.843,27.432,0.000,0.000,1.146,0.000,0.000,0.000
2889,979.967,85.859,132.512,26.600,103.967,27.404,0.000,0.000,1.141,0.000,0.000,0.000
2890,980.299,72.599,131.591,26.531,103.079,27.375,0.000,0.000,1.137,0.000,0.000,0.000
2891,980.630,76.525,130.659,26.463,102.181,27.346,0.000,0.000,1.132,0.000,0.000,0.000
2892,980.961,80.599,129.716,26.394,101.271,27.317,0.000,0.000,1.128,0.000,0.000,0.000
2893,981.292,76.932,128.762,26.326,100.351,27.287,0.000,0.000,1.123,0.000,0.000,0.000
2894,981.623,81.377,127.798,26.257,99.421,27.258,0.000,0.000,1.119,0.000,0.000,0.000
2895,981.954,66.822,126.824,26.189,98.482,27.228,0.000,0.000,1.115,0.000,0.000,0.000
2896,982.285,78.414,125.893,26.172,97.544,27.238,0.000,0.000,1.111,0.000,0.000,0.000
2897,982.616,90.599,124.953,26.156,96.597,27.248,0.000,0.000,1.108,0.000,0.000,0.000
2898,982.947,55.339,124.005,26.140,95.642,27.258,0.000,0.000,1.105,0.000,0.000,0.000
2899,983.278,64.006,123.048,26.124,94.679,27.268,0.000,0.000,1.102,0.000,0.000,0.000
2900,983.609,63.784,122.084,26.108,93.708,27.278,0.000,0.000,1.098,0.000,0.000,0.000
2901,983.940,82.488,121.113,26.091,92.730,27.287,0.000,0.000,1.095,0.000,0.000,0.000
2902,984.271,70.377,120.135,26.075,91.746,27.296,0.000,0.000,1.092,0.000,0.000,0.000
2903,984.602,70.821,119.150,26.059,90.756,27.305,0.000,0.000,1.089,0.000,0.000,0.000
2904,984.933,65.711,118.160,26.043,89.760,27.314,0.000,0.000,1.086,0.000,0.000,0.000
2905,985.264,70.636,117.165,26.026,88.759,27.323,0.000,0.000,1.083,0.000,0.000,0.000
2906,985.594,89.896,116.165,26.010,87.753,27.332,0.000,0.000,1.080,0.000,0.000,0.000
2907,985.925,56.340,115.160,25.994,86.742,27.340,0.000,0.000,1.078,0.000,0.000,0.000
2908,986.256,66.858,114.151,25.978,85.728,27.348,0.000,0.000,1.075,0.000,0.000,0.000
2909,986.587,65.191,113.139,25.962,84.710,27.357,0.000,0.000,1.072,0.000,0.000,0.000
2910,986.918,71.413,112.124,25.945,83.690,27.364,0.000,0.000,1.069,0.000,0.000,0.000
2911,987.249,56.710,111.105,25.929,82.666,27.372,0.000,0.000,1.067,0.000,0.000,0.000
2912,987.580,66.636,110.084,25.913,81.641,27.379,0.000,0.000,1.064,0.000,0.000,0.000
