spectrum,arm,member,gate_share,gate_pair,gate_partner,gate_verdict,rate,x_eq,z,share_pct,tied_to,screen
radon2,lin0.5,Th-228,0.9919,0.9924,Ac-228,tied,<3.038,,,,Ac-228,"Th-228 — по Ac-228 < 0.0822 %"
radon2,lin0.5,Ra-224,0.9736,0.9414,Pb-212,tied,15.31,,23.9,5.39,Pb-212,"Ra-224 — по Pb-212 5.39%"
radon2,lin0.5,Rn-220,0.6021,0.4577,Ac-228,tied,<3.038,,,,Ac-228,
radon2,lin0.5,Po-216,0.9992,0.9733,Ac-228,tied,<3.038,,,,Ac-228,
radon2,lin0.5,Pb-212,,,,,15.31,,23.9,91.09,,"Pb-212 — сумм-пик "
radon2,lin0.5,Bi-212,0.9884,0.9612,Ac-228,tied,<3.038,,,,Ac-228,"Bi-212 — по Ac-228 < 0.223 %"
radon2,lin0.5,Tl-208,0.0106,0.0106,Pb-212,free,<5.238,,,,,"Tl-208 < 1.84 %"
radon2,lin0.5,Ra-226,0.0944,0.0906,Pb-214,free,<24.84,,,,,"Ra-226 < 1.62 %"
radon2,lin0.5,Rn-222,0.0347,0.0297,Pb-214,free,<1646,,,,,
radon2,lin0.5,Pb-214,,,,,<2.394,,,,,"Pb-214 < 2.43 %"
radon2,lin0.5,Bi-214,0.1447,0.1447,Pb-214,free,<3.032,,,,,"Bi-214 < 1.51 %"
radon2,lin0.5,Pb-210,0.9977,0.2356,Bi-214,tied,<3.032,,,,Bi-214,"Pb-210 — по Bi-214 < 0.156 %"
radon2,lin0.7,Th-232,0.9912,0.7984,Ac-228,tied,<3.039,,,,Ac-228,"Th-232 — по Ac-228 < 0.0129 %"
radon2,lin0.7,Ac-228,0.3194,0.1700,Tl-208,free,<3.039,,,,,"Ac-228 < 3.26 %"
radon2,lin0.7,Th-228,0.9800,0.9924,Ac-228,tied,<3.039,,,,Ac-228,"Th-228 — по Ac-228 < 0.0822 %"
radon2,lin0.7,Ra-224,0.9736,0.9414,Pb-212,tied,15.31,,23.9,5.39,Pb-212,"Ra-224 — по Pb-212 5.39%"
radon2,lin0.7,Rn-220,0.6021,0.4577,Ac-228,free,<1406,,,,,
radon2,lin0.7,Po-216,0.9992,0.9733,Ac-228,tied,<3.039,,,,Ac-228,
radon2,lin0.7,Pb-212,,,,,15.31,,23.9,91.09,,"Pb-212 — сумм-пик "
radon2,lin0.7,Bi-212,0.9883,0.9612,Ac-228,tied,<3.039,,,,Ac-228,"Bi-212 — по Ac-228 < 0.223 %"
radon2,lin0.7,Tl-208,0.0106,0.0106,Pb-212,free,<5.238,,,,,"Tl-208 < 1.84 %"
radon2,lin0.7,Ra-226,0.0944,0.0906,Pb-214,free,<24.84,,,,,"Ra-226 < 1.62 %"
radon2,lin0.7,Rn-222,0.0347,0.0297,Pb-214,free,<1646,,,,,
radon2,lin0.7,Pb-214,,,,,<2.394,,,,,"Pb-214 < 2.43 %"
radon2,lin0.7,Bi-214,0.1447,0.1447,Pb-214,free,<3.032,,,,,"Bi-214 < 1.51 %"
radon2,lin0.7,Pb-210,0.9977,0.2356,Bi-214,tied,<3.032,,,,Bi-214,"Pb-210 — по Bi-214 < 0.156 %"
radon2,lin0.8,Th-232,0.9912,0.7984,Ac-228,tied,<3.039,,,,Ac-228,"Th-232 — по Ac-228 < 0.0129 %"
radon2,lin0.8,Ac-228,0.3194,0.1700,Tl-208,free,<3.039,,,,,"Ac-228 < 3.26 %"
radon2,lin0.8,Th-228,0.9800,0.9924,Ac-228,tied,<3.039,,,,Ac-228,"Th-228 — по Ac-228 < 0.0822 %"
radon2,lin0.8,Ra-224,0.9736,0.9414,Pb-212,tied,15.31,,23.9,5.39,Pb-212,"Ra-224 — по Pb-212 5.39%"
radon2,lin0.8,Rn-220,0.6021,0.4577,Ac-228,free,<1406,,,,,
radon2,lin0.8,Po-216,0.9992,0.9733,Ac-228,tied,<3.039,,,,Ac-228,
radon2,lin0.8,Pb-212,,,,,15.31,,23.9,91.09,,"Pb-212 — сумм-пик "
radon2,lin0.8,Bi-212,0.9883,0.9612,Ac-228,tied,<3.039,,,,Ac-228,"Bi-212 — по Ac-228 < 0.223 %"
radon2,lin0.8,Tl-208,0.0106,0.0106,Pb-212,free,<5.238,,,,,"Tl-208 < 1.84 %"
radon2,lin0.8,Ra-226,0.0944,0.0906,Pb-214,free,<24.84,,,,,"Ra-226 < 1.62 %"
radon2,lin0.8,Rn-222,0.0347,0.0297,Pb-214,free,<1646,,,,,
radon2,lin0.8,Pb-214,,,,,<2.394,,,,,"Pb-214 < 2.43 %"
radon2,lin0.8,Bi-214,0.1447,0.1447,Pb-214,free,<3.032,,,,,"Bi-214 < 1.51 %"
radon2,lin0.8,Pb-210,0.9977,0.2356,Bi-214,tied,<3.032,,,,Bi-214,"Pb-210 — по Bi-214 < 0.156 %"
radon2,lin0.9,Th-232,0.9912,0.7984,Ac-228,tied,<3.039,,,,Ac-228,"Th-232 — по Ac-228 < 0.0129 %"
radon2,lin0.9,Ac-228,0.3194,0.1700,Tl-208,free,<3.039,,,,,"Ac-228 < 3.26 %"
radon2,lin0.9,Th-228,0.9800,0.9924,Ac-228,tied,<3.039,,,,Ac-228,"Th-228 — по Ac-228 < 0.0822 %"
radon2,lin0.9,Ra-224,0.9736,0.9414,Pb-212,tied,15.31,,23.9,5.39,Pb-212,"Ra-224 — по Pb-212 5.39%"
radon2,lin0.9,Rn-220,0.6021,0.4577,Ac-228,free,<1406,,,,,
radon2,lin0.9,Po-216,0.9992,0.9733,Ac-228,tied,<3.039,,,,Ac-228,
radon2,lin0.9,Pb-212,,,,,15.31,,23.9,91.09,,"Pb-212 — сумм-пик "
radon2,lin0.9,Bi-212,0.9883,0.9612,Ac-228,tied,<3.039,,,,Ac-228,"Bi-212 — по Ac-228 < 0.223 %"
radon2,lin0.9,Tl-208,0.0106,0.0106,Pb-212,free,<5.238,,,,,"Tl-208 < 1.84 %"
radon2,lin0.9,Ra-226,0.0944,0.0906,Pb-214,free,<24.84,,,,,"Ra-226 < 1.62 %"
radon2,lin0.9,Rn-222,0.0347,0.0297,Pb-214,free,<1646,,,,,
radon2,lin0.9,Pb-214,,,,,<2.394,,,,,"Pb-214 < 2.43 %"
radon2,lin0.9,Bi-214,0.1447,0.1447,Pb-214,free,<3.032,,,,,"Bi-214 < 1.51 %"
radon2,lin0.9,Pb-210,0.9977,0.2356,Bi-214,tied,<3.032,,,,Bi-214,"Pb-210 — по Bi-214 < 0.156 %"
radon2,lin0.95,Th-232,0.9912,0.7984,Ac-228,tied,<3.039,,,,Ac-228,"Th-232 — по Ac-228 < 0.0129 %"
radon2,lin0.95,Ac-228,0.3194,0.1700,Tl-208,free,<3.039,,,,,"Ac-228 < 3.26 %"
radon2,lin0.95,Th-228,0.9800,0.9924,Ac-228,tied,<3.039,,,,Ac-228,"Th-228 — по Ac-228 < 0.0822 %"
radon2,lin0.95,Ra-224,0.9736,0.9414,Pb-212,tied,15.31,,23.9,5.39,Pb-212,"Ra-224 — по Pb-212 5.39%"
radon2,lin0.95,Rn-220,0.6021,0.4577,Ac-228,free,<1406,,,,,
radon2,lin0.95,Po-216,0.9992,0.9733,Ac-228,tied,<3.039,,,,Ac-228,
radon2,lin0.95,Pb-212,,,,,15.31,,23.9,91.09,,"Pb-212 — сумм-пик "
radon2,lin0.95,Bi-212,0.9883,0.9612,Ac-228,tied,<3.039,,,,Ac-228,"Bi-212 — по Ac-228 < 0.223 %"
radon2,lin0.95,Tl-208,0.0106,0.0106,Pb-212,free,<5.238,,,,,"Tl-208 < 1.84 %"
radon2,lin0.95,Ra-226,0.0944,0.0906,Pb-214,free,<24.84,,,,,"Ra-226 < 1.62 %"
radon2,lin0.95,Rn-222,0.0347,0.0297,Pb-214,free,<1646,,,,,
radon2,lin0.95,Pb-214,,,,,<2.394,,,,,"Pb-214 < 2.43 %"
radon2,lin0.95,Bi-214,0.1447,0.1447,Pb-214,free,<3.032,,,,,"Bi-214 < 1.51 %"
radon2,lin0.95,Pb-210,0.9977,0.2356,Bi-214,tied,<3.032,,,,Bi-214,"Pb-210 — по Bi-214 < 0.156 %"
radon2,tie0,Th-232,,,,,1922,,14.1,21.32,,"Th-232 21.32%"
radon2,tie0,Ac-228,,,,,<2.998,,,,,"Ac-228 < 2.81 %"
radon2,tie0,Th-228,,,,,<124.4,,,,,"Th-228 < 3.39 %"
radon2,tie0,Ra-224,,,,,<60.4,,,,,"Ra-224 < 3.4 %"
radon2,tie0,Rn-220,,,,,<1236,,,,,
radon2,tie0,Po-216,,,,,<7.45e+04,,,,,
radon2,tie0,Pb-212,,,,,16.14,,25.3,69.57,,"Pb-212 — сумм-пик "
radon2,tie0,Bi-212,,,,,<17.87,,,,,"Bi-212 < 1.32 %"
radon2,tie0,Tl-208,,,,,<4.829,,,,,"Tl-208 < 1.71 %"
radon2,tie0,Ra-226,,,,,<22.52,,,,,"Ra-226 < 1.48 %"
radon2,tie0,Rn-222,,,,,<1498,,,,,
radon2,tie0,Pb-214,,,,,<2.203,,,,,"Pb-214 < 2.25 %"
radon2,tie0,Bi-214,,,,,<2.878,,,,,"Bi-214 < 1.22 %"
radon2,tie0,Pb-210,,,,,51.57,,5.5,5.52,,"Pb-210 5.52%"
