ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th-L
3436,1159.489,25.671,29.238,19.780,6.732,21.204,0.000,1.302,0.000,0.000,0.000,0.000,0.000,0.000
3437,1159.814,26.226,29.193,19.749,6.717,21.175,0.000,1.300,0.000,0.000,0.000,0.000,0.000,0.000
3438,1160.140,40.116,29.147,19.718,6.702,21.147,0.000,1.299,0.000,0.000,0.000,0.000,0.000,0.000
3439,1160.466,22.968,29.102,19.686,6.687,21.118,0.000,1.297,0.000,0.000,0.000,0.000,0.000,0.000
3440,1160.791,36.819,29.057,19.655,6.672,21.090,0.000,1.295,0.000,0.000,0.000,0.000,0.000,0.000
3441,1161.117,22.783,29.012,19.624,6.658,21.061,0.000,1.294,0.000,0.000,0.000,0.000,0.000,0.000
3442,1161.442,30.042,28.968,19.593,6.643,21.033,0.000,1.292,0.000,0.000,0.000,0.000,0.000,0.000
3443,1161.768,21.116,28.924,19.562,6.629,21.005,0.000,1.290,0.000,0.000,0.000,0.000,0.000,0.000
3444,1162.093,27.523,28.880,19.531,6.615,20.977,0.000,1.289,0.000,0.000,0.000,0.000,0.000,0.000
3445,1162.419,26.153,28.837,19.499,6.601,20.949,0.000,1.287,0.000,0.000,0.000,0.000,0.000,0.000
3446,1162.745,36.893,28.794,19.468,6.587,20.921,0.000,1.286,0.000,0.000,0.000,0.000,0.000,0.000
3447,1163.070,25.486,28.751,19.437,6.574,20.893,0.000,1.284,0.000,0.000,0.000,0.000,0.000,0.000
3448,1163.396,44.004,28.708,19.406,6.560,20.865,0.000,1.283,0.000,0.000,0.000,0.000,0.000,0.000
3449,1163.721,40.227,28.666,19.375,6.547,20.838,0.000,1.281,0.000,0.000,0.000,0.000,0.000,0.000
3450,1164.047,19.708,28.624,19.344,6.534,20.810,0.000,1.280,0.000,0.000,0.000,0.000,0.000,0.000
3451,1164.372,32.634,28.582,19.313,6.521,20.783,0.000,1.278,0.000,0.000,0.000,0.000,0.000,0.000
3452,1164.698,14.893,28.541,19.281,6.509,20.756,0.000,1.277,0.000,0.000,0.000,0.000,0.000,0.000
3453,1165.023,33.005,28.500,19.250,6.496,20.729,0.000,1.275,0.000,0.000,0.000,0.000,0.000,0.000
3454,1165.349,28.634,28.460,19.219,6.484,20.702,0.000,1.274,0.000,0.000,0.000,0.000,0.000,0.000
3455,1165.674,28.634,28.419,19.188,6.472,20.675,0.000,1.272,0.000,0.000,0.000,0.000,0.000,0.000
3456,1166.000,20.301,28.379,19.157,6.460,20.649,0.000,1.271,0.000,0.000,0.000,0.000,0.000,0.000
3457,1166.325,24.301,28.340,19.126,6.448,20.622,0.000,1.270,0.000,0.000,0.000,0.000,0.000,0.000
3458,1166.650,39.338,28.300,19.095,6.436,20.596,0.000,1.268,0.000,0.000,0.000,0.000,0.000,0.000
3459,1166.976,21.412,28.261,19.063,6.425,20.570,0.000,1.267,0.000,0.000,0.000,0.000,0.000,0.000
3460,1167.301,32.301,28.222,19.032,6.413,20.543,0.000,1.266,0.000,0.000,0.000,0.000,0.000,0.000
3461,1167.627,29.893,28.184,19.001,6.402,20.517,0.000,1.264,0.000,0.000,0.000,0.000,0.000,0.000
3462,1167.952,31.634,28.145,18.970,6.391,20.491,0.000,1.263,0.000,0.000,0.000,0.000,0.000,0.000
3463,1168.278,24.819,28.107,18.939,6.380,20.465,0.000,1.262,0.000,0.000,0.000,0.000,0.000,0.000
3464,1168.603,28.893,28.069,18.908,6.370,20.439,0.000,1.260,0.000,0.000,0.000,0.000,0.000,0.000
3465,1168.928,23.819,28.032,18.876,6.359,20.414,0.000,1.259,0.000,0.000,0.000,0.000,0.000,0.000
3466,1169.254,38.671,27.994,18.845,6.348,20.388,0.000,1.258,0.000,0.000,0.000,0.000,0.000,0.000
3467,1169.579,30.893,27.956,18.814,6.338,20.362,0.000,1.257,0.000,0.000,0.000,0.000,0.000,0.000
3468,1169.905,36.338,27.919,18.783,6.328,20.336,0.000,1.255,0.000,0.000,0.000,0.000,0.000,0.000
3469,1170.230,28.042,27.882,18.752,6.318,20.310,0.000,1.254,0.000,0.000,0.000,0.000,0.000,0.000
3470,1170.555,34.226,27.845,18.721,6.308,20.284,0.000,1.253,0.000,0.000,0.000,0.000,0.000,0.000
3471,1170.881,30.708,27.808,18.690,6.298,20.259,0.000,1.252,0.000,0.000,0.000,0.000,0.000,0.000
3472,1171.206,35.485,27.771,18.658,6.288,20.233,0.000,1.250,0.000,0.000,0.000,0.000,0.000,0.000
3473,1171.531,26.486,27.735,18.627,6.278,20.207,0.000,1.249,0.000,0.000,0.000,0.000,0.000,0.000
3474,1171.857,39.523,27.698,18.596,6.269,20.182,0.000,1.248,0.000,0.000,0.000,0.000,0.000,0.000
3475,1172.182,34.968,27.662,18.565,6.259,20.156,0.000,1.247,0.000,0.000,0.000,0.000,0.000,0.000
3476,1172.507,20.634,27.626,18.534,6.250,20.130,0.000,1.245,0.000,0.000,0.000,0.000,0.000,0.000
3477,1172.833,33.671,27.590,18.503,6.241,20.105,0.000,1.244,0.000,0.000,0.000,0.000,0.000,0.000
3478,1173.158,25.449,27.554,18.472,6.232,20.079,0.000,1.243,0.000,0.000,0.000,0.000,0.000,0.000
3479,1173.483,34.078,27.518,18.440,6.223,20.054,0.000,1.242,0.000,0.000,0.000,0.000,0.000,0.000
3480,1173.808,39.485,27.482,18.409,6.214,20.028,0.000,1.241,0.000,0.000,0.000,0.000,0.000,0.000
3481,1174.134,19.523,27.447,18.378,6.205,20.002,0.000,1.239,0.000,0.000,0.000,0.000,0.000,0.000
3482,1174.459,16.486,27.411,18.347,6.196,19.977,0.000,1.238,0.000,0.000,0.000,0.000,0.000,0.000
3483,1174.784,25.634,27.376,18.316,6.188,19.951,0.000,1.237,0.000,0.000,0.000,0.000,0.000,0.000
3484,1175.109,33.486,27.341,18.285,6.179,19.926,0.000,1.236,0.000,0.000,0.000,0.000,0.000,0.000
3485,1175.435,20.375,27.306,18.253,6.171,19.901,0.000,1.235,0.000,0.000,0.000,0.000,0.000,0.000
3486,1175.760,22.115,27.271,18.222,6.163,19.875,0.000,1.234,0.000,0.000,0.000,0.000,0.000,0.000
3487,1176.085,31.560,27.237,18.191,6.154,19.850,0.000,1.232,0.000,0.000,0.000,0.000,0.000,0.000
3488,1176.410,34.709,27.202,18.160,6.146,19.824,0.000,1.231,0.000,0.000,0.000,0.000,0.000,0.000
3489,1176.736,27.893,27.168,18.129,6.138,19.799,0.000,1.230,0.000,0.000,0.000,0.000,0.000,0.000
3490,1177.061,19.708,27.133,18.098,6.131,19.774,0.000,1.229,0.000,0.000,0.000,0.000,0.000,0.000
3491,1177.386,23.634,27.099,18.067,6.123,19.749,0.000,1.228,0.000,0.000,0.000,0.000,0.000,0.000
3492,1177.711,35.190,27.065,18.035,6.115,19.723,0.000,1.227,0.000,0.000,0.000,0.000,0.000,0.000
3493,1178.036,26.930,27.032,18.004,6.108,19.698,0.000,1.226,0.000,0.000,0.000,0.000,0.000,0.000
3494,1178.362,26.597,26.998,17.973,6.101,19.673,0.000,1.225,0.000,0.000,0.000,0.000,0.000,0.000
3495,1178.687,29.263,26.965,17.942,6.093,19.648,0.000,1.224,0.000,0.000,0.000,0.000,0.000,0.000
3496,1179.012,17.857,26.931,17.911,6.086,19.623,0.000,1.222,0.000,0.000,0.000,0.000,0.000,0.000
3497,1179.337,34.375,26.898,17.880,6.079,19.598,0.000,1.221,0.000,0.000,0.000,0.000,0.000,0.000
3498,1179.662,20.671,26.866,17.849,6.072,19.573,0.000,1.220,0.000,0.000,0.000,0.000,0.000,0.000
3499,1179.987,37.856,26.833,17.817,6.066,19.548,0.000,1.219,0.000,0.000,0.000,0.000,0.000,0.000
3500,1180.313,21.745,26.800,17.786,6.059,19.523,0.000,1.218,0.000,0.000,0.000,0.000,0.000,0.000
3501,1180.638,23.893,26.768,17.755,6.052,19.498,0.000,1.217,0.000,0.000,0.000,0.000,0.000,0.000
3502,1180.963,18.856,26.736,17.724,6.046,19.473,0.000,1.216,0.000,0.000,0.000,0.000,0.000,0.000
3503,1181.288,21.226,26.704,17.693,6.040,19.449,0.000,1.215,0.000,0.000,0.000,0.000,0.000,0.000
3504,1181.613,31.819,26.672,17.662,6.034,19.424,0.000,1.214,0.000,0.000,0.000,0.000,0.000,0.000
3505,1181.938,33.745,26.640,17.630,6.027,19.399,0.000,1.213,0.000,0.000,0.000,0.000,0.000,0.000
3506,1182.263,32.745,26.608,17.599,6.021,19.375,0.000,1.212,0.000,0.000,0.000,0.000,0.000,0.000
3507,1182.588,35.301,26.576,17.568,6.015,19.350,0.000,1.211,0.000,0.000,0.000,0.000,0.000,0.000
3508,1182.913,31.709,26.545,17.537,6.009,19.325,0.000,1.210,0.000,0.000,0.000,0.000,0.000,0.000
3509,1183.238,22.968,26.513,17.506,6.003,19.300,0.000,1.209,0.000,0.000,0.000,0.000,0.000,0.000
3510,1183.563,29.116,26.481,17.475,5.998,19.275,0.000,1.208,0.000,0.000,0.000,0.000,0.000,0.000
3511,1183.889,41.782,26.450,17.444,5.992,19.251,0.000,1.207,0.000,0.000,0.000,0.000,0.000,0.000
3512,1184.214,35.819,26.418,17.412,5.986,19.226,0.000,1.206,0.000,0.000,0.000,0.000,0.000,0.000
3513,1184.539,28.893,26.387,17.381,5.980,19.201,0.000,1.205,0.000,0.000,0.000,0.000,0.000,0.000
3514,1184.864,36.634,26.355,17.350,5.975,19.176,0.000,1.204,0.000,0.000,0.000,0.000,0.000,0.000
3515,1185.189,33.152,26.324,17.319,5.969,19.151,0.000,1.203,0.000,0.000,0.000,0.000,0.000,0.000
3516,1185.514,34.523,26.293,17.288,5.964,19.126,0.000,1.202,0.000,0.000,0.000,0.000,0.000,0.000
3517,1185.839,41.597,26.261,17.257,5.958,19.102,0.000,1.201,0.000,0.000,0.000,0.000,0.000,0.000
3518,1186.164,36.523,26.230,17.226,5.953,19.077,0.000,1.200,0.000,0.000,0.000,0.000,0.000,0.000
3519,1186.489,39.931,26.199,17.194,5.948,19.052,0.000,1.199,0.000,0.000,0.000,0.000,0.000,0.000
3520,1186.814,26.671,26.168,17.163,5.943,19.027,0.000,1.198,0.000,0.000,0.000,0.000,0.000,0.000
3521,1187.139,22.744,26.137,17.132,5.937,19.002,0.000,1.197,0.000,0.000,0.000,0.000,0.000,0.000
3522,1187.464,19.597,26.106,17.101,5.932,18.977,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3523,1187.789,28.116,26.075,17.070,5.927,18.952,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3524,1188.114,23.523,26.044,17.039,5.922,18.927,0.000,1.194,0.000,0.000,0.000,0.000,0.000,0.000
3525,1188.439,41.523,26.013,17.007,5.917,18.902,0.000,1.193,0.000,0.000,0.000,0.000,0.000,0.000
3526,1188.764,31.782,25.982,16.976,5.913,18.877,0.000,1.192,0.000,0.000,0.000,0.000,0.000,0.000
3527,1189.088,29.560,25.951,16.945,5.908,18.852,0.000,1.191,0.000,0.000,0.000,0.000,0.000,0.000
3528,1189.413,28.633,25.921,16.914,5.903,18.827,0.000,1.190,0.000,0.000,0.000,0.000,0.000,0.000
3529,1189.738,44.004,25.890,16.883,5.898,18.802,0.000,1.189,0.000,0.000,0.000,0.000,0.000,0.000
3530,1190.063,20.449,25.860,16.852,5.894,18.777,0.000,1.188,0.000,0.000,0.000,0.000,0.000,0.000
3531,1190.388,35.930,25.829,16.821,5.889,18.752,0.000,1.187,0.000,0.000,0.000,0.000,0.000,0.000
3532,1190.713,33.708,25.799,16.789,5.885,18.727,0.000,1.186,0.000,0.000,0.000,0.000,0.000,0.000
3533,1191.038,29.930,25.769,16.758,5.881,18.702,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000
3534,1191.363,29.078,25.738,16.727,5.876,18.677,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000
3535,1191.688,23.634,25.708,16.696,5.872,18.653,0.000,1.184,0.000,0.000,0.000,0.000,0.000,0.000
3536,1192.013,32.449,25.678,16.665,5.868,18.628,0.000,1.183,0.000,0.000,0.000,0.000,0.000,0.000
3537,1192.338,28.819,25.649,16.634,5.864,18.603,0.000,1.182,0.000,0.000,0.000,0.000,0.000,0.000
3538,1192.662,27.930,25.619,16.603,5.860,18.578,0.000,1.181,0.000,0.000,0.000,0.000,0.000,0.000
3539,1192.987,27.041,25.622,16.604,5.861,18.580,0.000,1.181,0.000,0.000,0.000,0.000,0.000,0.000
3540,1193.312,17.745,25.625,16.605,5.862,18.582,0.000,1.181,0.000,0.000,0.000,0.000,0.000,0.000
3541,1193.637,28.263,25.628,16.606,5.863,18.584,0.000,1.181,0.000,0.000,0.000,0.000,0.000,0.000
3542,1193.962,25.597,25.631,16.607,5.864,18.586,0.000,1.181,0.000,0.000,0.000,0.000,0.000,0.000
3543,1194.287,41.893,25.634,16.608,5.865,18.588,0.000,1.181,0.000,0.000,0.000,0.000,0.000,0.000
3544,1194.611,32.190,25.638,16.609,5.867,18.590,0.000,1.182,0.000,0.000,0.000,0.000,0.000,0.000
3545,1194.936,31.856,25.641,16.610,5.868,18.592,0.000,1.182,0.000,0.000,0.000,0.000,0.000,0.000
3546,1195.261,22.300,25.645,16.612,5.869,18.594,0.000,1.182,0.000,0.000,0.000,0.000,0.000,0.000
3547,1195.586,33.375,25.649,16.613,5.871,18.596,0.000,1.182,0.000,0.000,0.000,0.000,0.000,0.000
3548,1195.911,35.634,25.653,16.614,5.873,18.598,0.000,1.182,0.000,0.000,0.000,0.000,0.000,0.000
3549,1196.235,33.189,25.657,16.615,5.874,18.600,0.000,1.182,0.000,0.000,0.000,0.000,0.000,0.000
3550,1196.560,29.930,25.661,16.616,5.876,18.602,0.000,1.182,0.000,0.000,0.000,0.000,0.000,0.000
3551,1196.885,26.300,25.665,16.617,5.878,18.604,0.000,1.183,0.000,0.000,0.000,0.000,0.000,0.000
3552,1197.210,36.782,25.669,16.618,5.880,18.606,0.000,1.183,0.000,0.000,0.000,0.000,0.000,0.000
3553,1197.535,29.078,25.673,16.620,5.882,18.608,0.000,1.183,0.000,0.000,0.000,0.000,0.000,0.000
3554,1197.859,15.449,25.677,16.621,5.884,18.610,0.000,1.183,0.000,0.000,0.000,0.000,0.000,0.000
3555,1198.184,26.782,25.681,16.622,5.886,18.612,0.000,1.183,0.000,0.000,0.000,0.000,0.000,0.000
3556,1198.509,41.634,25.685,16.623,5.888,18.614,0.000,1.183,0.000,0.000,0.000,0.000,0.000,0.000
3557,1198.834,29.300,25.689,16.624,5.890,18.616,0.000,1.183,0.000,0.000,0.000,0.000,0.000,0.000
3558,1199.158,28.041,25.693,16.625,5.892,18.618,0.000,1.184,0.000,0.000,0.000,0.000,0.000,0.000
3559,1199.483,25.967,25.697,16.626,5.894,18.619,0.000,1.184,0.000,0.000,0.000,0.000,0.000,0.000
3560,1199.808,33.856,25.702,16.627,5.897,18.621,0.000,1.184,0.000,0.000,0.000,0.000,0.000,0.000
3561,1200.132,25.226,25.706,16.629,5.899,18.623,0.000,1.184,0.000,0.000,0.000,0.000,0.000,0.000
3562,1200.457,37.856,25.711,16.630,5.902,18.625,0.000,1.184,0.000,0.000,0.000,0.000,0.000,0.000
3563,1200.782,27.671,25.715,16.631,5.904,18.626,0.000,1.184,0.000,0.000,0.000,0.000,0.000,0.000
3564,1201.107,35.893,25.720,16.632,5.907,18.628,0.000,1.184,0.000,0.000,0.000,0.000,0.000,0.000
3565,1201.431,26.338,25.724,16.633,5.910,18.630,0.000,1.184,0.000,0.000,0.000,0.000,0.000,0.000
3566,1201.756,33.041,25.729,16.634,5.912,18.632,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000
3567,1202.081,35.559,25.734,16.635,5.915,18.633,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000
3568,1202.405,28.671,25.738,16.637,5.918,18.635,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000
3569,1202.730,25.189,25.743,16.638,5.921,18.637,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000
3570,1203.055,24.337,25.748,16.639,5.925,18.639,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000
3571,1203.379,32.782,25.753,16.640,5.928,18.640,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000
3572,1203.704,29.337,25.759,16.641,5.931,18.642,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000
3573,1204.028,24.968,25.764,16.642,5.935,18.644,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000
3574,1204.353,22.745,25.769,16.643,5.938,18.645,0.000,1.186,0.000,0.000,0.000,0.000,0.000,0.000
3575,1204.678,30.449,25.775,16.645,5.942,18.647,0.000,1.186,0.000,0.000,0.000,0.000,0.000,0.000
3576,1205.002,37.115,25.780,16.646,5.946,18.649,0.000,1.186,0.000,0.000,0.000,0.000,0.000,0.000
3577,1205.327,45.115,25.786,16.647,5.949,18.651,0.000,1.186,0.000,0.000,0.000,0.000,0.000,0.000
3578,1205.652,24.634,25.792,16.648,5.953,18.652,0.000,1.186,0.000,0.000,0.000,0.000,0.000,0.000
3579,1205.976,26.115,25.798,16.649,5.957,18.654,0.000,1.186,0.000,0.000,0.000,0.000,0.000,0.000
3580,1206.301,38.375,25.804,16.650,5.962,18.656,0.000,1.186,0.000,0.000,0.000,0.000,0.000,0.000
3581,1206.625,37.745,25.810,16.651,5.966,18.658,0.000,1.186,0.000,0.000,0.000,0.000,0.000,0.000
3582,1206.950,43.856,25.817,16.652,5.970,18.660,0.000,1.187,0.000,0.000,0.000,0.000,0.000,0.000
3583,1207.274,36.819,25.823,16.654,5.975,18.661,0.000,1.187,0.000,0.000,0.000,0.000,0.000,0.000
3584,1207.599,19.189,25.830,16.655,5.980,18.663,0.000,1.187,0.000,0.000,0.000,0.000,0.000,0.000
3585,1207.924,35.078,25.837,16.656,5.985,18.665,0.000,1.187,0.000,0.000,0.000,0.000,0.000,0.000
3586,1208.248,30.819,25.844,16.657,5.990,18.667,0.000,1.187,0.000,0.000,0.000,0.000,0.000,0.000
3587,1208.573,36.633,25.851,16.658,5.995,18.669,0.000,1.187,0.000,0.000,0.000,0.000,0.000,0.000
3588,1208.897,27.078,25.859,16.659,6.000,18.671,0.000,1.188,0.000,0.000,0.000,0.000,0.000,0.000
3589,1209.222,30.449,25.866,16.660,6.005,18.674,0.000,1.188,0.000,0.000,0.000,0.000,0.000,0.000
3590,1209.546,27.819,25.874,16.662,6.011,18.676,0.000,1.188,0.000,0.000,0.000,0.000,0.000,0.000
3591,1209.871,31.449,25.882,16.663,6.016,18.678,0.000,1.188,0.000,0.000,0.000,0.000,0.000,0.000
3592,1210.195,32.671,25.890,16.664,6.022,18.680,0.000,1.188,0.000,0.000,0.000,0.000,0.000,0.000
3593,1210.520,33.523,25.898,16.665,6.028,18.682,0.000,1.188,0.000,0.000,0.000,0.000,0.000,0.000
3594,1210.844,33.522,25.906,16.666,6.034,18.684,0.000,1.189,0.000,0.000,0.000,0.000,0.000,0.000
3595,1211.169,30.115,25.914,16.667,6.040,18.686,0.000,1.189,0.000,0.000,0.000,0.000,0.000,0.000
3596,1211.493,27.671,25.922,16.668,6.046,18.688,0.000,1.189,0.000,0.000,0.000,0.000,0.000,0.000
3597,1211.818,38.485,25.931,16.669,6.052,18.690,0.000,1.189,0.000,0.000,0.000,0.000,0.000,0.000
3598,1212.142,31.856,25.939,16.671,6.058,18.692,0.000,1.189,0.000,0.000,0.000,0.000,0.000,0.000
3599,1212.467,22.745,25.948,16.672,6.065,18.694,0.000,1.189,0.000,0.000,0.000,0.000,0.000,0.000
3600,1212.791,19.782,25.956,16.673,6.072,18.695,0.000,1.189,0.000,0.000,0.000,0.000,0.000,0.000
3601,1213.116,16.300,25.965,16.674,6.078,18.697,0.000,1.190,0.000,0.000,0.000,0.000,0.000,0.000
3602,1213.440,29.449,25.974,16.675,6.085,18.699,0.000,1.190,0.000,0.000,0.000,0.000,0.000,0.000
3603,1213.765,35.040,25.983,16.676,6.092,18.701,0.000,1.190,0.000,0.000,0.000,0.000,0.000,0.000
3604,1214.089,33.819,25.992,16.677,6.099,18.703,0.000,1.190,0.000,0.000,0.000,0.000,0.000,0.000
3605,1214.413,38.115,26.001,16.679,6.106,18.704,0.000,1.190,0.000,0.000,0.000,0.000,0.000,0.000
3606,1214.738,24.744,26.010,16.680,6.114,18.706,0.000,1.190,0.000,0.000,0.000,0.000,0.000,0.000
3607,1215.062,31.930,26.020,16.681,6.121,18.708,0.000,1.190,0.000,0.000,0.000,0.000,0.000,0.000
3608,1215.387,38.300,26.029,16.682,6.129,18.710,0.000,1.190,0.000,0.000,0.000,0.000,0.000,0.000
3609,1215.711,34.375,26.039,16.683,6.137,18.711,0.000,1.190,0.000,0.000,0.000,0.000,0.000,0.000
3610,1216.035,26.152,26.048,16.684,6.145,18.713,0.000,1.191,0.000,0.000,0.000,0.000,0.000,0.000
3611,1216.360,35.411,26.058,16.685,6.153,18.715,0.000,1.191,0.000,0.000,0.000,0.000,0.000,0.000
3612,1216.684,41.411,26.068,16.687,6.161,18.716,0.000,1.191,0.000,0.000,0.000,0.000,0.000,0.000
3613,1217.009,22.152,26.079,16.688,6.170,18.718,0.000,1.191,0.000,0.000,0.000,0.000,0.000,0.000
3614,1217.333,31.596,26.089,16.689,6.178,18.720,0.000,1.191,0.000,0.000,0.000,0.000,0.000,0.000
3615,1217.657,34.375,26.099,16.690,6.187,18.721,0.000,1.191,0.000,0.000,0.000,0.000,0.000,0.000
3616,1217.982,26.486,26.110,16.691,6.196,18.723,0.000,1.191,0.000,0.000,0.000,0.000,0.000,0.000
3617,1218.306,31.078,26.121,16.692,6.205,18.725,0.000,1.191,0.000,0.000,0.000,0.000,0.000,0.000
3618,1218.630,32.671,26.132,16.693,6.214,18.726,0.000,1.191,0.000,0.000,0.000,0.000,0.000,0.000
3619,1218.955,27.856,26.143,16.694,6.224,18.728,0.000,1.191,0.000,0.000,0.000,0.000,0.000,0.000
3620,1219.279,19.782,26.155,16.696,6.233,18.730,0.000,1.192,0.000,0.000,0.000,0.000,0.000,0.000
3621,1219.603,29.633,26.166,16.697,6.243,18.731,0.000,1.192,0.000,0.000,0.000,0.000,0.000,0.000
3622,1219.928,32.708,26.178,16.698,6.253,18.733,0.000,1.192,0.000,0.000,0.000,0.000,0.000,0.000
3623,1220.252,30.819,26.190,16.699,6.263,18.735,0.000,1.192,0.000,0.000,0.000,0.000,0.000,0.000
3624,1220.576,28.449,26.202,16.700,6.273,18.737,0.000,1.192,0.000,0.000,0.000,0.000,0.000,0.000
3625,1220.901,25.300,26.215,16.701,6.283,18.739,0.000,1.192,0.000,0.000,0.000,0.000,0.000,0.000
3626,1221.225,38.708,26.227,16.702,6.293,18.741,0.000,1.192,0.000,0.000,0.000,0.000,0.000,0.000
3627,1221.549,21.004,26.239,16.704,6.303,18.744,0.000,1.193,0.000,0.000,0.000,0.000,0.000,0.000
3628,1221.874,34.559,26.252,16.705,6.313,18.746,0.000,1.193,0.000,0.000,0.000,0.000,0.000,0.000
3629,1222.198,36.597,26.264,16.706,6.323,18.748,0.000,1.193,0.000,0.000,0.000,0.000,0.000,0.000
3630,1222.522,22.633,26.276,16.707,6.333,18.750,0.000,1.193,0.000,0.000,0.000,0.000,0.000,0.000
3631,1222.846,31.226,26.288,16.708,6.343,18.752,0.000,1.193,0.000,0.000,0.000,0.000,0.000,0.000
3632,1223.171,32.559,26.300,16.709,6.353,18.754,0.000,1.193,0.000,0.000,0.000,0.000,0.000,0.000
3633,1223.495,30.411,26.312,16.710,6.363,18.756,0.000,1.193,0.000,0.000,0.000,0.000,0.000,0.000
3634,1223.819,36.263,26.324,16.711,6.372,18.758,0.000,1.194,0.000,0.000,0.000,0.000,0.000,0.000
3635,1224.144,26.264,26.336,16.713,6.382,18.760,0.000,1.194,0.000,0.000,0.000,0.000,0.000,0.000
3636,1224.468,36.744,26.348,16.714,6.392,18.763,0.000,1.194,0.000,0.000,0.000,0.000,0.000,0.000
3637,1224.792,18.930,26.360,16.715,6.402,18.765,0.000,1.194,0.000,0.000,0.000,0.000,0.000,0.000
3638,1225.116,23.633,26.372,16.716,6.411,18.767,0.000,1.194,0.000,0.000,0.000,0.000,0.000,0.000
3639,1225.440,26.152,26.384,16.717,6.421,18.769,0.000,1.194,0.000,0.000,0.000,0.000,0.000,0.000
3640,1225.765,30.485,26.396,16.718,6.431,18.771,0.000,1.194,0.000,0.000,0.000,0.000,0.000,0.000
3641,1226.089,25.560,26.407,16.719,6.440,18.772,0.000,1.194,0.000,0.000,0.000,0.000,0.000,0.000
3642,1226.413,26.745,26.419,16.721,6.450,18.774,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3643,1226.737,26.375,26.430,16.722,6.459,18.776,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3644,1227.062,15.152,26.442,16.723,6.469,18.778,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3645,1227.386,22.189,26.453,16.724,6.478,18.780,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3646,1227.710,27.633,26.464,16.725,6.487,18.782,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3647,1228.034,31.856,26.475,16.726,6.497,18.784,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3648,1228.358,26.411,26.487,16.727,6.506,18.786,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3649,1228.682,29.819,26.498,16.728,6.515,18.787,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3650,1229.007,22.485,26.508,16.730,6.524,18.789,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3651,1229.331,32.226,26.519,16.731,6.533,18.791,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3652,1229.655,30.560,26.530,16.732,6.542,18.793,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3653,1229.979,33.115,26.541,16.733,6.551,18.795,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000
3654,1230.303,28.004,26.551,16.734,6.559,18.796,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3655,1230.627,32.152,26.562,16.735,6.568,18.798,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3656,1230.951,30.449,26.572,16.736,6.576,18.800,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3657,1231.276,48.930,26.582,16.738,6.585,18.802,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3658,1231.600,28.226,26.592,16.739,6.593,18.803,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3659,1231.924,30.559,26.602,16.740,6.601,18.805,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3660,1232.248,34.189,26.612,16.741,6.609,18.807,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3661,1232.572,32.485,26.622,16.742,6.617,18.809,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3662,1232.896,19.930,26.632,16.743,6.625,18.810,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3663,1233.220,26.375,26.641,16.744,6.633,18.812,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3664,1233.544,20.337,26.651,16.746,6.641,18.814,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3665,1233.868,27.226,26.660,16.747,6.648,18.816,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3666,1234.193,29.486,26.670,16.748,6.655,18.818,0.000,1.196,0.000,0.000,0.000,0.000,0.000,0.000
3667,1234.517,15.152,26.679,16.749,6.663,18.820,0.000,1.197,0.000,0.000,0.000,0.000,0.000,0.000
