ch,keV,net,model,continuum_raw,Tl-208,Ac-228,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Xray-Th,Xray-Pb,Xray-La
169,49.331,709.825,866.272,784.508,50.074,71.836,42.347,7.653,3.134,0.513,0.074,449.248,241.315,0.000
170,49.670,668.827,869.117,784.391,50.096,71.790,42.451,7.646,3.141,0.514,0.074,449.689,243.635,0.000
171,50.010,701.683,872.064,784.274,50.116,71.754,42.553,7.640,3.147,0.515,0.074,450.173,246.007,0.000
172,50.349,717.722,875.164,784.156,50.135,71.727,42.654,7.635,3.155,0.517,0.074,450.703,248.476,0.000
173,50.688,726.982,878.436,784.039,50.153,71.706,42.752,7.631,3.162,0.518,0.074,451.283,251.062,0.000
174,51.028,722.429,881.922,783.922,50.168,71.691,42.848,7.628,3.170,0.520,0.074,451.920,253.805,0.000
175,51.367,752.801,885.686,783.804,50.183,71.679,42.942,7.626,3.178,0.521,0.074,452.618,256.759,0.000
176,51.706,765.509,889.793,783.687,50.198,71.672,43.036,7.625,3.186,0.523,0.074,453.383,259.984,0.000
177,52.046,747.583,894.322,783.570,50.215,71.670,43.132,7.624,3.194,0.526,0.074,454.224,263.545,0.000
178,52.385,754.809,899.331,783.453,50.233,71.672,43.230,7.624,3.202,0.528,0.074,455.148,267.493,0.000
179,52.725,742.701,904.858,783.335,50.252,71.675,43.330,7.625,3.210,0.531,0.074,456.174,271.851,0.000
180,53.064,922.664,910.971,783.218,50.272,71.681,43.434,7.625,3.219,0.534,0.075,457.316,276.673,0.000
181,53.404,873.481,917.712,783.101,50.293,71.688,43.542,7.627,3.226,0.537,0.075,458.549,282.023,0.000
182,53.743,859.855,925.188,782.983,50.317,71.698,43.657,7.629,3.234,0.540,0.075,459.908,287.971,0.000
183,54.083,850.008,933.491,782.866,50.345,71.713,43.780,7.631,3.242,0.543,0.075,461.406,294.589,0.000
184,54.422,823.674,942.671,782.749,50.375,71.729,43.913,7.634,3.249,0.547,0.075,463.057,301.918,0.000
185,54.762,917.234,952.782,782.632,50.408,71.747,44.054,7.637,3.257,0.551,0.075,464.879,309.995,0.000
186,55.101,919.494,963.922,782.514,50.443,71.767,44.205,7.641,3.264,0.555,0.075,466.890,318.898,0.000
187,55.441,964.055,976.201,782.397,50.482,71.790,44.368,7.645,3.270,0.560,0.075,469.110,328.713,0.000
188,55.781,940.946,989.740,782.280,50.525,71.818,44.545,7.649,3.277,0.564,0.075,471.561,339.536,0.000
189,56.120,939.909,1004.655,782.162,50.574,71.850,44.737,7.655,3.283,0.569,0.075,474.260,351.461,0.000
190,56.460,940.986,1020.984,782.045,50.627,71.885,44.945,7.661,3.290,0.574,0.075,477.192,364.545,0.000
191,56.800,939.731,1038.828,781.928,50.684,71.925,45.171,7.667,3.296,0.579,0.075,480.359,378.885,0.000
