detector,energy_kev,gadras_intrinsic_pct,ours_intrinsic_pct,ratio,rel_err
NaI 10%,30,23.403,20.095544817858197,0.85867388018024182,6.3443879031192463
NaI 10%,40,40.362,39.638562897392113,0.98207628208196107,6.6594163735318013
NaI 10%,50,55.453,51.763554187984163,0.93346715575323536,6.6373228178484123
NaI 10%,60,64.822,60.170494012027952,0.92824186251624374,6.487166824521827
NaI 10%,80,74.724,70.647542647513873,0.9454464783404779,6.208356413444168
NaI 10%,100,79.256,71.7084084432994,0.90476946153350413,6.2852963749695343
NaI 10%,150,82.271,78.924970818426559,0.95932917818461616,6.042485243832556
NaI 10%,200,79.659,76.443424607389233,0.9596332442961778,6.2273981578842434
NaI 10%,300,64.123,50.5384997278786,0.78814933374730745,8.07390673333203
NaI 10%,400,48.215,49.243513800806909,1.0213318220638163,8.2537870102399218
NaI 10%,500,37.256,35.717817425915193,0.95871315830779458,9.93456854549694
NaI 10%,600,29.987,23.461416035697283,0.7823862352251737,12.51665557102589
NaI 10%,662,26.709933607434856,21.98099105573473,0.82295191664632972,12.983506020450935
NaI 10%,800,21.43688618470765,22.923952131570669,1.0693694939670781,12.744167023232739
NaI 10%,1000,16.656,17.527332063442685,1.0523134043853679,14.74017392321924
NaI 10%,1200,13.656,14.828327544879198,1.085847066848213,16.13289404553537
NaI 10%,1500,10.767,11.298104684830978,1.0493270813440121,18.631770102621658
NaI 10%,2000,7.8934,4.0661905377380636,0.5151380314868198,31.464265445510481
NaI 10%,2614,5.7470374635419361,4.0906734984549411,0.71178820816905419,31.464265445164013
NaI 10%,3000,5.0949,3.2817016938341839,0.64411503539503889,35.213633723684964
NaI 12%,30,44.28,42.683005849060073,0.963934188099821,6.59362843007663
NaI 12%,40,49.936,52.33358336116455,1.0480131240220392,7.088086051290615
NaI 12%,50,59.152,56.352422055747461,0.95267145752886562,7.2456883738017925
NaI 12%,60,64.918,57.34190804807745,0.88329751452721039,7.3835038456456088
NaI 12%,80,71.464,71.429199517156675,0.99951303477494513,6.6373228080848987
NaI 12%,100,74.806,68.944951634480915,0.92165002318638767,6.8660656235331246
NaI 12%,150,77.423,71.6629374523399,0.9256026949658358,6.818883716845046
NaI 12%,200,75.463,73.743990235339751,0.97722049528033283,6.7724383932007912
NaI 12%,300,62.24,55.694601552140455,0.89483614318991733,8.109104498016551
NaI 12%,400,47.816,54.041621702978354,1.130199550422,8.3285700673628771
NaI 12%,500,37.525,38.208200387394861,1.0182065393043267,10.180194675837164
NaI 12%,600,30.552,29.373825661396335,0.96143707977861792,11.800581822362828
NaI 12%,662,27.3662632452032,21.593377029284042,0.7890509871883572,13.93131841056757
NaI 12%,800,22.19076907733697,18.237253888909525,0.82183964987202274,15.293869328174081
NaI 12%,1000,17.44,13.936348253919533,0.79910253749538607,17.679950372227285
NaI 12%,1200,14.413,16.318104861808909,1.132179619913197,16.363916944905284
NaI 12%,1500,11.485,7.7773754812584919,0.67717679418881083,24.046523535049396
NaI 12%,2000,8.5552,5.0864976930635857,0.59455041297264655,29.984844656836927
NaI 12%,2614,6.3583070179428365,6.06298452696287,0.95355328232081582,27.554142505867134
NaI 12%,3000,5.6756,4.6823515899496213,0.8249967562812075,31.464265445144662
