arm;node_kev;bin;dep_kev;compton
image_1460.8;1460.8;234;468.0;9.9646338956105643E-05
image_1460.8;1460.8;235;470.0;7.9420001625099491E-05
image_1460.8;1460.8;236;472.0;9.4817519629438027E-05
image_1460.8;1460.8;237;474.0;0.0001122365078895257
image_1460.8;1460.8;238;476.0;9.6825398978688069E-05
image_1460.8;1460.8;239;478.0;0.00010151600798993054
image_1460.8;1460.8;240;480.0;0.00010086943647025466
image_1460.8;1460.8;241;482.0;0.00010014744350793071
image_1460.8;1460.8;242;484.0;9.5944332758410007E-05
image_1460.8;1460.8;243;486.0;0.00010569070917510314
image_1460.8;1460.8;244;488.0;9.7407761217608666E-05
image_1460.8;1460.8;245;490.0;9.6024520096286067E-05
image_1460.8;1460.8;246;492.0;0.00010373805236446998
image_1460.8;1460.8;247;494.0;9.182372115947852E-05
image_1460.8;1460.8;248;496.0;9.95053430972587E-05
image_1460.8;1460.8;249;498.0;8.4461450834343656E-05
image_1460.8;1460.8;250;500.0;0.00012459601331947225
image_1460.8;1460.8;251;502.0;0.00010215760892118826
image_1460.8;1460.8;252;504.0;9.32338705555706E-05
image_1460.8;1460.8;253;506.0;9.0188927055128787E-05
image_1460.8;1460.8;254;508.0;9.3891537020981381E-05
image_1460.8;1460.8;255;510.0;9.9554259702297959E-05
image_1460.8;1460.8;256;512.0;0.00010071849199607377
image_1460.8;1460.8;257;514.0;0.00010359785302588396
image_1460.8;1460.8;258;516.0;8.980957377805173E-05
image_1460.8;1460.8;259;518.0;8.3333840432961719E-05
image_1460.8;1460.8;260;520.0;0.00011564380322691309
image_1460.8;1460.8;261;522.0;0.00010491245211972726
image_1460.8;1460.8;262;524.0;9.8089215095768117E-05
image_1460.8;1460.8;263;526.0;7.6951823833960051E-05
image_1460.8;1460.8;264;528.0;8.8954566689241352E-05
image_1460.8;1460.8;265;530.0;9.92151075129795E-05
image_1460.8;1460.8;266;532.0;9.7563233272253945E-05
image_1460.8;1460.8;267;534.0;9.66880430476447E-05
image_1460.8;1460.8;268;536.0;0.00010439795254721273
image_1460.8;1460.8;269;538.0;9.3858084854284455E-05
image_1460.8;1460.8;270;540.0;9.6405105879093209E-05
image_1460.8;1460.8;271;542.0;8.4723701106153556E-05
image_1460.8;1460.8;272;544.0;0.00010085146311538208
image_1460.8;1460.8;273;546.0;9.8834337916183434E-05
image_1460.8;1460.8;274;548.0;9.15193662623768E-05
image_1460.8;1460.8;275;550.0;8.189010142884776E-05
image_1460.8;1460.8;276;552.0;0.00010022489231704935
image_1460.8;1460.8;277;554.0;9.99559028210283E-05
image_1460.8;1460.8;278;556.0;9.259996874067657E-05
image_1460.8;1460.8;279;558.0;9.3302913500795416E-05
image_1460.8;1460.8;280;560.0;9.9900834577804166E-05
image_1460.8;1460.8;281;562.0;8.69491144996529E-05
image_1460.8;1460.8;282;564.0;9.0014423995592632E-05
image_1460.8;1460.8;283;566.0;9.40290643921495E-05
image_1460.8;1460.8;284;568.0;9.5241097808620529E-05
image_1460.8;1460.8;285;570.0;9.4022632545215292E-05
image_1460.8;1460.8;286;572.0;9.9898785856802156E-05
image_1460.8;1460.8;287;574.0;9.304652917382221E-05
image_1460.8;1460.8;288;576.0;9.7439455199861366E-05
image_1460.8;1460.8;289;578.0;8.9439896250143893E-05
image_1460.8;1460.8;290;580.0;9.5061867492830218E-05
image_1460.8;1460.8;291;582.0;9.1097729078037416E-05
