n_low,n_miss,low_kev,low_fwhm,excess,band_n,band_kev,band_fwhm,band_sum,key,det,mode,lines,e_lo,ch_lo,ch_work,e_work_kev,lever_ch,lever_frac,gap_kev,gap_fwhm,gap_at_kev,loo_e,loo_kev,loo_fwhm,loo_mode
0,0,0.0,0.0,0.8,1,-5.49,-0.56,0.558,G1S24_Cs137_Petri,G1S24,affine/xlow/grp,3,33.4,12,5,6.1,7,0.007,6.91,0.69,26.1,33.4,-12.25,-1.08,gain
0,0,0.0,0.0,0.37,1,-11.9,-0.39,0.385,G1S24_Cs137_Petri_2,G1S24,affine/grp,4,198.1,68,5,1.8,63,0.062,3.85,0.13,184.6,198.1,-14.34,-0.47,gain
0,0,0.0,0.0,0.99,4,-11.74,-0.72,1.497,G1S24_Ra226_Petri_2,G1S24,affine/grp,14,47.9,18,6,8.0,12,0.012,5.96,1.22,8.0,47.9,-11.33,-0.95,poly2
0,1,0.0,0.0,-0.14,2,-20.65,-1.49,2.338,G1S24_Th232_Petri_2,G1S24,gain/grp,10,238.4,86,5,-0.9,81,0.079,1.45,0.06,234.6,238.4,-2.57,-0.1,gain
0,0,0.0,0.0,0.89,2,-2.74,-0.1,0.19,G1S24_Cs137_P25,G1S24,affine/xlow/grp,6,33.4,12,5,11.4,7,0.007,6.13,1.05,11.4,33.4,-2.11,-0.21,affine
0,4,0.0,0.0,-0.07,0,0.0,0.0,0.0,G1S24_Na22_P25,G1S24,gain/grp,5,511.0,179,5,5.2,174,0.17,-3.46,-0.08,503.7,511.0,-7.25,-0.17,gain
0,0,0.0,0.0,1.02,3,-7.91,-0.49,0.726,G1S24_Th228_P25,G1S24,affine,9,180.8,64,6,13.1,58,0.057,5.06,0.75,13.1,180.8,-8.5,-0.34,gain
0,1,0.0,0.0,1.13,0,0.0,0.0,0.0,G1S24_Y88_P25,G1S24,affine,6,237.3,83,6,13.9,77,0.076,5.9,0.79,13.9,237.3,-9.58,-0.31,gain
0,0,0.0,0.0,0.71,2,3.07,0.49,0.813,G1S24_Am241_P5,G1S24,poly1/recal/xlow/grp,3,17.1,11,5,0.2,6,0.007,-3.57,-0.96,0.2,17.1,5.49,0.8,gain/recal
0,0,0.0,0.0,0.52,2,-4.45,-0.47,0.565,G1S24_Ba133_P5,G1S24,affine/xlow,5,32.3,12,5,7.5,7,0.007,3.73,0.42,27.0,32.3,-7.98,-0.83,gain
0,0,0.0,0.0,2.42,2,3.91,0.24,0.374,G1S24_Bi207_P5,G1S24,affine/grp,5,198.1,69,6,17.8,63,0.062,11.23,1.47,17.8,198.1,-6.35,-0.25,affine
0,0,0.0,0.0,0.53,2,-2.49,-0.41,0.665,G1S24_Cd109_P5,G1S24,affine/xlow,3,23.0,9,5,7.4,4,0.005,3.79,0.69,18.7,23.0,-5.77,-0.94,gain
0,1,0.0,0.0,2.75,0,0.0,0.0,0.0,G1S24_Co60_P5,G1S24,affine/grp,7,239.3,83,6,19.6,77,0.076,13.0,1.58,19.6,239.3,-5.44,-0.19,affine
0,0,0.0,0.0,1.09,2,2.48,0.08,0.155,G1S24_Cs137_P5,G1S24,affine/xlow/grp,4,33.4,12,5,10.7,7,0.008,6.96,1.26,10.7,33.4,-2.22,-0.23,affine
0,0,0.0,0.0,0.82,3,-19.25,-0.92,1.332,G1S24_Eu152_P5,G1S24,affine/xlow,8,41.9,16,6,11.6,10,0.01,5.04,0.86,11.6,41.9,-7.0,-0.63,gain
0,0,0.0,0.0,5.69,1,1.89,0.07,0.072,G1S24_Na22_P5,G1S24,affine,5,198.1,67,6,33.4,61,0.06,26.82,2.49,33.4,198.1,4.47,0.17,affine
0,0,0.0,0.0,0.97,3,-17.5,-1.17,2.162,G1S24_Th228_P5,G1S24,affine/robust/grp,9,238.7,87,6,1.3,81,0.079,-5.31,-1.31,1.3,238.7,0.55,0.02,gain
0,0,0.0,0.0,1.98,1,6.03,0.23,0.233,G1S24_Y88_P5,G1S24,affine,5,198.1,79,7,-1.1,72,0.071,-10.4,-2.22,-1.1,198.1,16.57,0.56,gain
