ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
171,58.102,124087.019,121323.004,98033.793,0.000,124087.019,0.000,114590.240,3401.880,0.000,3274.202,171.221
172,58.480,123371.232,121985.947,100666.549,0.000,123371.232,0.000,114982.616,3493.687,0.000,3448.331,175.842
173,58.859,125011.096,122671.219,103161.878,0.000,125011.096,0.000,115387.281,3580.709,0.000,3637.525,180.222
174,59.237,123824.419,123379.786,105517.718,0.000,123824.419,0.000,115803.101,3662.873,0.000,3843.963,184.357
175,59.616,123980.961,124132.959,107733.836,0.000,123980.961,0.000,116229.055,3740.170,0.000,4070.067,188.248
176,59.994,124058.587,124917.639,109805.056,0.000,124058.587,0.000,116657.893,3812.421,0.000,4318.323,191.884
177,60.372,123803.697,125686.527,111727.502,0.000,123803.697,0.000,117082.283,3879.490,0.000,4591.515,195.260
178,60.751,124331.697,126471.452,113504.495,0.000,124331.697,0.000,117500.623,3941.495,0.000,4892.959,198.381
179,61.129,124136.794,127277.644,115142.453,0.000,124136.794,0.000,117913.296,3998.659,0.000,5226.421,201.258
180,61.508,124290.659,128108.742,116648.246,0.000,124290.659,0.000,118320.356,4051.223,0.000,5595.234,203.903
181,61.886,124354.375,128960.644,118024.311,0.000,124354.375,0.000,118716.953,4099.273,0.000,6000.055,206.322
182,62.264,124459.408,129828.132,119272.984,0.000,124459.408,0.000,119097.698,4142.892,0.000,6440.968,208.517
183,62.643,124965.569,130714.808,120403.078,0.000,124965.569,0.000,119463.205,4182.389,0.000,6920.638,210.505
184,63.021,125422.252,131625.536,121424.655,0.000,125422.252,0.000,119815.151,4218.115,0.000,7441.880,212.303
185,63.400,125176.349,132564.802,122348.327,0.000,125176.349,0.000,120155.777,4250.441,0.000,8007.096,213.930
186,63.778,125289.763,133516.918,123175.880,0.000,125289.763,0.000,120479.031,4279.431,0.000,8610.090,215.389
187,64.157,125893.157,134485.655,123913.365,0.000,125893.157,0.000,120783.204,4305.299,0.000,9247.467,216.691
188,64.535,125792.131,135466.776,124569.957,0.000,125792.131,0.000,121069.972,4328.364,0.000,9917.579,217.852
189,64.914,126469.996,136460.865,125155.392,0.000,126469.996,0.000,121341.800,4348.967,0.000,10618.183,218.889
190,65.292,127353.919,137466.345,125677.354,0.000,127353.919,0.000,121599.809,4367.377,0.000,11346.301,219.816
191,65.671,127221.435,138474.101,126136.506,0.000,127221.435,0.000,121838.831,4383.618,0.000,12097.962,220.633
192,66.050,128564.325,139478.411,126536.888,0.000,128564.325,0.000,122057.439,4397.831,0.000,12868.719,221.349
193,66.428,129146.435,140476.201,126885.190,0.000,129146.435,0.000,122257.253,4410.251,0.000,13653.636,221.974
194,66.807,129999.727,141464.895,127188.659,0.000,129999.727,0.000,122440.932,4421.130,0.000,14447.208,222.521
195,67.185,130928.681,142438.824,127451.502,0.000,130928.681,0.000,122608.708,4430.615,0.000,15243.383,222.999
196,67.564,131675.243,143309.319,127673.546,0.000,131675.243,0.000,122757.107,4438.701,0.000,16035.612,223.406
197,67.942,132415.404,144202.054,127856.523,0.000,132415.404,0.000,122884.862,4445.447,0.000,16817.005,223.745
198,68.321,134292.895,145080.699,128005.381,0.000,134292.895,0.000,122994.176,4451.026,0.000,17580.438,224.026
199,68.700,134316.128,145917.688,128125.501,0.000,134316.128,0.000,123088.100,4455.624,0.000,18318.635,224.257
200,69.078,136120.890,146707.155,128220.159,0.000,136120.890,0.000,123167.971,4459.355,0.000,19024.274,224.445
201,69.457,136439.452,147437.117,128286.152,0.000,136439.452,0.000,123229.211,4462.107,0.000,19690.069,224.584
202,69.836,138363.568,148100.890,128325.048,0.000,138363.568,0.000,123272.079,4463.933,0.000,20309.019,224.676
203,70.214,138974.925,148694.857,128340.861,0.000,138974.925,0.000,123299.418,4464.972,0.000,20874.518,224.728
204,70.593,140153.725,149216.928,128338.369,0.000,140153.725,0.000,123315.053,4465.388,0.000,21380.481,224.749
205,70.972,142009.518,149662.715,128319.387,0.000,142009.518,0.000,123320.008,4465.243,0.000,21821.429,224.742
206,71.350,142920.812,150002.176,128279.552,0.000,142920.812,0.000,123309.676,4464.384,0.000,22192.586,224.698
207,71.729,145359.572,150244.771,128221.080,0.000,145359.572,0.000,123285.851,4462.886,0.000,22490.118,224.623
208,72.108,146291.837,150429.540,128147.428,0.000,146291.837,0.000,123251.639,4460.868,0.000,22711.173,224.521
209,72.487,147346.220,150529.087,128062.698,0.000,147346.220,0.000,123210.876,4458.469,0.000,22853.956,224.401
210,72.865,148627.226,150542.224,127966.445,0.000,148627.226,0.000,123163.126,4455.673,0.000,22917.733,224.260
211,73.244,149040.484,150467.259,127856.492,0.000,149040.484,0.000,123106.380,4452.402,0.000,22902.904,224.095
212,73.623,151043.892,150306.986,127733.843,0.000,151043.892,0.000,123041.791,4448.689,0.000,22811.075,223.908
213,74.002,152286.944,150067.110,127601.219,0.000,152286.944,0.000,122972.177,4444.626,0.000,22645.035,223.704
214,74.380,152386.777,149754.447,127461.396,0.000,152386.777,0.000,122900.497,4440.310,0.000,22408.542,223.487
215,74.759,152842.332,149372.237,127313.819,0.000,152842.332,0.000,122826.628,4435.717,0.000,22104.979,223.256
216,75.138,153920.391,148920.766,127155.810,0.000,153920.391,0.000,122748.459,4430.755,0.000,21737.696,223.006
217,75.517,154351.797,148376.394,126988.221,0.000,154351.797,0.000,122667.347,4425.450,0.000,21311.946,222.739
218,75.896,154455.354,147811.017,126813.077,0.000,154455.354,0.000,122585.861,4419.872,0.000,20833.864,222.458
219,76.274,154537.946,147201.843,126632.283,0.000,154537.946,0.000,122506.535,4414.086,0.000,20310.043,222.167
220,76.653,153692.787,146554.521,126443.843,0.000,153692.787,0.000,122428.305,4408.022,0.000,19747.271,221.862
221,77.032,154915.541,145871.441,126242.464,0.000,154915.541,0.000,122346.889,4401.495,0.000,19152.412,221.533
222,77.411,153398.753,145160.987,126028.386,0.000,153398.753,0.000,122263.578,4394.511,0.000,18532.555,221.182
223,77.790,152701.096,144432.064,125802.379,0.000,152701.096,0.000,122180.241,4387.098,0.000,17894.706,220.808
224,78.169,152369.684,143693.929,125565.645,0.000,152369.684,0.000,122099.299,4379.298,0.000,17245.658,220.416
225,78.548,151463.728,142949.521,125313.260,0.000,151463.728,0.000,122017.424,4370.937,0.000,16591.857,219.995
226,78.927,150961.449,142201.489,125040.285,0.000,150961.449,0.000,121931.436,4361.845,0.000,15939.315,219.537
227,79.306,149482.457,141444.261,124745.463,0.000,149482.457,0.000,121841.865,4351.978,0.000,15293.524,219.041
228,79.684,149606.618,140700.227,124428.274,0.000,149606.618,0.000,121750.183,4341.317,0.000,14659.378,218.504
229,80.063,147955.380,139977.424,124087.862,0.000,147955.380,0.000,121657.652,4329.835,0.000,14041.116,217.926
230,80.442,147143.385,139269.198,123718.686,0.000,147143.385,0.000,121561.334,4317.337,0.000,13442.284,217.297
231,80.821,145727.385,138576.076,123315.731,0.000,145727.385,0.000,121459.056,4303.650,0.000,12865.721,216.608
232,81.200,144293.488,137902.135,122876.572,0.000,144293.488,0.000,121351.409,4288.690,0.000,12313.566,215.855
233,81.579,142354.687,137247.335,122399.466,0.000,142354.687,0.000,121239.959,4272.398,0.000,11787.272,215.035
234,81.958,141918.644,136614.878,121881.707,0.000,141918.644,0.000,121125.692,4254.679,0.000,11287.634,214.144
235,82.337,141019.396,136002.450,121316.812,0.000,141019.396,0.000,121006.350,4235.310,0.000,10814.837,213.169
