ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
101,31.643,1098859.534,1050196.806,8699.317,2748.047,1098859.534,0.000,1034854.731,17932.992,0.000,52.840,13.863
102,32.021,1074636.818,1023025.278,8928.246,2955.995,1074636.818,0.000,1010143.829,15447.256,0.000,54.843,14.302
103,32.399,1045204.941,989610.182,9157.175,3185.541,1045204.941,0.000,978932.665,13222.096,0.000,56.918,14.744
104,32.776,1004441.309,950783.144,9386.105,3436.809,1004441.309,0.000,942075.670,11247.802,0.000,59.072,15.188
105,33.154,957543.933,908980.126,9615.034,3710.637,957543.933,0.000,900523.407,9511.092,0.000,61.313,15.633
106,33.532,908218.495,862678.914,9843.963,4008.499,908218.495,0.000,855283.295,7996.217,0.000,63.653,16.079
107,33.909,854658.462,813303.076,10072.893,4331.928,854658.462,0.000,807375.425,6685.886,0.000,66.104,16.525
108,34.287,799123.585,761797.596,10301.822,4680.449,799123.585,0.000,757787.366,5562.009,0.000,68.679,16.971
109,34.665,744098.250,710499.485,10530.752,5051.173,744098.250,0.000,707442.144,4606.287,0.000,71.398,17.416
110,35.042,688096.444,659359.520,10759.681,5442.874,688096.444,0.000,657194.333,3800.670,0.000,74.279,17.860
111,35.420,634879.314,609242.670,10988.610,5854.641,634879.314,0.000,607805.231,3127.708,0.000,77.354,18.301
112,35.798,584463.741,560810.717,11217.540,6285.248,584463.741,0.000,559928.312,2570.814,0.000,80.646,18.741
113,36.176,535738.288,515059.892,11446.469,6730.797,535738.288,0.000,514090.217,2114.457,0.000,84.182,19.179
114,36.553,489899.224,471324.858,11675.398,7185.948,489899.224,0.000,470697.431,1744.298,0.000,88.005,19.615
115,36.931,447000.669,430218.528,11904.328,7646.952,447000.669,0.000,430058.496,1447.278,0.000,92.160,20.048
116,37.309,408174.025,391926.382,12133.257,8109.827,408174.025,0.000,392381.388,1211.656,0.000,96.700,20.479
117,37.687,371745.321,357972.802,12362.187,8570.201,371745.321,0.000,357782.365,1027.018,0.000,101.683,20.908
118,38.064,340384.160,326703.814,12591.116,9022.416,340384.160,0.000,326282.491,884.247,0.000,107.179,21.334
119,38.442,311599.792,298165.467,12820.045,9461.018,311599.792,0.000,297840.721,775.471,0.000,113.267,21.758
120,38.820,286095.367,272617.814,13048.975,9881.025,286095.367,0.000,272367.780,693.979,0.000,120.038,22.181
121,39.198,263639.677,249932.317,13277.904,10277.616,263639.677,0.000,249734.558,634.135,0.000,127.600,22.601
122,39.576,241709.728,229940.028,13506.834,10646.436,241709.728,0.000,229776.684,591.263,0.000,136.047,23.020
123,39.954,223624.431,212451.523,13735.763,10983.659,223624.431,0.000,212299.463,561.540,0.000,145.441,23.437
124,40.331,208946.109,197255.822,13964.692,11286.082,208946.109,0.000,197097.898,541.884,0.000,155.862,23.853
125,40.709,196015.096,184125.753,14193.622,11551.369,196015.096,0.000,183968.067,529.843,0.000,167.424,24.268
126,41.087,184409.871,172993.508,14422.551,11778.172,184409.871,0.000,172707.334,523.493,0.000,180.252,24.682
127,41.465,174479.155,163609.922,14651.480,11966.248,174479.155,0.000,163113.585,521.345,0.000,194.462,25.095
128,41.843,165659.884,155494.828,14880.410,12116.546,165659.884,0.000,154981.552,522.263,0.000,210.142,25.508
129,42.221,159054.497,148658.199,15109.339,12231.284,159054.497,0.000,148124.182,525.391,0.000,227.416,25.920
130,42.599,152377.303,142929.091,15338.269,12314.106,152377.303,0.000,142371.019,530.093,0.000,246.430,26.332
131,42.977,147347.032,138151.605,15567.198,12370.050,147347.032,0.000,137566.465,535.904,0.000,267.348,26.743
132,43.355,143934.232,133869.361,15486.825,12405.601,143934.232,0.000,133267.398,531.921,0.000,288.345,26.622
133,43.732,139749.723,130249.605,15406.451,12428.703,139749.723,0.000,129628.339,528.456,0.000,311.304,26.501
134,44.110,137101.485,127174.000,15326.078,12448.758,137101.485,0.000,126531.024,525.340,0.000,336.323,26.379
135,44.488,134932.265,124538.943,15245.705,12476.617,134932.265,0.000,123871.855,522.455,0.000,363.512,26.257
136,44.866,133395.388,122267.107,15165.331,12524.567,133395.388,0.000,121560.298,519.722,0.000,392.987,26.134
137,45.244,130940.091,120248.821,15084.958,12606.324,130940.091,0.000,119509.765,517.085,0.000,424.698,26.011
