ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Pb-212,Ac-228,Tl-208,Bi-212,Ra-224,Th-228,Th-232,Rn-220
156,52.931,180.924,135.351,133.136,0.000,180.924,0.000,56.363,45.382,25.160,4.037,2.878,1.269,0.225,0.037
157,53.310,183.599,135.881,133.692,0.000,183.599,0.000,56.672,45.498,25.296,3.984,2.893,1.275,0.226,0.037
158,53.688,150.490,136.409,134.248,0.000,150.490,0.000,56.979,45.607,25.430,3.939,2.907,1.282,0.227,0.037
159,54.067,177.499,136.933,134.804,0.000,177.499,0.000,57.283,45.711,25.561,3.902,2.922,1.288,0.228,0.037
160,54.445,160.424,137.456,135.361,0.000,160.424,0.000,57.585,45.812,25.689,3.872,2.937,1.295,0.228,0.037
161,54.824,187.457,137.978,135.917,0.000,187.457,0.000,57.882,45.912,25.814,3.849,2.952,1.301,0.229,0.038
162,55.203,181.185,138.499,136.473,0.000,181.185,0.000,58.175,46.012,25.936,3.833,2.967,1.308,0.230,0.038
163,55.581,165.207,139.020,137.029,0.000,165.207,0.000,58.463,46.115,26.055,3.822,2.981,1.314,0.230,0.038
164,55.960,204.100,139.541,137.585,0.000,204.100,0.000,58.747,46.222,26.171,3.815,2.996,1.321,0.231,0.038
165,56.338,137.476,140.064,138.141,0.000,137.476,0.000,59.026,46.333,26.284,3.813,3.011,1.327,0.231,0.038
166,56.717,122.881,140.589,138.697,0.000,122.881,0.000,59.301,46.449,26.396,3.813,3.026,1.334,0.232,0.039
167,57.096,141.186,141.116,139.253,0.000,141.186,0.000,59.571,46.571,26.505,3.817,3.040,1.340,0.232,0.039
168,57.474,223.132,141.646,139.809,0.000,223.132,0.000,59.839,46.699,26.613,3.822,3.055,1.347,0.233,0.039
169,57.853,208.794,142.179,140.365,0.000,208.794,0.000,60.103,46.832,26.720,3.829,3.070,1.353,0.233,0.039
170,58.232,159.173,142.716,140.921,0.000,159.173,0.000,60.364,46.970,26.827,3.838,3.084,1.360,0.234,0.039
