spectrum,peak_kev,peak_counts,fwhm_kev,has_curve,nuclide,line_kev,intensity_pct,is_xray,low_yield,rivals,rival_factor,coeff_ok,bq_coeff,verdict
AS80_UGlass,237.766,0.0,39.164,0,Pb-212,238.000,43.6,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,347.694,1.0,73.792,0,Eu-152,345.000,26.59,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,600.100,0.0,129.059,0,Bi-214,609.000,45.44,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,770.743,0.0,144.903,0,Bi-214,768.360,4.89,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,1002.538,0.0,154.563,0,Pa-234m,1001.000,0.842,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,1131.413,0.0,134.964,0,Bi-214,1120.000,14.9,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,1462.623,0.0,218.744,0,K-40,1460.000,10.66,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,1770.761,0.0,234.233,0,Bi-214,1764.000,15.29,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,2223.763,0.0,450.434,0,Bi-214,2204.000,4.92,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,2663.706,0.0,320.329,0,Tl-208,2614.000,35.8516,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,59.491,19275.0,32.450,0,Am-241,59.541,35.9,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,102.198,40.0,38.955,0,Np-239,106.000,25.34,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,127.697,3.0,22.548,0,Ac-228,129.065,2.42,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,211.315,0.0,40.530,0,Ac-228,211.000,3.89,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,238.591,0.0,46.875,0,Pb-212,238.000,43.6,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,337.407,0.0,95.357,0,Ac-228,338.000,11.27,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,505.972,0.0,90.907,0,Tl-208,510.000,8.1224,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,609.018,0.0,98.392,0,Bi-214,609.000,45.44,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,1112.370,0.0,134.766,0,Eu-152,1111.000,13.67,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,1207.872,0.0,121.036,0,Bi-214,1238.000,5.83,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,1463.852,0.0,163.124,0,K-40,1460.000,10.66,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,1757.250,0.0,173.277,0,Bi-214,1764.000,15.29,0,0,0,1.000,0,0,кривой нет
ASN16_Am241,2619.876,0.0,244.897,0,Tl-208,2614.000,35.8516,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,47.752,1.0,21.169,0,Pb-210,46.539,4.25,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,80.265,15.0,37.211,0,Pb x-ray,84.936,23,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,134.605,0.0,37.946,0,Ac-228,129.065,2.42,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,241.928,1.0,59.946,0,Pb-214,241.000,7.2615,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,295.202,0.0,50.713,0,Pb-214,295.000,18.4672,0,0,0,1.000,0,0,кривой нет
