run,line,keV,window_keV,sum_net,sum_model,model_minus_net,in_sigma
radon1_side_shpb_noeq,Bi-214 1120,1120.29,±114.7,5377,5351,-25,-0.3
radon1_side_shpb_noeq,Bi-214 1764,1764.49,±144.0,2287,2278,-9,-0.2
radon1_side_shpb_noeq,Tl-208 2614,2614.51,±175.2,237,110,-127,-8.2
radon1_side_singles,Pb-210 46.5,46.54,±23.4,44178,43513,-665,-3.2
radon1_side_singles,Ra-226 186,186.21,±46.8,13587,15827,2240,19.2
radon1_side_singles,Pb-212 239,238.63,±52.9,22181,24673,2492,16.7
radon1_side_singles,Pb-214 295,295.22,±58.9,33912,35160,1249,6.8
radon1_side_singles,Ac-228 338,338.32,±63.0,33957,34461,504,2.7
radon1_side_singles,Pb-214 352,351.93,±64.3,31642,31795,153,0.9
radon1_side_singles,Tl-208 583,583.19,±82.8,15860,15716,-144,-1.1
radon1_side_singles,Bi-214 609,609.32,±84.6,15768,15594,-174,-1.4
radon1_side_singles,Bi-212 727,727.33,±92.4,7279,7478,198,2.3
radon1_side_singles,Ac-228 911,911.20,±103.5,5359,5257,-102,-1.4
radon1_side_singles,Ac-228 969,968.97,±106.7,4640,4744,103,1.5
radon1_side_singles,Bi-214 1120,1120.29,±114.7,5377,5352,-24,-0.3
radon1_side_singles,Bi-214 1764,1764.49,±144.0,2287,2282,-5,-0.1
radon1_side_singles,Tl-208 2614,2614.51,±175.2,237,123,-113,-7.4
radon2_front_b092_noeq,Pb-210 46.5,46.54,±23.4,18766,18940,175,1.3
radon2_front_b092_noeq,Ra-226 186,186.21,±46.8,4037,2919,-1118,-17.6
radon2_front_b092_noeq,Pb-212 239,238.63,±52.9,7375,6966,-409,-4.8
radon2_front_b092_noeq,Pb-214 295,295.22,±58.9,4912,4922,10,0.1
radon2_front_b092_noeq,Ac-228 338,338.32,±63.0,1433,950,-482,-12.7
radon2_front_b092_noeq,Pb-214 352,351.93,±64.3,1324,770,-553,-15.2
radon2_front_b092_noeq,Tl-208 583,583.19,±82.8,2001,1670,-331,-7.4
radon2_front_b092_noeq,Bi-214 609,609.32,±84.6,1832,1452,-380,-8.9
radon2_front_b092_noeq,Bi-212 727,727.33,±92.4,937,382,-555,-18.1
radon2_front_b092_noeq,Ac-228 911,911.20,±103.5,677,227,-450,-17.3
radon2_front_b092_noeq,Ac-228 969,968.97,±106.7,665,155,-510,-19.8
radon2_front_b092_noeq,Bi-214 1120,1120.29,±114.7,652,135,-517,-20.2
radon2_front_b092_noeq,Bi-214 1764,1764.49,±144.0,507,302,-205,-9.1
radon2_front_b092_noeq,Tl-208 2614,2614.51,±175.2,367,233,-134,-7.0
radon2_front_eq,Pb-210 46.5,46.54,±23.4,14646,15209,562,4.6
radon2_front_eq,Ra-226 186,186.21,±46.8,980,1024,44,1.4
radon2_front_eq,Pb-212 239,238.63,±52.9,3960,2336,-1624,-25.8
radon2_front_eq,Pb-214 295,295.22,±58.9,2660,1586,-1074,-20.8
radon2_front_eq,Ac-228 338,338.32,±63.0,458,488,30,1.4
radon2_front_eq,Pb-214 352,351.93,±64.3,439,300,-139,-6.6
radon2_front_eq,Tl-208 583,583.19,±82.8,1409,840,-569,-15.2
radon2_front_eq,Bi-214 609,609.32,±84.6,1309,778,-531,-14.7
radon2_front_eq,Bi-212 727,727.33,±92.4,657,122,-535,-20.9
radon2_front_eq,Ac-228 911,911.20,±103.5,487,42,-445,-20.2
radon2_front_eq,Ac-228 969,968.97,±106.7,494,37,-457,-20.6
radon2_front_eq,Bi-214 1120,1120.29,±114.7,509,9,-501,-22.2
radon2_front_eq,Bi-214 1764,1764.49,±144.0,461,231,-230,-10.7
radon2_front_eq,Tl-208 2614,2614.51,±175.2,352,190,-163,-8.7
radon2_front_noeq,Pb-210 46.5,46.54,±23.4,14646,16962,2316,19.1
radon2_front_noeq,Ra-226 186,186.21,±46.8,980,1659,679,21.7
radon2_front_noeq,Pb-212 239,238.63,±52.9,3960,4396,436,6.9
radon2_front_noeq,Pb-214 295,295.22,±58.9,2660,3097,437,8.5
radon2_front_noeq,Ac-228 338,338.32,±63.0,458,232,-226,-10.6
radon2_front_noeq,Pb-214 352,351.93,±64.3,439,221,-218,-10.4
radon2_front_noeq,Tl-208 583,583.19,±82.8,1409,839,-570,-15.2
radon2_front_noeq,Bi-214 609,609.32,±84.6,1309,779,-530,-14.6
radon2_front_noeq,Bi-212 727,727.33,±92.4,657,91,-566,-22.1
radon2_front_noeq,Ac-228 911,911.20,±103.5,487,0,-487,-22.1
radon2_front_noeq,Ac-228 969,968.97,±106.7,494,0,-494,-22.2
radon2_front_noeq,Bi-214 1120,1120.29,±114.7,509,0,-509,-22.6
radon2_front_noeq,Bi-214 1764,1764.49,±144.0,461,231,-230,-10.7
radon2_front_noeq,Tl-208 2614,2614.51,±175.2,352,189,-163,-8.7
radon2_front_r010_noeq,Pb-210 46.5,46.54,±23.4,14646,16909,2262,18.7
radon2_front_r010_noeq,Ra-226 186,186.21,±46.8,980,1630,650,20.7
radon2_front_r010_noeq,Pb-212 239,238.63,±52.9,3960,4404,444,7.0
radon2_front_r010_noeq,Pb-214 295,295.22,±58.9,2660,3112,452,8.8
radon2_front_r010_noeq,Ac-228 338,338.32,±63.0,458,233,-225,-10.5
radon2_front_r010_noeq,Pb-214 352,351.93,±64.3,439,222,-217,-10.3
