ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-CsI,Xray-Pb,continuum
197,68.659,132415.404,132415.404,139852.506,122801.773,88312.511,32264.510,0.000,19275.486,0.000
198,69.042,134292.895,134292.895,141149.238,122797.626,88333.077,32272.024,0.000,20544.138,0.000
199,69.424,134316.128,134316.128,142442.763,122793.478,88355.452,32280.198,0.000,21807.113,0.000
200,69.807,136120.890,136120.890,143719.252,122789.331,88379.635,32289.033,0.000,23050.583,0.000
201,70.190,136439.452,136439.452,144964.317,122785.184,88405.605,32298.521,0.000,24260.190,0.000
202,70.572,138363.568,138363.568,146163.299,122781.036,88433.322,32308.648,0.000,25421.330,0.000
203,70.955,138974.925,138974.925,147301.577,122776.889,88462.725,32319.390,0.000,26519.462,0.000
204,71.338,140153.725,140153.725,148364.895,122772.742,88493.734,32330.719,0.000,27540.441,0.000
205,71.720,142009.518,142009.518,149339.691,122768.594,88526.249,32342.598,0.000,28470.844,0.000
206,72.103,142920.812,142920.812,150213.428,122764.447,88560.149,32354.983,0.000,29298.295,0.000
207,72.486,145359.572,145359.572,150974.906,122760.300,88595.298,32367.825,0.000,30011.783,0.000
208,72.868,146291.837,146291.837,151614.548,122756.152,88631.543,32381.066,0.000,30601.939,0.000
209,73.251,147346.220,147346.220,152124.646,122752.005,88668.716,32394.647,0.000,31061.283,0.000
210,73.634,148627.226,148627.226,152499.569,122747.858,88706.639,32408.503,0.000,31384.428,0.000
211,74.017,149040.484,149040.484,152735.910,122743.710,88745.126,32422.564,0.000,31568.220,0.000
212,74.399,151043.892,151043.892,152832.577,122739.563,88783.985,32436.761,0.000,31611.831,0.000
213,74.782,152286.944,152286.944,152790.819,122735.415,88823.022,32451.022,0.000,31516.775,0.000
214,75.165,152386.777,152386.777,152614.191,122731.268,88862.043,32465.278,0.000,31286.870,0.000
215,75.548,152842.332,152842.332,152308.449,122727.121,88900.859,32479.460,0.000,30928.130,0.000
216,75.931,153920.391,153920.391,151881.388,122722.973,88939.289,32493.500,0.000,30448.598,0.000
217,76.313,154351.797,154351.797,151342.623,122718.826,88977.162,32507.337,0.000,29858.124,0.000
218,76.696,154455.354,154455.354,150703.329,122714.679,89014.320,32520.912,0.000,29168.097,0.000
219,77.079,154537.946,154537.946,149975.930,122710.531,89050.618,32534.174,0.000,28391.138,0.000
220,77.462,153692.787,153692.787,149173.772,122706.384,89085.932,32547.075,0.000,27540.765,0.000
221,77.845,154915.541,154915.541,148310.774,122702.237,89120.153,32559.578,0.000,26631.043,0.000
222,78.228,153398.753,153398.753,147401.074,122698.089,89153.193,32571.649,0.000,25676.232,0.000
223,78.610,152701.096,152701.096,146458.685,122693.942,89184.983,32583.263,0.000,24690.439,0.000
224,78.993,152369.684,152369.684,145497.165,122689.795,89215.475,32594.403,0.000,23687.288,0.000
225,79.376,151463.728,151463.728,144529.321,122685.647,89244.638,32605.058,0.000,22679.625,0.000
226,79.759,150961.449,150961.449,143566.938,122681.500,89272.461,32615.223,0.000,21679.254,0.000
227,80.142,149482.457,149482.457,142620.567,122677.352,89298.950,32624.900,0.000,20696.717,0.000
228,80.525,149606.618,149606.618,141699.348,122673.205,89324.123,32634.097,0.000,19741.127,0.000
229,80.908,147955.380,147955.380,140810.892,122669.058,89348.015,32642.826,0.000,18820.051,0.000
230,81.291,147143.385,147143.385,139961.214,122664.910,89370.669,32651.103,0.000,17939.442,0.000
231,81.674,145727.385,145727.385,139154.716,122660.763,89392.139,32658.946,0.000,17103.630,0.000
232,82.057,144293.488,144293.488,138394.220,122656.616,89412.484,32666.379,0.000,16315.358,0.000
233,82.440,142354.687,142354.687,137681.049,122652.468,89431.766,32673.424,0.000,15575.859,0.000
234,82.823,141918.644,141918.644,137015.139,122648.321,89450.053,32680.105,0.000,14884.981,0.000
235,83.206,141019.396,141019.396,136395.191,122644.174,89467.410,32686.446,0.000,14241.335,0.000
236,83.589,140223.931,140223.931,135818.845,122640.026,89483.900,32692.471,0.000,13642.475,0.000
237,83.972,139292.002,139292.002,135282.873,122635.879,89499.585,32698.201,0.000,13085.087,0.000
238,84.355,139121.757,139121.757,134783.376,122631.732,89514.521,32703.658,0.000,12565.197,0.000
239,84.738,138400.951,138400.951,134315.990,122627.584,89528.759,32708.860,0.000,12078.372,0.000
240,85.121,137757.511,137757.511,133876.087,122623.437,89542.344,32713.823,0.000,11619.920,0.000
241,85.504,137127.911,137127.911,133458.956,122619.289,89555.314,32718.561,0.000,11185.080,0.000
242,85.887,136518.834,136518.834,133059.978,122615.142,89567.701,32723.087,0.000,10769.189,0.000
243,86.270,135493.755,135493.755,132674.776,122610.995,89579.531,32727.409,0.000,10367.836,0.000
244,86.653,134915.742,134915.742,132299.343,122606.847,89590.823,32731.534,0.000,9976.986,0.000
245,87.036,134311.916,134311.916,131930.139,122602.700,89601.589,32735.468,0.000,9593.082,0.000
246,87.419,134082.916,134082.916,131564.169,122598.553,89611.839,32739.213,0.000,9213.117,0.000
247,87.803,133246.277,133246.277,131199.028,122594.405,89621.577,32742.770,0.000,8834.681,0.000
248,88.186,132296.044,132296.044,130832.927,122590.258,89630.803,32746.141,0.000,8455.983,0.000
249,88.569,132015.594,132015.594,130464.687,122586.111,89639.516,32749.324,0.000,8075.848,0.000
