ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,continuum
273,783.981,13806.753,13806.753,13795.033,2627.997,13795.033,0.000,0.000
274,786.876,14145.691,14145.691,13729.325,2566.654,13729.325,0.000,0.000
275,789.772,13850.940,13850.940,13665.403,2505.310,13665.403,0.000,0.000
276,792.668,13593.378,13593.378,13604.143,2443.967,13604.143,0.000,0.000
277,795.565,13714.722,13714.722,13553.837,2390.264,13553.837,0.000,0.000
278,798.461,13330.940,13330.940,13507.257,2336.561,13507.257,0.000,0.000
279,801.358,13478.222,13478.222,13464.603,2282.859,13464.603,0.000,0.000
280,804.256,13208.972,13208.972,13425.877,2229.156,13425.877,0.000,0.000
281,807.153,13498.909,13498.909,13390.920,2175.453,13390.920,0.000,0.000
282,810.051,13348.097,13348.097,13359.449,2121.750,13359.449,0.000,0.000
283,812.949,13327.815,13327.815,13331.087,2068.048,13331.087,0.000,0.000
284,815.848,13171.190,13171.190,13305.404,2014.345,13305.404,0.000,0.000
285,818.746,13031.190,13031.190,13281.941,1960.642,13281.941,0.000,0.000
286,821.645,13210.503,13210.503,13260.236,1906.939,13260.236,0.000,0.000
287,824.544,13112.346,13112.346,13239.850,1853.237,13239.850,0.000,0.000
288,827.444,13021.253,13021.253,13220.378,1799.534,13220.378,0.000,0.000
289,830.343,12913.722,12913.722,13201.473,1745.831,13201.473,0.000,0.000
290,833.243,13260.347,13260.347,13182.852,1692.129,13182.852,0.000,0.000
291,836.143,13138.003,13138.003,13164.310,1638.426,13164.310,0.000,0.000
292,839.044,13158.940,13158.940,13145.727,1584.723,13145.727,0.000,0.000
293,841.944,13420.409,13420.409,13127.076,1531.020,13127.076,0.000,0.000
294,844.845,13009.003,13009.003,13108.425,1477.318,13108.425,0.000,0.000
295,847.746,13135.159,13135.159,13122.474,1456.156,13122.474,0.000,0.000
296,850.647,13413.972,13413.972,13136.925,1434.994,13136.925,0.000,0.000
297,853.549,13279.659,13279.659,13152.097,1413.832,13152.097,0.000,0.000
298,856.451,13346.190,13346.190,13168.358,1392.670,13168.358,0.000,0.000
299,859.353,13023.065,13023.065,13186.108,1371.508,13186.108,0.000,0.000
300,862.255,13258.940,13258.940,13205.747,1350.347,13205.747,0.000,0.000
301,865.157,13123.534,13123.534,13227.649,1329.185,13227.649,0.000,0.000
302,868.060,13164.659,13164.659,13252.126,1308.023,13252.126,0.000,0.000
303,870.963,13427.190,13427.190,13279.407,1286.861,13279.407,0.000,0.000
304,873.866,13366.096,13366.096,13309.610,1265.699,13309.610,0.000,0.000
305,876.769,13438.815,13438.815,13342.731,1244.537,13342.731,0.000,0.000
306,879.673,13442.159,13442.159,13378.633,1223.376,13378.633,0.000,0.000
307,882.576,13230.347,13230.347,13417.055,1202.214,13417.055,0.000,0.000
308,885.480,13540.753,13540.753,13457.616,1181.052,13457.616,0.000,0.000
309,888.384,13566.159,13566.159,13499.844,1159.890,13499.844,0.000,0.000
310,891.288,13600.815,13600.815,13543.197,1138.728,13543.197,0.000,0.000
311,894.193,13622.753,13622.753,13587.099,1117.566,13587.099,0.000,0.000
312,897.097,13581.253,13581.253,13630.970,1096.405,13630.970,0.000,0.000
313,900.002,13848.565,13848.565,13674.262,1075.243,13674.262,0.000,0.000
314,902.907,13580.440,13580.440,13753.109,1090.707,13753.109,0.000,0.000
315,905.812,14042.472,14042.472,13830.478,1106.172,13830.478,0.000,0.000
316,908.718,14227.221,14227.221,13906.059,1121.637,13906.059,0.000,0.000
317,911.623,14053.253,14053.253,13979.655,1137.101,13979.655,0.000,0.000
318,914.529,13847.253,13847.253,14051.185,1152.566,14051.185,0.000,0.000
319,917.435,13958.534,13958.534,14120.681,1168.031,14120.681,0.000,0.000
320,920.341,14294.315,14294.315,14188.284,1183.495,14188.284,0.000,0.000
321,923.247,14144.971,14144.971,14254.235,1198.960,14254.235,0.000,0.000
322,926.153,14106.690,14106.690,14318.861,1214.424,14318.861,0.000,0.000
323,929.059,14323.284,14323.284,14382.566,1229.889,14382.566,0.000,0.000
324,931.966,14396.909,14396.909,14445.813,1245.354,14445.813,0.000,0.000
325,934.873,14349.659,14349.659,14509.110,1260.818,14509.110,0.000,0.000
326,937.780,14402.846,14402.846,14572.998,1276.283,14572.998,0.000,0.000
327,940.687,14232.909,14232.909,14638.027,1291.748,14638.027,0.000,0.000
328,943.594,14478.659,14478.659,14704.746,1307.212,14704.746,0.000,0.000
329,946.501,14928.065,14928.065,14773.675,1322.677,14773.675,0.000,0.000
330,949.409,14861.815,14861.815,14845.290,1338.142,14845.290,0.000,0.000
331,952.316,14600.190,14600.190,14919.995,1353.606,14919.995,0.000,0.000
332,955.224,14461.909,14461.909,14998.100,1369.071,14998.100,0.000,0.000
333,958.132,14607.815,14607.815,15079.792,1384.535,15079.792,0.000,0.000
334,961.040,15050.128,15050.128,15084.977,1319.866,15084.977,0.000,0.000
335,963.948,15278.659,15278.659,15093.657,1255.196,15093.657,0.000,0.000
336,966.856,15534.221,15534.221,15105.499,1190.526,15105.499,0.000,0.000
337,969.764,15468.846,15468.846,15119.955,1125.857,15119.955,0.000,0.000
338,972.673,15114.409,15114.409,15136.233,1061.187,15136.233,0.000,0.000
339,975.581,14386.346,14386.346,15153.289,996.518,15153.289,0.000,0.000
340,978.490,15439.846,15439.846,15169.812,931.848,15169.812,0.000,0.000
341,981.399,15474.252,15474.252,15184.218,867.178,15184.218,0.000,0.000
342,984.307,15644.002,15644.002,15194.647,802.509,15194.647,0.000,0.000
343,987.216,15900.002,15900.002,15198.974,737.839,15198.974,0.000,0.000
344,990.125,15867.908,15867.908,15194.819,673.169,15194.819,0.000,0.000
345,993.035,14736.877,14736.877,15179.572,608.500,15179.572,0.000,0.000
346,995.944,15770.690,15770.690,15150.427,543.830,15150.427,0.000,0.000
