ch,keV,net,fit,model,continuum_raw,Cs-137,continuum
387,140.471,4571.812,4571.812,4507.538,4422.186,4507.538,0.000
388,140.841,4405.110,4405.110,4499.820,4414.488,4499.820,0.000
389,141.210,4395.486,4395.486,4492.100,4406.790,4492.100,0.000
390,141.580,4357.684,4357.684,4484.380,4399.092,4484.380,0.000
391,141.949,4440.083,4440.083,4476.658,4391.394,4476.658,0.000
392,142.319,4449.152,4449.152,4468.935,4383.696,4468.935,0.000
393,142.688,4449.986,4449.986,4461.209,4375.999,4461.209,0.000
394,143.057,4448.192,4448.192,4453.482,4368.301,4453.482,0.000
395,143.427,4488.304,4488.304,4445.752,4360.603,4445.752,0.000
396,143.796,4448.750,4448.750,4438.020,4352.905,4438.020,0.000
397,144.165,4565.093,4565.093,4430.286,4345.207,4430.286,0.000
398,144.534,4462.905,4462.905,4422.550,4337.509,4422.550,0.000
399,144.904,4432.133,4432.133,4414.811,4329.811,4414.811,0.000
400,145.273,4404.856,4404.856,4407.070,4322.114,4407.070,0.000
401,145.642,4323.946,4323.946,4399.327,4314.416,4399.327,0.000
402,146.011,4408.908,4408.908,4391.582,4306.718,4391.582,0.000
403,146.380,4298.647,4298.647,4383.836,4299.020,4383.836,0.000
404,146.749,4300.307,4300.307,4376.088,4291.322,4376.088,0.000
405,147.118,4441.125,4441.125,4368.339,4283.624,4368.339,0.000
