ch,keV,net,fit,model,continuum_raw,Bi-207,Esc-NaI
847,2480.533,1.531,1.531,0.579,0.559,0.579,0.000
848,2483.420,2.375,2.375,0.505,0.489,0.505,0.000
849,2486.307,0.406,0.406,0.432,0.420,0.432,0.000
850,2489.194,0.000,-0.750,0.359,0.350,0.359,0.000
851,2492.081,2.344,2.344,0.287,0.280,0.287,0.000
852,2494.967,0.094,0.094,0.215,0.210,0.215,0.000
853,2497.854,1.156,1.156,0.144,0.140,0.144,0.000
854,2500.741,2.312,2.312,0.073,0.070,0.073,0.000
855,2503.627,0.437,0.437,0.002,0.000,0.002,0.000
856,2506.513,1.312,1.312,0.008,0.006,0.008,0.000
857,2509.399,0.000,-0.813,0.013,0.011,0.013,0.000
858,2512.285,0.000,-0.750,0.018,0.017,0.018,0.000
859,2515.172,2.281,2.281,0.024,0.023,0.024,0.000
860,2518.057,0.000,-1.063,0.029,0.029,0.029,0.000
861,2520.943,1.031,1.031,0.035,0.034,0.035,0.000
862,2523.829,2.094,2.094,0.041,0.040,0.041,0.000
863,2526.715,0.000,-1.063,0.046,0.046,0.046,0.000
864,2529.600,0.000,-1.500,0.052,0.052,0.052,0.000
865,2532.486,2.719,2.719,0.058,0.057,0.058,0.000
866,2535.371,0.000,-1.000,0.063,0.063,0.063,0.000
867,2538.256,0.000,-0.063,0.069,0.069,0.069,0.000
868,2541.142,0.000,-0.313,0.075,0.075,0.075,0.000
869,2544.027,1.062,1.062,0.080,0.080,0.080,0.000
870,2546.912,3.719,3.719,0.086,0.086,0.086,0.000
871,2549.797,0.500,0.500,0.092,0.092,0.092,0.000
872,2552.682,0.000,-1.219,0.098,0.098,0.098,0.000
873,2555.567,0.594,0.594,0.103,0.103,0.103,0.000
874,2558.452,0.000,-1.063,0.109,0.109,0.109,0.000
875,2561.336,0.875,0.875,0.115,0.115,0.115,0.000
876,2564.221,1.625,1.625,0.121,0.121,0.121,0.000
877,2567.106,0.062,0.062,0.126,0.126,0.126,0.000
878,2569.990,0.000,-1.375,0.132,0.132,0.132,0.000
879,2572.875,0.937,0.937,0.138,0.138,0.138,0.000
880,2575.759,3.625,3.625,0.144,0.144,0.144,0.000
881,2578.644,0.937,0.937,0.149,0.149,0.149,0.000
882,2581.528,1.906,1.906,0.155,0.155,0.155,0.000
883,2584.412,2.219,2.219,0.161,0.161,0.161,0.000
884,2587.297,0.000,-0.531,0.167,0.167,0.167,0.000
885,2590.181,0.625,0.625,0.172,0.172,0.172,0.000
886,2593.065,0.000,-0.125,0.178,0.178,0.178,0.000
887,2595.949,0.031,0.031,0.184,0.184,0.184,0.000
888,2598.833,0.000,-0.219,0.190,0.190,0.190,0.000
889,2601.717,0.219,0.219,0.195,0.195,0.195,0.000
890,2604.602,0.000,-0.625,0.201,0.201,0.201,0.000
891,2607.486,0.937,0.937,0.207,0.207,0.207,0.000
892,2610.370,0.062,0.062,0.211,0.211,0.211,0.000
893,2613.254,1.187,1.187,0.216,0.216,0.216,0.000
894,2616.137,1.281,1.281,0.221,0.221,0.221,0.000
895,2619.021,0.000,-0.625,0.226,0.226,0.226,0.000
896,2621.905,0.406,0.406,0.230,0.230,0.230,0.000
897,2624.789,1.562,1.562,0.235,0.235,0.235,0.000
898,2627.673,0.469,0.469,0.240,0.240,0.240,0.000
899,2630.557,0.000,-0.688,0.244,0.244,0.244,0.000
900,2633.441,0.000,-0.406,0.249,0.249,0.249,0.000
901,2636.325,0.531,0.531,0.254,0.254,0.254,0.000
902,2639.209,0.437,0.437,0.259,0.259,0.259,0.000
903,2642.092,1.406,1.406,0.263,0.263,0.263,0.000
904,2644.976,0.000,-0.594,0.268,0.268,0.268,0.000
905,2647.860,0.531,0.531,0.273,0.273,0.273,0.000
906,2650.744,0.437,0.437,0.277,0.277,0.277,0.000
907,2653.628,0.719,0.719,0.282,0.282,0.282,0.000
908,2656.512,0.000,-0.281,0.287,0.287,0.287,0.000
909,2659.396,1.594,1.594,0.292,0.292,0.292,0.000
910,2662.279,0.562,0.562,0.296,0.296,0.296,0.000
911,2665.163,3.531,3.531,0.301,0.301,0.301,0.000
912,2668.047,0.000,-0.438,0.306,0.306,0.306,0.000
913,2670.931,0.750,0.750,0.310,0.310,0.000,0.000
914,2673.815,1.719,1.719,0.315,0.315,0.000,0.000
915,2676.699,1.562,1.562,0.320,0.320,0.000,0.000
916,2679.583,0.594,0.594,0.325,0.325,0.000,0.000
917,2682.467,0.750,0.750,0.329,0.329,0.000,0.000
918,2685.351,2.625,2.625,0.334,0.334,0.000,0.000
919,2688.235,0.000,-0.188,0.339,0.339,0.000,0.000
920,2691.120,0.000,-0.375,0.343,0.343,0.000,0.000
921,2694.004,0.000,-0.219,0.348,0.348,0.000,0.000
922,2696.888,0.000,-0.406,0.353,0.353,0.000,0.000
923,2699.772,2.687,2.687,0.358,0.358,0.000,0.000
924,2702.657,1.656,1.656,0.362,0.362,0.000,0.000
925,2705.541,0.781,0.781,0.367,0.367,0.000,0.000
926,2708.425,0.000,-0.188,0.372,0.372,0.000,0.000
927,2711.310,0.750,0.750,0.376,0.376,0.000,0.000
928,2714.194,1.594,1.594,0.381,0.381,0.000,0.000
929,2717.079,0.719,0.719,0.379,0.379,0.000,0.000
930,2719.964,0.812,0.812,0.376,0.376,0.000,0.000
931,2722.848,0.000,-0.125,0.374,0.374,0.000,0.000
932,2725.733,0.000,-0.250,0.372,0.372,0.000,0.000
933,2728.618,0.000,-0.344,0.369,0.369,0.000,0.000
934,2731.503,0.656,0.656,0.367,0.367,0.000,0.000
935,2734.388,0.000,-0.219,0.365,0.365,0.000,0.000
936,2737.273,0.000,-0.375,0.362,0.362,0.000,0.000
937,2740.158,0.000,-0.313,0.360,0.360,0.000,0.000
938,2743.043,0.594,0.594,0.358,0.358,0.000,0.000
939,2745.929,2.719,2.719,0.355,0.355,0.000,0.000
940,2748.814,0.000,-0.281,0.353,0.353,0.000,0.000
941,2751.700,0.656,0.656,0.351,0.351,0.000,0.000
942,2754.585,0.000,-0.344,0.348,0.348,0.000,0.000
943,2757.471,0.000,-0.281,0.346,0.346,0.000,0.000
944,2760.357,0.000,-0.313,0.343,0.343,0.000,0.000
945,2763.243,0.000,-0.500,0.341,0.341,0.000,0.000
946,2766.129,3.781,3.781,0.339,0.339,0.000,0.000
947,2769.015,0.844,0.844,0.336,0.336,0.000,0.000
948,2771.901,0.812,0.812,0.334,0.334,0.000,0.000
949,2774.787,0.719,0.719,0.332,0.332,0.000,0.000
950,2777.674,0.000,-0.281,0.329,0.329,0.000,0.000
951,2780.560,0.000,-0.156,0.327,0.327,0.000,0.000
952,2783.447,1.719,1.719,0.325,0.325,0.000,0.000
953,2786.334,0.875,0.875,0.322,0.322,0.000,0.000
954,2789.220,0.000,-0.344,0.320,0.320,0.000,0.000
955,2792.108,0.656,0.656,0.318,0.318,0.000,0.000
956,2794.995,0.875,0.875,0.315,0.315,0.000,0.000
957,2797.882,0.000,-0.281,0.313,0.313,0.000,0.000
958,2800.769,0.000,-0.281,0.311,0.311,0.000,0.000
959,2803.657,0.781,0.781,0.308,0.308,0.000,0.000
960,2806.545,0.000,-0.188,0.306,0.306,0.000,0.000
961,2809.432,0.000,-0.250,0.303,0.303,0.000,0.000
962,2812.320,0.719,0.719,0.301,0.301,0.000,0.000
963,2815.209,0.000,-0.188,0.299,0.299,0.000,0.000
964,2818.097,1.750,1.750,0.296,0.296,0.000,0.000
965,2820.985,0.000,-0.313,0.294,0.294,0.000,0.000
966,2823.874,0.781,0.781,0.292,0.292,0.000,0.000
967,2826.763,0.781,0.781,0.285,0.285,0.000,0.000
968,2829.652,0.750,0.750,0.279,0.279,0.000,0.000
969,2832.541,1.719,1.719,0.273,0.273,0.000,0.000
970,2835.430,0.000,-0.406,0.267,0.267,0.000,0.000
971,2838.319,0.000,-0.219,0.261,0.261,0.000,0.000
972,2841.209,0.656,0.656,0.254,0.254,0.000,0.000
973,2844.099,0.781,0.781,0.248,0.248,0.000,0.000
974,2846.989,0.812,0.812,0.242,0.242,0.000,0.000
975,2849.879,1.656,1.656,0.236,0.236,0.000,0.000
976,2852.769,1.750,1.750,0.230,0.230,0.000,0.000
977,2855.660,0.000,-0.250,0.223,0.223,0.000,0.000
978,2858.551,0.000,-0.219,0.217,0.217,0.000,0.000
979,2861.441,0.000,-0.125,0.211,0.211,0.000,0.000
980,2864.333,0.000,-0.406,0.205,0.205,0.000,0.000
981,2867.224,0.000,-0.406,0.199,0.199,0.000,0.000
982,2870.115,0.000,-0.188,0.192,0.192,0.000,0.000
983,2873.007,0.000,-0.313,0.186,0.186,0.000,0.000
984,2875.899,0.000,-0.219,0.180,0.180,0.000,0.000
985,2878.791,0.000,-0.344,0.174,0.174,0.000,0.000
986,2881.683,0.000,-0.219,0.167,0.167,0.000,0.000
987,2884.576,0.719,0.719,0.161,0.161,0.000,0.000
988,2887.469,0.844,0.844,0.155,0.155,0.000,0.000
989,2890.362,0.000,-0.125,0.149,0.149,0.000,0.000
990,2893.255,0.844,0.844,0.143,0.143,0.000,0.000
991,2896.149,0.000,-0.281,0.136,0.136,0.000,0.000
992,2899.042,0.000,-0.250,0.130,0.130,0.000,0.000
993,2901.936,0.687,0.687,0.124,0.124,0.000,0.000
994,2904.830,0.719,0.719,0.118,0.118,0.000,0.000
995,2907.725,0.000,-0.156,0.112,0.112,0.000,0.000
996,2910.620,0.000,-0.313,0.105,0.105,0.000,0.000
997,2913.514,0.719,0.719,0.099,0.099,0.000,0.000
998,2916.410,0.000,-0.219,0.093,0.093,0.000,0.000
999,2919.305,0.750,0.750,0.087,0.087,0.000,0.000
1000,2922.201,0.000,-0.125,0.080,0.080,0.000,0.000
1001,2925.097,0.875,0.875,0.074,0.074,0.000,0.000
1002,2927.993,0.000,-0.219,0.068,0.068,0.000,0.000
1003,2930.889,0.000,-0.313,0.062,0.062,0.000,0.000
1004,2933.786,0.000,-0.344,0.056,0.056,0.000,0.000
1005,2936.683,0.000,-0.219,0.049,0.049,0.000,0.000
1006,2939.580,0.844,0.844,0.051,0.051,0.000,0.000
1007,2942.478,0.000,-0.250,0.053,0.053,0.000,0.000
1008,2945.376,0.000,-0.188,0.055,0.055,0.000,0.000
1009,2948.274,0.000,-0.125,0.056,0.056,0.000,0.000
1010,2951.172,0.000,-0.375,0.058,0.058,0.000,0.000
1011,2954.071,0.750,0.750,0.060,0.060,0.000,0.000
1012,2956.970,0.000,-0.344,0.062,0.062,0.000,0.000
1013,2959.870,0.000,-0.219,0.063,0.063,0.000,0.000
1014,2962.769,0.000,-0.094,0.065,0.065,0.000,0.000
1015,2965.669,0.812,0.812,0.067,0.067,0.000,0.000
1016,2968.569,0.750,0.750,0.069,0.069,0.000,0.000
1017,2971.470,0.000,-0.313,0.070,0.070,0.000,0.000
1018,2974.371,0.562,0.562,0.072,0.072,0.000,0.000
1019,2977.272,0.719,0.719,0.074,0.074,0.000,0.000
1020,2980.174,0.000,-0.281,0.076,0.076,0.000,0.000
1021,2983.075,0.000,-0.281,0.077,0.077,0.000,0.000
1022,2985.978,0.000,-0.156,0.079,0.079,0.000,0.000
1023,2988.880,0.000,-0.188,0.081,0.081,0.000,0.000
