ch,keV,net,fit,model,continuum_raw,Zn-65,Ann-511,continuum
308,897.011,38.050,38.050,44.596,0.000,44.596,0.000,0.000
309,900.028,27.366,27.366,42.705,0.000,42.705,0.000,0.000
310,903.046,39.122,39.122,40.721,0.000,40.721,0.000,0.000
311,906.064,37.050,37.050,38.671,0.000,38.671,0.000,0.000
312,909.081,31.625,31.625,36.583,0.000,36.583,0.000,0.000
313,912.100,33.834,33.834,34.488,0.000,34.488,0.000,0.000
314,915.118,31.690,31.690,32.411,0.000,32.411,0.000,0.000
315,918.136,30.726,30.726,30.378,0.000,30.378,0.000,0.000
316,921.155,20.589,20.589,28.411,0.000,28.411,0.000,0.000
317,924.174,18.625,18.625,26.528,0.000,26.528,0.000,0.000
318,927.193,12.474,12.474,24.742,0.000,24.742,0.000,0.000
319,930.212,16.798,16.798,23.064,0.000,23.064,0.000,0.000
320,933.232,24.546,24.546,21.498,0.000,21.498,0.000,0.000
321,936.251,25.302,25.302,20.047,0.000,20.047,0.000,0.000
322,939.271,14.978,14.978,18.710,0.000,18.710,0.000,0.000
323,942.291,22.661,22.661,17.482,0.000,17.482,0.000,0.000
324,945.311,18.381,18.381,16.357,0.000,16.357,0.000,0.000
325,948.331,28.093,28.093,15.329,0.000,15.329,0.000,0.000
326,951.351,12.158,12.158,14.390,0.000,14.390,0.000,0.000
327,954.372,15.230,15.230,13.597,0.065,13.597,0.000,0.000
328,957.392,10.942,10.942,12.878,0.131,12.878,0.000,0.000
329,960.413,16.561,16.561,12.223,0.196,12.223,0.000,0.000
330,963.434,13.273,13.273,11.628,0.262,11.628,0.000,0.000
331,966.455,9.553,9.553,11.085,0.327,11.085,0.000,0.000
332,969.476,8.381,8.381,10.590,0.393,10.590,0.000,0.000
333,972.497,5.273,5.273,10.138,0.458,10.138,0.000,0.000
334,975.519,8.482,8.482,9.725,0.524,9.725,0.000,0.000
335,978.540,16.093,16.093,9.347,0.589,9.347,0.000,0.000
336,981.562,10.741,10.741,9.001,0.654,9.001,0.000,0.000
337,984.584,8.309,8.309,8.687,0.720,8.687,0.000,0.000
338,987.606,8.956,8.956,8.400,0.785,8.400,0.000,0.000
339,990.628,5.884,5.884,8.141,0.851,8.141,0.000,0.000
340,993.650,9.460,9.460,7.907,0.916,7.907,0.000,0.000
341,996.672,6.777,6.777,7.700,0.982,7.700,0.000,0.000
342,999.694,2.640,2.640,7.518,1.047,7.518,0.000,0.000
343,1002.717,16.489,16.489,7.365,1.113,7.365,0.000,0.000
344,1005.739,12.683,12.683,7.242,1.178,7.242,0.000,0.000
345,1008.762,12.496,12.496,7.154,1.243,7.154,0.000,0.000
346,1011.785,2.280,2.280,7.547,1.747,7.547,0.000,0.000
347,1014.808,1.561,1.561,7.994,2.251,7.994,0.000,0.000
348,1017.831,8.777,8.777,8.508,2.754,8.508,0.000,0.000
349,1020.854,11.597,11.597,9.110,3.258,9.110,0.000,0.000
350,1023.877,13.820,13.820,9.827,3.761,9.827,0.000,0.000
351,1026.900,24.280,24.280,10.692,4.265,10.692,0.000,0.000
352,1029.923,6.856,6.856,11.750,4.768,11.750,0.000,0.000
353,1032.947,12.000,12.000,13.056,5.272,13.056,0.000,0.000
354,1035.970,16.928,16.928,14.676,5.775,14.676,0.000,0.000
355,1038.993,20.964,20.964,16.692,6.279,16.692,0.000,0.000
356,1042.017,21.532,21.532,19.198,6.782,19.198,0.000,0.000
357,1045.041,20.748,20.748,22.303,7.286,22.303,0.000,0.000
358,1048.064,27.525,27.525,26.129,7.790,26.129,0.000,0.000
359,1051.088,29.539,29.539,30.805,8.293,30.805,0.000,0.000
360,1054.112,39.992,39.992,36.470,8.797,36.470,0.000,0.000
361,1057.136,40.352,40.352,43.263,9.300,43.263,0.000,0.000
362,1060.160,52.000,52.000,51.314,9.804,51.314,0.000,0.000
363,1063.184,77.956,77.956,60.741,10.307,60.741,0.000,0.000
364,1066.208,62.532,62.532,71.635,10.811,71.635,0.000,0.000
365,1069.232,82.280,82.280,84.051,11.314,84.051,0.000,0.000
366,1072.256,110.676,110.676,98.187,12.008,98.187,0.000,0.000
367,1075.280,104.136,104.136,113.804,12.702,113.804,0.000,0.000
368,1078.304,126.388,126.388,130.785,13.396,130.785,0.000,0.000
369,1081.329,155.431,155.431,148.943,14.090,148.943,0.000,0.000
370,1084.353,152.208,152.208,168.013,14.784,168.013,0.000,0.000
371,1087.377,173.467,173.467,187.659,15.478,187.659,0.000,0.000
372,1090.401,172.064,172.064,207.478,16.172,207.478,0.000,0.000
373,1093.426,218.036,218.036,227.009,16.865,227.009,0.000,0.000
374,1096.450,264.532,264.532,245.756,17.559,245.756,0.000,0.000
375,1099.475,255.489,255.489,263.202,18.253,263.202,0.000,0.000
376,1102.499,260.503,260.503,278.839,18.947,278.839,0.000,0.000
377,1105.524,320.100,320.100,292.186,19.641,292.186,0.000,0.000
378,1108.548,284.000,284.000,302.821,20.335,302.821,0.000,0.000
379,1111.572,321.712,321.712,310.402,21.029,310.402,0.000,0.000
380,1114.597,346.647,346.647,314.682,21.723,314.682,0.000,0.000
381,1117.621,336.431,336.431,315.533,22.416,315.533,0.000,0.000
382,1120.646,344.777,344.777,312.942,23.110,312.942,0.000,0.000
383,1123.670,328.108,328.108,307.023,23.804,307.023,0.000,0.000
384,1126.695,341.719,341.719,298.000,24.498,298.000,0.000,0.000
385,1129.719,295.568,295.568,286.203,25.192,286.203,0.000,0.000
386,1132.744,290.820,290.820,272.043,25.886,272.043,0.000,0.000
387,1135.768,284.971,284.971,254.068,24.653,254.068,0.000,0.000
388,1138.793,222.072,222.072,234.710,23.421,234.710,0.000,0.000
389,1141.817,240.359,240.359,214.491,22.188,214.491,0.000,0.000
390,1144.842,187.899,187.899,193.912,20.955,193.912,0.000,0.000
391,1147.866,189.359,189.359,173.445,19.723,173.445,0.000,0.000
392,1150.891,152.323,152.323,153.504,18.490,153.504,0.000,0.000
393,1153.915,134.000,134.000,134.440,17.257,134.440,0.000,0.000
394,1156.940,123.683,123.683,116.530,16.025,116.530,0.000,0.000
395,1159.964,91.719,91.719,99.975,14.792,99.975,0.000,0.000
396,1162.988,69.726,69.726,84.904,13.559,84.904,0.000,0.000
397,1166.013,75.367,75.367,71.375,12.327,71.375,0.000,0.000
398,1169.037,55.654,55.654,59.387,11.094,59.387,0.000,0.000
399,1172.061,42.223,42.223,48.892,9.861,48.892,0.000,0.000
400,1175.085,30.223,30.223,39.801,8.629,39.801,0.000,0.000
401,1178.110,15.439,15.439,31.997,7.396,31.997,0.000,0.000
402,1181.134,24.510,24.510,25.350,6.163,25.350,0.000,0.000
403,1184.158,17.338,17.338,19.717,4.931,19.717,0.000,0.000
