ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
1252,423.055,212.656,237.903,74.376,137.889,81.896,0.226,17.770,0.000,0.000,0.120,0.000,0.000,0.000
1253,423.402,226.730,237.068,74.235,137.265,81.670,0.224,17.785,0.000,0.000,0.120,0.000,0.000,0.000
1254,423.749,242.175,236.240,74.095,136.644,81.449,0.222,17.803,0.000,0.000,0.120,0.000,0.000,0.000
1255,424.096,212.842,235.422,73.954,136.026,81.232,0.221,17.821,0.000,0.000,0.119,0.000,0.000,0.000
1256,424.443,229.767,234.616,73.814,135.414,81.020,0.219,17.841,0.000,0.000,0.119,0.000,0.000,0.000
1257,424.789,189.064,233.821,73.674,134.808,80.812,0.217,17.863,0.000,0.000,0.119,0.000,0.000,0.000
1258,425.136,215.323,233.034,73.533,134.205,80.607,0.215,17.885,0.000,0.000,0.119,0.000,0.000,0.000
1259,425.483,174.620,232.254,73.393,133.607,80.404,0.213,17.909,0.000,0.000,0.118,0.000,0.000,0.000
1260,425.830,220.248,231.483,73.252,133.014,80.204,0.210,17.933,0.000,0.000,0.118,0.000,0.000,0.000
1261,426.177,194.361,230.722,73.112,132.428,80.006,0.208,17.959,0.000,0.000,0.118,0.000,0.000,0.000
1262,426.524,232.730,229.971,72.971,131.849,79.810,0.206,17.985,0.000,0.000,0.118,0.000,0.000,0.000
1263,426.871,225.175,229.232,72.831,131.279,79.617,0.203,18.013,0.000,0.000,0.117,0.000,0.000,0.000
1264,427.218,203.620,228.506,72.690,130.718,79.426,0.201,18.042,0.000,0.000,0.117,0.000,0.000,0.000
1265,427.565,201.507,227.794,72.550,130.167,79.237,0.198,18.072,0.000,0.000,0.117,0.000,0.000,0.000
1266,427.912,241.876,227.096,72.409,129.628,79.050,0.196,18.103,0.000,0.000,0.117,0.000,0.000,0.000
1267,428.258,208.212,226.414,72.269,129.101,78.865,0.193,18.136,0.000,0.000,0.116,0.000,0.000,0.000
1268,428.605,210.917,225.749,72.128,128.586,78.683,0.190,18.170,0.000,0.000,0.116,0.000,0.000,0.000
1269,428.952,210.916,225.101,71.988,128.086,78.503,0.187,18.206,0.000,0.000,0.116,0.000,0.000,0.000
1270,429.299,198.139,224.472,71.847,127.601,78.326,0.184,18.243,0.000,0.000,0.116,0.000,0.000,0.000
1271,429.646,203.990,223.864,71.707,127.132,78.150,0.181,18.282,0.000,0.000,0.116,0.000,0.000,0.000
1272,429.993,219.952,223.275,71.566,126.679,77.978,0.178,18.323,0.000,0.000,0.115,0.000,0.000,0.000
1273,430.340,201.138,222.709,71.426,126.244,77.808,0.175,18.365,0.000,0.000,0.115,0.000,0.000,0.000
1274,430.686,202.286,222.166,71.285,125.827,77.640,0.172,18.410,0.000,0.000,0.115,0.000,0.000,0.000
1275,431.033,204.729,221.647,71.145,125.429,77.476,0.169,18.456,0.000,0.000,0.115,0.000,0.000,0.000
1276,431.380,194.100,221.154,71.004,125.052,77.314,0.165,18.505,0.000,0.000,0.114,0.000,0.000,0.000
