spectrum,arm,what,name,A,B,changed
radon2,nomx,layer,Esc-CsI,33.839,33.839,
radon2,nomx,layer,Backscatter,7.388,7.388,
radon2,nomx,layer,DE-2615,0.855,0.855,
radon2,nomx,layer,continuum,0.116,0.116,
radon2,nomx,member,Pb-212,"15.84 Бк z=24.9 доля=45.6%","15.84 Бк z=24.9 доля=45.6%",
radon2,nomx,member,Ra-224,"15.84 Бк z=24.9 доля=2.68% по Pb-212","15.84 Бк z=24.9 доля=2.68% по Pb-212",
radon2,nomx,member,Tl-208,"12.21 Бк z=6.98 доля=9.49%","12.21 Бк z=6.98 доля=9.49%",
radon2,nomx,member,Esc-CsI,"751.9 Бк z=26.4 доля=33.8%","751.9 Бк z=26.4 доля=33.8%",
radon2,nomx,member,DE-2615,"2.697 Бк z=3.12 доля=0.855%","2.697 Бк z=3.12 доля=0.855%",
radon2,nomx,member,Backscatter,"0.01447 Бк z=2.92 доля=7.39%","0.01447 Бк z=2.92 доля=7.39%",
radon2,nomx,member,Ra-226,"< 24.9","< 24.9",
radon2,nomx,member,Rn-222,"< 1.72e+03","< 1.72e+03",
radon2,nomx,member,Pb-214,"< 2.46","< 2.46",
radon2,nomx,member,Bi-214,"< 3.71","< 3.71",
radon2,nomx,member,Pb-210,"< 66.7","< 66.7",
radon2,nomx,member,Po-214,"< 1.44e+04","< 1.44e+04",
radon2,nomx,member,Th-232,"< 618","< 618",
radon2,nomx,member,Ac-228,"< 3.97","< 3.97",
radon2,nomx,member,Th-228,"< 122","< 122",
radon2,nomx,member,Rn-220,"< 1.46e+03","< 1.46e+03",
radon2,nomx,member,Po-216,"< 8.57e+04","< 8.57e+04",
radon2,nomx,member,Bi-212,"< 21.1","< 21.1",
radon2,nomx,member,Po-210,"< 1.44e+04","< 1.44e+04",
