ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
6217,2096.590,17.852,23.527,0.000,0.000,23.527,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6218,2096.970,19.186,23.555,0.000,0.000,23.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6219,2097.351,15.260,23.581,0.000,0.000,23.581,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6220,2097.732,16.630,23.607,0.000,0.000,23.607,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6221,2098.112,17.408,23.632,0.000,0.000,23.632,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6222,2098.493,19.816,23.656,0.000,0.000,23.656,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6223,2098.874,25.112,23.680,0.000,0.000,23.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6224,2099.255,20.556,23.702,0.000,0.000,23.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6225,2099.636,23.630,23.724,0.000,0.000,23.724,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6226,2100.017,24.482,23.745,0.000,0.000,23.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6227,2100.398,18.704,23.765,0.000,0.000,23.765,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6228,2100.779,25.778,23.784,0.000,0.000,23.784,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6229,2101.161,13.297,23.802,0.000,0.000,23.802,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6230,2101.542,16.556,23.819,0.000,0.000,23.819,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6231,2101.923,12.001,23.836,0.000,0.000,23.836,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6232,2102.305,22.926,23.852,0.000,0.000,23.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6233,2102.686,8.630,23.866,0.000,0.000,23.866,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
