родитель;дочерний;BR;пар;медиана;min;max
Y103;Zr103;1;1;0.5769;0.5769;0.5769
Zr83;Y83m;0.961866975953924;36;0.0707;0.0054;0.0932
Zr83;Y83;0.038133024046076;11;0.1871;0.0141;0.1886
Zr85;Y85m;0.965985851019559;17;0.4125;0.1744;0.4998
Zr85;Y85;0.0340141489804411;3;0.5420;0.5391;0.5549
Zr86;Y86;1;3;0.9503;0.9179;0.9578
Zr87;Y87m;0.997170537286656;2;0.0277;0.0277;0.0277
Zr87m;Zr87;1;1;1.0000;1.0000;1.0000
Zr88m;Zr88;1;13;1.0006;0.9996;1.0037
Zr90m;Zr90;1;1;0.0830;0.0830;0.0830
Zr97;Nb97m;0.9509122362298;11;0.9336;0.8499;0.9500
Zr97;Nb97;0.0490877637702001;15;0.9392;0.8604;0.9456
Zr99;Nb99m;0.294652870141827;4;0.4969;0.2755;0.6939
Zr99;Nb99;0.705347129858173;21;0.4928;0.0912;2.6736
Zr100;Nb100;1;2;1.0741;1.0741;1.0741
Zr101;Nb101;1;52;0.0610;0.0035;0.0656
Zr102;Nb102m;1;16;0.1341;0.0183;0.2332
Zr103;Nb103;1;152;1.1205;0.0892;1.2995
Nb84;Zr84;1;7;0.8880;0.7841;0.8906
Nb86;Zr86;1;61;0.9681;0.6332;0.9889
Nb87m;Zr87;1;23;0.3000;0.0270;0.3000
Nb88;Zr88m;0.904199780607913;5;0.4245;0.4245;1.1062
Nb88;Zr88;0.0958002193920874;10;1.0006;1.0006;1.0023
Nb88m;Zr88;1;439;1.0113;0.0083;1.2138
Nb89;Zr89m;0.0140513960896331;1;0.1142;0.1142;0.1142
Nb89;Zr89;0.985948603910367;3;0.0338;0.0319;0.0340
Nb90;Zr90m;0.981781079119764;25;0.0704;0.0058;0.1497
Nb90;Zr90;0.0182189208802363;2;0.0820;0.0819;0.0821
Nb91m2;Nb91;0.987102871825558;1;1.4358;1.4358;1.4358
Nb92;Zr92;1;1;1.0008;1.0008;1.0008
Nb92m;Zr92;1;1;0.9915;0.9915;0.9915
Nb94;Mo94;1;1;1.0011;1.0011;1.0011
Nb96;Mo96;1;63;0.0932;0.0019;1.5656
Nb98;Mo98;1;2;0.1302;0.1302;0.1302
Nb98m;Mo98;1;821;0.8705;0.0059;274.0102
Nb99;Mo99;1;1;0.9961;0.9961;0.9961
Nb99m;Mo99;0.98;140;0.0679;0.0036;0.1797
Nb100;Mo100;1;111;0.9717;0.0252;38.6722
Nb100m2;Mo100;1;23;0.9739;0.8215;2.0130
Nb101;Mo101;1;92;0.2039;0.0236;0.4891
Nb102m2;Mo102;1;37;0.9787;0.2808;1.0391
Nb103;Mo103;1;56;0.9977;0.7489;1.0235
Nb104;Mo104;1;80;1.0032;0.1188;4.0668
Nb105;Mo105;1;50;1.0843;0.5629;1.4242
Nb106;Mo106;1;8;1.1716;1.0144;1.1716
Nb108;Mo108;1;8;0.7800;0.5569;0.9053
Mo86;Nb86m;1;2;0.6771;0.6771;0.6771
Mo87;Nb87m;0.973977496933824;2;0.5487;0.5487;0.5487
Mo87;Zr86;0.15;1;1.0013;1.0013;1.0013
Mo89;Nb89;0.990262901655307;2;2.0267;2.0267;2.0267
Mo89m;Mo89;1;1;1.0000;1.0000;1.0000
Mo90;Nb90m2;0.399547298483382;9;0.7717;0.5996;0.7781
Mo90;Nb90;0.600452701516618;36;0.2819;0.1086;0.7781
Mo91m;Nb91m;0.5;6;0.9605;0.8502;0.9609
Mo93m;Mo93;0.9988;11;0.8453;0.8428;1.0000
Mo99;Tc99;0.123363166929881;7;0.1162;0.0144;0.1180
Mo101;Tc101;1;109;0.0183;0.0103;0.0210
Mo102;Tc102;1;4;0.0380;0.0379;0.0385
Mo103;Tc103;1;69;0.9991;0.8700;1.1179
Mo104;Tc104;1;201;1.0000;0.7863;1.0076
Mo105;Tc105;1;141;0.2489;0.0158;0.3850
Mo106;Tc106;1;35;0.4640;0.1645;1.7339
Mo107;Tc107;1;29;0.8855;0.6144;1.0964
Mo108;Tc108;1;46;0.4266;0.1576;0.4506
Mo110;Tc110;1;3;0.4900;0.4852;0.4900
Tc90m2;Mo90;1;29;1.0009;0.2713;1.3621
Tc91;Mo91m;0.00679358580362681;1;0.0159;0.0159;0.0159
Tc91;Mo91;0.993206414196373;19;0.0157;0.0157;0.0157
Tc91m;Mo91m;0.975074511117311;5;0.0521;0.0028;0.0522
Tc91m;Mo91;0.0249254888826893;1;0.0926;0.0926;0.0926
Tc92;Mo92;1;8;1.0004;0.9985;1.0014
Tc93;Mo93;1;2;0.6623;0.6623;0.6623
Tc93m;Mo93;0.234;1;2.4710;2.4710;2.4710
Tc94;Mo94;1;23;0.9999;0.9971;1.0869
Tc94m;Mo94;1;7;0.9430;0.8743;0.9430
