nucid;E_A;E_B;P;from_seq;z;a
228AC;794.950;270.250;0.511004089821;26;90;228
228AC;794.950;328.000;0.451216611312;26;90;228
228AC;830.490;57.770;0.00641932513909;35;90;228
228AC;830.490;129.060;0.0545532618656;35;90;228
228AC;830.490;209.250;0.238368788019;35;90;228
228AC;830.490;338.320;0.696984760289;35;90;228
228AC;835.710;57.770;0.00649350649351;20;90;228
228AC;835.710;129.060;0.210970464135;20;90;228
228AC;840.380;57.770;0.00347416416911;30;90;228
228AC;840.380;270.250;0.511004089821;30;90;228
228AC;840.380;328.000;0.451216611312;30;90;228
228AC;904.200;57.770;0.00649350649351;23;90;228
228AC;904.200;129.060;0.210970464135;23;90;228
228AC;911.200;57.770;0.00649350649351;17;90;228
228AC;947.980;57.770;0.00641932513909;43;90;228
228AC;947.980;129.060;0.0545532618656;43;90;228
228AC;947.980;209.250;0.238368788019;43;90;228
228AC;947.980;338.320;0.696984760289;43;90;228
228AC;958.610;57.770;0.00649350649351;19;90;228
228AC;964.770;57.770;0.00649350649351;20;90;228
228AC;1033.250;57.770;0.00649350649351;23;90;228
228AC;1065.180;57.770;0.00649350649351;26;90;228
228AC;1095.680;57.770;0.00649350649351;28;90;228
228AC;1110.610;57.770;0.00649350649351;41;90;228
228AC;1110.610;129.060;0.210970464135;41;90;228
228AC;1247.080;57.770;0.00641932513909;71;90;228
228AC;1247.080;129.060;0.0545532618656;71;90;228
228AC;1247.080;209.250;0.238368788019;71;90;228
228AC;1247.080;338.320;0.696984760289;71;90;228
228AC;1459.140;57.770;0.00649350649351;73;90;228
228AC;1459.140;129.060;0.210970464135;73;90;228
228AC;1495.910;57.770;0.00649350649351;78;90;228
228AC;1495.910;129.060;0.210970464135;78;90;228
228AC;1501.570;57.770;0.00649350649351;80;90;228
228AC;1501.570;129.060;0.210970464135;80;90;228
228AC;1557.110;57.770;0.00649350649351;87;90;228
228AC;1557.110;129.060;0.210970464135;87;90;228
228AC;1580.530;57.770;0.00649350649351;70;90;228
