spectrum,kind,channels,first_ch,first_keV,thr_ch,thr_keV,how,pair_floor_keV,winner
G1S16_Th228_P25,фон,1024,5,5.288,5,5.288,"подъём 8.13→19.52 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 5.29",5.288,равны (ниже пусто — не применяется)
G1S16_Th228_P5,проба,1024,6,1.012,6,1.012,"подъём 3.97→12.83 кэВ (от подошвы к уровню 1129) шире рампы (5 кэВ) — порог по первому каналу 1.01",1.012,равны
G1S16_Th228_P5,фон,1024,6,1.012,6,1.012,"подъём 1.01→12.83 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.01",1.012,равны
G1S16_Th232_Denta100,проба,1024,6,2.822,6,2.822,"подъём 2.82→14.58 кэВ (от подошвы к уровню 303) шире рампы (5 кэВ) — порог по первому каналу 2.82",2.822,равны
G1S16_Th232_Denta100,фон,1024,6,2.822,6,2.822,"подъём 2.82→14.58 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.82",2.822,равны
G1S16_Th232_Mar,проба,1024,5,1.384,5,1.384,"подъём 7.27→16.11 кэВ (от подошвы к уровню 2008) шире рампы (5 кэВ) — порог по первому каналу 1.38",1.384,равны (ниже пусто — не применяется)
G1S16_Th232_Mar,фон,1024,5,1.384,5,1.384,"подъём 1.38→16.11 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.38",1.384,равны (ниже пусто — не применяется)
G1S16_Th232_Mar_2,проба,1024,7,2.770,7,2.770,"подъём 2.77→14.61 кэВ (от подошвы к уровню 3785) шире рампы (5 кэВ) — порог по первому каналу 2.77",2.770,равны
G1S16_Th232_Mar_2,фон,1024,7,2.770,7,2.770,"подъём 2.77→11.65 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.77",2.770,равны
G1S16_Th232_Mar_3,проба,1024,5,0.720,5,0.720,"подъём 6.61→15.45 кэВ (от подошвы к уровню 6039) шире рампы (5 кэВ) — порог по первому каналу 0.72",0.720,равны (ниже пусто — не применяется)
G1S16_Th232_Mar_3,фон,1024,5,0.720,5,0.720,"подъём 0.72→15.45 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 0.72",0.720,равны (ниже пусто — не применяется)
G1S16_Th232_Petri,проба,1024,6,2.541,6,2.541,"подъём 2.54→11.41 кэВ (от подошвы к уровню 219) шире рампы (5 кэВ) — порог по первому каналу 2.54",2.541,равны
