spectrum,det,n,tag_pipeline,tag_choose,null_worst_kev,null_worst_fwhm,null_worst_cause,shift_weakest_fwhm,shift_weakest_cause,pipe_null_worst_kev,pipe_null_worst_fwhm,pipe_shift_weakest_fwhm,trace
ASN16_Th232_Am241,ASN16,14,stored,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.114); gain=ok(0.114,paid); affine=ok(0.116,paid)"
ASN16_Am241,ASN16,6,stored,affine,0.0,0.0,neutral,0.448,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.127); gain=ok(0.092,paid); affine=ok(0.076,paid)"
ASN16_Cs137,ASN16,6,affine,affine,0.0,0.0,neutral,2.0558,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.309); gain=ok(0.201,paid); affine=ok(0.111,paid)"
ASN16_Cs137_10cm,ASN16,0,stored,,0.0,0.0,n/a,,n/a,,,,
ASN16_BrazilNuts,ASN16,11,stored,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.087); gain=ok(0.081,paid); affine=ok(0.086,paid)"
RC103_Th232WT20,RC103,9,affine/robust,gain,0.0,0.0,neutral,0.5998,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.359); gain=ok(0.161,paid); affine=ok(0.221,paid)"
AS80_Th232Medal,AS80x80,13,gain/robust,gain,0.0,0.0,neutral,0.0971,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.540); gain=ok(0.173,paid); affine=ok(0.178,paid)"
AS80_Onyx,AS80x80,7,stored,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.075); gain=ok(0.073,paid); affine=ok(0.073,paid)"
AS80_K40,AS80x80,11,affine/robust,affine,0.0,0.0,neutral,2.1919,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.294); gain=ok(0.283,paid); affine=ok(0.243,paid)"
AS80_Th232WT20,AS80x80,13,affine/robust,gain,0.0,0.0,neutral,0.1469,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.145); gain=ok(0.126,paid); affine=ok(0.120,paid)"
RC103_K40,RC103,1,gain,gain,0.0,0.0,neutral,0.023,reacted,,,,"affine=count; poly1=count; poly2=count; stored=ok(0.017); gain=ok(0.000,paid)"
AS80_Cs137_0cm,AS80x80,9,affine,affine,0.0,0.0,neutral,3.1326,reacted,,,,"stored=ok(0.405); gain=ok(0.199,paid); affine=ok(0.159,paid); poly1=ok(1.216,paid); poly2=ok(1.221,paid)"
RC103_Cs137_0cm,RC103,2,gain/recal,gain/recal,8.5775,0.3346,unlock,1.5844,reacted,,,,affine=count; poly1=count; poly2=count; stored=ok(0.035); gain=ok(0.032)
ASN16_Lu176,ASN16,5,stored,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; stored=ok(0.086); gain=ok(0.086,paid); affine=ok(0.084,paid); poly2=ok(0.094,paid)"
ASN16_Lu176_P0,ASN16,4,stored,poly1,0.0,0.0,neutral,0.7493,reacted,,,,"poly2=extrap_below; stored=ok(0.073); gain=ok(0.078,paid); affine=ok(0.087,paid); poly1=ok(0.059,paid)"
AS80_Lu176,AS80x80,7,stored,stored,0.0,0.0,neutral,0.0,frozen,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.105); gain=ok(0.105,paid); affine=ok(0.116,paid)"
RC103_K40Village,RC103,2,affine,gain,0.0,0.0,neutral,0.1295,reacted,,,,"affine=count; poly1=count; poly2=count; stored=ok(0.337); gain=ok(0.301,paid)"
RC103_Th232Village,RC103,4,affine,affine,0.0,0.0,neutral,1.2085,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.128); gain=ok(0.130,paid); affine=ok(0.064,paid)"
RC103_Charoite,RC103,4,affine/robust,affine,64.4016,3.9759,gate:fit,3.5249,reacted,,,,"poly2=fit; poly1=extrap_below; stored=ok(0.342); gain=ok(0.166,paid); affine=ok(0.088,paid)"
RC103_Lu176,RC103,3,affine,affine,0.0,0.0,neutral,1.6597,reacted,,,,"poly2=count; stored=ok(0.439); gain=ok(0.148,paid); affine=ok(0.083,paid); poly1=ok(1.430,paid)"
HPGeGMX_Th232,HPGE_GMX,13,affine/robust,affine,0.0,0.0,neutral,2.6112,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.277); gain=ok(0.202,paid); affine=ok(0.123,paid)"
HPGeGMX_Th228,HPGE_GMX,6,affine,affine,0.0,0.0,neutral,1.605,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.165); gain=ok(0.076,paid); affine=ok(0.027,paid)"
HPGeGMX_Eu152,HPGE_GMX,7,affine,affine,0.0,0.0,neutral,2.3026,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.184); gain=ok(0.037,paid); affine=ok(0.015,paid)"
HPGeGMX_Background,HPGE_GMX,11,poly2,affine,0.0,0.0,neutral,3.8097,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.264); gain=ok(0.185,paid); affine=ok(0.109,paid)"
HPGeGEM_Th232,HPGE_GEM,17,affine,affine,0.0,0.0,neutral,1.1134,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.328); gain=ok(0.200,paid); affine=ok(0.037,paid)"
HPGeGEM_Ra226,HPGE_GEM,12,poly2,poly2,0.0,0.0,neutral,0.4924,reacted,,,,"stored=ok(0.365); gain=ok(0.071,paid); affine=ok(0.032,paid); poly1=ok(0.028,paid); poly2=ok(0.018,paid)"
HPGeGEM_K40,HPGE_GEM,2,gain,gain,0.2261,0.8401,unlock,0.9874,reacted,,,,"affine=count; poly1=count; poly2=count; stored=ok(0.250); gain=ok(0.206,paid)"
LaBrBril_Th228,LABR_BRIL,10,affine/robust,affine,0.0,0.0,neutral,1.4451,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.128); gain=ok(0.133,paid); affine=ok(0.102,paid)"
LaBrBril_Eu152,LABR_BRIL,13,affine/robust,stored,5.9286,1.0584,rank:margin,0.0,frozen,,,,"stored=ok(0.156); gain=ok(0.156,paid); affine=ok(0.142,paid); poly1=ok(0.160,paid); poly2=ok(0.152,paid)"
G1S16_Th232_Mar,G1S16,9,affine,affine,0.0,0.0,neutral,1.4595,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.167); gain=ok(0.131,paid); affine=ok(0.101,paid)"
G1S16_Mix_Denta100,G1S16,10,gain,gain,0.0,0.0,neutral,0.1925,reacted,,,,"poly1=extrap_below; stored=ok(0.126); gain=ok(0.083,paid); affine=ok(0.086,paid); poly2=ok(0.086,paid)"
G1S16_Th232_Denta100,G1S16,8,gain,gain,0.0,0.0,neutral,0.155,reacted,,,,"poly1=extrap_below; stored=ok(0.153); gain=ok(0.116,paid); affine=ok(0.124,paid); poly2=ok(0.110,paid)"
G1S16_Mix_Mar,G1S16,11,affine,affine,0.0,0.0,neutral,0.4495,reacted,,,,"poly2=extrap_below; stored=ok(0.194); gain=ok(0.117,paid); affine=ok(0.095,paid); poly1=ok(0.119,paid)"
G1S16_Cs137_Mar,G1S16,3,gain,affine,0.0,0.0,neutral,1.9734,reacted,,,,"poly2=count; poly1=extrap_below; stored=ok(0.167); gain=ok(0.153,paid); affine=ok(0.009,paid)"
G1S16_Cs137_Mar_2,G1S16,1,gain,gain,0.0,0.0,neutral,1.9343,reacted,,,,"affine=count; poly1=count; poly2=count; stored=ok(0.099); gain=ok(0.000,paid)"
G1S16_K40_Mar,G1S16,3,stored,stored,0.0,0.0,neutral,0.4889,reacted,,,,"poly2=count; poly1=extrap_below; stored=ok(0.240); gain=ok(0.239,paid); affine=ok(0.273,paid)"
G1S16_K40_Mar_2,G1S16,3,gain,gain,0.0,0.0,neutral,0.3461,reacted,,,,"poly2=count; poly1=extrap_below; stored=ok(0.364); gain=ok(0.243,paid); affine=ok(0.275,paid)"
