spectrum,det,part,matrix_applied,component,energy_kev,lines,intensity_pct,expected,measured,sigma,z,ratio,purity,decision,obligatory
G1S16_Eu152_P5,G1S16,known,1,Eu-152,244.70,1,7.5500,183742.3,219042.3,564.9,62.49,1.1921,1.000,518.2,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,295.94,1,0.4400,109399.9,95448.9,390.0,-35.77,0.8725,1.000,389.1,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,345.01,2,27.4490,416672.1,455111.5,708.0,54.30,1.0923,1.000,350.4,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,411.12,1,2.2370,97284.0,95140.8,358.9,-5.97,0.9780,1.000,299.5,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,443.96,1,2.8270,94698.3,95011.4,354.8,0.88,1.0033,1.000,286.6,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,488.68,1,0.4140,69932.4,70833.4,314.7,2.86,1.0129,1.000,273.4,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,574.67,2,0.9490,69031.6,67980.2,299.0,-3.52,0.9848,1.000,238.2,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,685.09,2,1.3290,68635.8,70459.9,301.2,6.06,1.0266,1.000,231.9,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,779.66,2,13.2470,131010.5,135716.4,397.6,11.84,1.0359,1.000,243.8,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,867.38,1,4.2300,76199.5,69876.0,301.7,-20.96,0.9170,1.000,237.2,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,964.60,3,15.5880,101178.8,104650.8,349.4,9.94,1.0343,1.000,215.0,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,1100.16,3,25.5140,135052.5,147582.0,399.0,31.40,1.0928,1.000,174.6,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,1212.95,1,1.4150,27733.6,27432.1,186.2,-1.62,0.9891,1.000,137.1,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,1299.14,1,1.6330,17652.1,17336.3,154.5,-2.04,0.9821,1.000,130.6,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,1409.17,2,21.3670,71442.2,76562.0,287.6,17.80,1.0717,1.000,125.2,1
G1S16_Mn54_P5,G1S16,known,1,Mn-54,834.85,1,99.9760,203305.4,204011.1,452.2,1.56,1.0035,1.000,31.5,1
G1S16_Na22_P5,G1S16,known,1,Na-22,1274.54,1,99.9400,284684.8,285554.7,544.4,1.60,1.0031,1.000,170.3,1
G1S16_Th228_P5,G1S16,known,1,Th-228,39.86,1,1.0600,10355.8,8743.2,124.1,-13.00,0.8443,0.000,131.1,0
G1S16_Th228_P5,G1S16,known,1,Th-228,78.34,15,36.6831,63006.6,67433.4,273.3,16.20,1.0703,0.037,134.6,1
G1S16_Th228_P5,G1S16,known,1,Th-228,90.09,3,1.8561,28050.3,28339.2,192.2,1.50,1.0103,0.053,147.9,1
G1S16_Th228_P5,G1S16,known,1,Th-228,115.18,1,0.5964,6173.7,8376.6,149.0,14.78,1.3568,0.040,189.4,1
G1S16_Th228_P5,G1S16,known,1,Th-228,131.61,1,0.1271,4898.2,7045.8,150.7,14.25,1.4384,0.055,201.8,1
G1S16_Th228_P5,G1S16,known,1,Th-228,166.41,1,0.1009,6247.7,4907.3,138.5,-9.68,0.7855,0.032,191.2,1
G1S16_Th228_P5,G1S16,known,1,Th-228,215.26,2,0.2660,63790.6,56878.6,257.4,-26.85,0.8916,0.006,152.3,1
G1S16_Th228_P5,G1S16,known,1,Th-228,238.83,2,47.7000,74409.7,79101.0,296.1,15.85,1.0630,0.001,144.3,0
G1S16_Th228_P5,G1S16,known,1,Th-228,290.45,3,6.0096,11075.9,10933.1,126.9,-1.13,0.9871,0.000,109.9,0
G1S16_Th228_P5,G1S16,known,1,Th-228,328.03,1,0.1250,5817.1,5912.3,98.7,0.96,1.0164,0.000,92.1,0
G1S16_Th228_P5,G1S16,known,1,Th-228,452.98,1,0.3630,4085.0,3783.3,81.0,-3.72,0.9261,0.000,77.7,0
G1S16_Th228_P5,G1S16,known,1,Th-228,510.77,1,8.1224,8986.8,9820.9,112.1,7.44,1.0928,0.000,77.1,0
G1S16_Th228_P5,G1S16,known,1,Th-228,583.06,2,30.6630,20771.8,20932.4,151.8,1.06,1.0077,0.000,66.7,0
G1S16_Th228_P5,G1S16,known,1,Th-228,730.48,2,7.3133,4941.0,5068.7,81.9,1.56,1.0258,0.000,58.2,0
G1S16_Th228_P5,G1S16,known,1,Th-228,785.40,2,1.1039,2968.4,2965.3,67.2,-0.05,0.9990,0.000,56.0,0
G1S16_Th228_P5,G1S16,known,1,Th-228,863.11,2,4.8705,3077.0,3158.3,66.8,1.22,1.0264,0.000,50.3,0
G1S16_Th228_P5,G1S16,known,1,Th-228,952.12,1,0.1700,1059.6,1041.6,46.1,-0.39,0.9830,0.000,44.5,0
G1S16_Th228_P5,G1S16,known,1,Th-228,1078.62,1,0.5640,1349.0,1415.1,48.5,1.36,1.0490,0.000,40.5,0
G1S16_Th228_P5,G1S16,known,1,Th-228,1512.70,1,0.2900,1750.2,2113.7,52.2,6.96,1.2077,0.000,33.3,0
G1S16_Th228_P5,G1S16,known,1,Th-228,1620.50,1,1.4700,2552.2,2441.7,53.7,-2.06,0.9567,0.000,30.3,0
G1S16_Th228_P5,G1S16,known,1,Th-228,1806.00,1,0.0900,1924.1,1894.3,48.1,-0.62,0.9845,0.000,29.6,0
G1S16_Th228_P5,G1S16,known,1,Th-228,2614.51,1,35.8516,5300.1,5308.5,75.0,0.11,1.0016,0.000,26.8,0
G1S16_Y88_P5,G1S16,known,1,Y-88,898.04,1,93.6826,8545.6,8676.2,95.9,1.36,1.0153,1.000,27.2,1
G1S16_Y88_P5,G1S16,known,1,Y-88,1836.06,1,99.2400,4151.7,4184.6,66.0,0.50,1.0079,1.000,17.1,1
