ch,keV,net,fit,model,continuum_raw,Lu-176,continuum
237,78.778,692.063,692.063,547.684,310.897,547.684,0.000
238,79.143,590.822,590.822,558.079,315.195,558.079,0.000
239,79.509,580.305,580.305,568.578,319.493,568.578,0.000
240,79.874,645.989,645.989,579.127,323.790,579.127,0.000
241,80.240,705.255,705.255,589.667,328.088,589.667,0.000
242,80.605,713.286,713.286,600.132,332.386,600.132,0.000
243,80.971,701.225,701.225,610.453,336.684,610.453,0.000
244,81.336,701.408,701.408,620.557,340.982,620.557,0.000
245,81.701,722.501,722.501,630.369,345.280,630.369,0.000
246,82.067,655.090,655.090,639.812,349.578,639.812,0.000
247,82.432,731.783,731.783,648.814,353.876,648.814,0.000
248,82.798,785.331,785.331,657.301,358.174,657.301,0.000
249,83.163,790.483,790.483,665.205,362.471,665.205,0.000
250,83.529,703.924,703.924,672.465,366.769,672.465,0.000
251,83.894,846.854,846.854,679.026,371.067,679.026,0.000
252,84.260,787.086,787.086,684.843,375.365,684.843,0.000
253,84.625,825.017,825.017,689.881,379.663,689.881,0.000
254,84.991,828.817,828.817,694.115,383.961,694.115,0.000
255,85.356,896.739,896.739,697.533,388.259,697.533,0.000
256,85.722,844.669,844.669,700.135,392.557,700.135,0.000
257,86.087,806.889,806.889,701.935,396.854,701.935,0.000
258,86.453,865.790,865.790,702.956,401.152,702.956,0.000
259,86.819,931.786,931.786,703.236,405.450,703.236,0.000
260,87.184,833.754,833.754,702.821,409.748,702.821,0.000
261,87.550,878.018,878.018,701.770,414.046,701.770,0.000
262,87.915,879.461,879.461,700.149,418.344,700.149,0.000
263,88.281,905.150,905.150,698.029,422.642,698.029,0.000
264,88.646,900.863,900.863,695.490,426.940,695.490,0.000
265,89.012,915.816,915.816,692.613,431.237,692.613,0.000
266,89.378,864.900,864.900,689.482,435.535,689.482,0.000
267,89.743,832.637,832.637,686.180,439.833,686.180,0.000
268,90.109,905.056,905.056,682.791,444.131,682.791,0.000
269,90.474,804.869,804.869,679.393,448.429,679.393,0.000
